Specification,query
"{'meaningful_joins': 'yes', 'table_exp_type': 'single_table', 'where_type': {'logical_operator': ['AND', 'between', 'basic_comparison']}, 'number_of_value_exp_in_group_by': 0, 'having_type': 'none', 'orderby_type': 'DESC', 'limit_type': 'none', 'value_exp_types': ['single_exp_number', 'single_exp_text'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}","SELECT defenceTeamWidth, defencePressureClass FROM Team_Attributes WHERE defenceTeamWidth BETWEEN 1 AND 10 AND  team_fifa_api_id != 60 ORDER BY defencePressureClass DESC"
"{'meaningful_joins': 'yes', 'table_exp_type': 'single_table', 'where_type': {'basic_comparison': '<'}, 'number_of_value_exp_in_group_by': 1, 'having_type': {'single': 'MAX'}, 'orderby_type': 'none', 'limit_type': 'none', 'value_exp_types': ['single_exp_text'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}",SELECT name FROM Country WHERE  id < 50 GROUP BY name HAVING MAX(id) = 55
"{'meaningful_joins': 'yes', 'table_exp_type': 'JOIN', 'where_type': {'basic_comparison': '<'}, 'number_of_value_exp_in_group_by': 0, 'having_type': 'none', 'orderby_type': 'none', 'limit_type': 'none', 'value_exp_types': ['agg_exp', 'single_exp_number'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}","SELECT AVG(Team.team_fifa_api_id), buildUpPlayPassing FROM Team JOIN Team_Attributes ON Team_Attributes.team_api_id = Team.team_api_id AND Team.team_fifa_api_id = Team_Attributes.team_fifa_api_id WHERE  defencePressure < 89"
"{'meaningful_joins': 'yes', 'table_exp_type': 'single_table_with_name_changing', 'where_type': {'basic_comparison': '>'}, 'number_of_value_exp_in_group_by': 1, 'having_type': {'single': 'SUM'}, 'orderby_type': 'ASC', 'limit_type': 'none', 'value_exp_types': ['single_exp_number', 'single_exp_number'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}","SELECT y.player_api_id, y.weight FROM Player AS y WHERE  y.id > 55 GROUP BY y.weight HAVING SUM(y.id) <= 82 ORDER BY y.player_api_id ASC"
"{'meaningful_joins': 'yes', 'table_exp_type': 'JOIN', 'where_type': {'logical_operator': ['OR', 'between', 'basic_comparison']}, 'number_of_value_exp_in_group_by': 1, 'having_type': 'none', 'orderby_type': 'DESC', 'limit_type': 'none', 'value_exp_types': ['count_distinct_exp', 'single_exp_number', 'single_exp_number'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}","SELECT COUNT(DISTINCT League.id), country_id, country_id FROM League JOIN Country ON League.country_id = Country.id WHERE League.id BETWEEN 1 AND 10 OR  Country.id = 65 GROUP BY country_id ORDER BY country_id DESC"
"{'meaningful_joins': 'yes', 'table_exp_type': 'SELF JOIN', 'where_type': 'none', 'number_of_value_exp_in_group_by': 0, 'having_type': 'none', 'orderby_type': 'none', 'limit_type': 'none', 'value_exp_types': ['single_exp_text'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}",SELECT Player_Attributes.preferred_foot FROM Player_Attributes JOIN Player_Attributes AS g ON Player_Attributes.id = g.id
"{'meaningful_joins': 'yes', 'table_exp_type': 'JOIN', 'where_type': {'logical_operator': ['AND', 'basic_comparison', 'in_with_subquery']}, 'number_of_value_exp_in_group_by': 0, 'having_type': 'none', 'orderby_type': 'none', 'limit_type': 'without_offset', 'value_exp_types': ['count_distinct_exp'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}",SELECT COUNT(DISTINCT volleys) FROM Player JOIN Player_Attributes ON Player_Attributes.player_api_id = Player.player_api_id AND Player.player_fifa_api_id = Player_Attributes.player_fifa_api_id WHERE  acceleration <= 48 AND ball_control IN (SELECT ball_control FROM Player_Attributes WHERE finishing BETWEEN 1 AND 10) LIMIT 5
"{'meaningful_joins': 'yes', 'table_exp_type': 'JOIN', 'where_type': {'logical_operator': ['OR', 'between', 'basic_comparison']}, 'number_of_value_exp_in_group_by': 0, 'having_type': 'none', 'orderby_type': 'none', 'limit_type': 'without_offset', 'value_exp_types': ['single_exp_number', 'single_exp_number'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}","SELECT crossing, gk_reflexes FROM Player JOIN Player_Attributes ON Player_Attributes.player_api_id = Player.player_api_id AND Player.player_fifa_api_id = Player_Attributes.player_fifa_api_id WHERE standing_tackle BETWEEN 1 AND 10 OR  free_kick_accuracy > 76 LIMIT 7"
"{'meaningful_joins': 'yes', 'table_exp_type': 'JOIN', 'where_type': 'exists_subquery', 'number_of_value_exp_in_group_by': 1, 'having_type': {'single': 'SUM'}, 'orderby_type': 'none', 'limit_type': 'without_offset', 'value_exp_types': ['agg_exp'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}","SELECT SUM(country_id), League.name FROM League JOIN Country ON League.country_id = Country.id WHERE EXISTS (SELECT * FROM Country AS i WHERE  i.id >= 42 AND League.id = i.id) GROUP BY League.name HAVING SUM(Country.id) < 64 LIMIT 8"
"{'meaningful_joins': 'yes', 'table_exp_type': 'single_table_with_name_changing', 'where_type': 'between', 'number_of_value_exp_in_group_by': 1, 'having_type': {'single': 'MIN'}, 'orderby_type': 'none', 'limit_type': 'without_offset', 'value_exp_types': ['single_exp_number'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}","SELECT u.long_passing, u.player_api_id FROM Player_Attributes AS u WHERE u.long_passing BETWEEN 1 AND 10 GROUP BY u.player_api_id HAVING MIN(u.sliding_tackle) = 19 LIMIT 5"
"{'meaningful_joins': 'yes', 'table_exp_type': 'JOIN', 'where_type': {'logical_operator': ['AND', 'basic_comparison', 'not_in_with_subquery']}, 'number_of_value_exp_in_group_by': 0, 'having_type': 'none', 'orderby_type': 'none', 'limit_type': 'none', 'value_exp_types': ['single_exp_number', 'single_exp_number'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}","SELECT free_kick_accuracy, potential FROM Player JOIN Player_Attributes ON Player_Attributes.player_api_id = Player.player_api_id AND Player.player_fifa_api_id = Player_Attributes.player_fifa_api_id WHERE  reactions >= 59 AND player_api_id NOT IN (SELECT player_api_id FROM Player_Attributes AS q WHERE  q.long_shots != 85 LIMIT 3)"
"{'meaningful_joins': 'yes', 'table_exp_type': 'JOIN', 'where_type': 'none', 'number_of_value_exp_in_group_by': 0, 'having_type': 'none', 'orderby_type': 'none', 'limit_type': 'none', 'value_exp_types': ['single_exp_text', 'single_exp_text'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}","SELECT Country.name, League.name FROM League JOIN Country ON League.country_id = Country.id"
"{'meaningful_joins': 'yes', 'table_exp_type': 'single_table', 'where_type': {'logical_operator': ['AND', 'basic_comparison', 'exists_subquery']}, 'number_of_value_exp_in_group_by': 1, 'having_type': 'none', 'orderby_type': 'none', 'limit_type': 'without_offset', 'value_exp_types': ['single_exp_number', 'single_exp_text'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}","SELECT id, name FROM League WHERE  country_id <= 54 AND EXISTS (SELECT * FROM Country WHERE  id < 60 AND League.id = id) GROUP BY name LIMIT 5"
"{'meaningful_joins': 'yes', 'table_exp_type': 'SELF JOIN', 'where_type': {'basic_comparison': '>'}, 'number_of_value_exp_in_group_by': 0, 'having_type': 'none', 'orderby_type': 'none', 'limit_type': 'without_offset', 'value_exp_types': ['count_distinct_exp', 'single_exp_number'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}","SELECT COUNT(DISTINCT s.country_id), League.id FROM League JOIN League AS s ON League.id = s.id WHERE  s.country_id > 92 LIMIT 5"
"{'meaningful_joins': 'yes', 'table_exp_type': 'JOIN', 'where_type': {'basic_comparison': '!='}, 'number_of_value_exp_in_group_by': 0, 'having_type': 'none', 'orderby_type': 'DESC', 'limit_type': 'none', 'value_exp_types': ['agg_exp', 'single_exp_text'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}","SELECT COUNT(standing_tackle), defensive_work_rate FROM Player JOIN Player_Attributes ON Player_Attributes.player_api_id = Player.player_api_id AND Player.player_fifa_api_id = Player_Attributes.player_fifa_api_id WHERE  overall_rating != 20 ORDER BY defensive_work_rate DESC"
"{'meaningful_joins': 'yes', 'table_exp_type': 'single_table', 'where_type': {'logical_operator': ['AND', 'between', 'basic_comparison']}, 'number_of_value_exp_in_group_by': 0, 'having_type': 'none', 'orderby_type': 'ASC', 'limit_type': 'none', 'value_exp_types': ['count_distinct_exp', 'single_exp_number', 'single_exp_number'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}","SELECT COUNT(DISTINCT team_fifa_api_id), team_fifa_api_id, team_api_id FROM Team WHERE team_api_id BETWEEN 1 AND 10 AND  team_api_id != 43 ORDER BY team_fifa_api_id ASC"
"{'meaningful_joins': 'yes', 'table_exp_type': 'single_table', 'where_type': {'basic_comparison': '>'}, 'number_of_value_exp_in_group_by': 0, 'having_type': 'none', 'orderby_type': 'none', 'limit_type': 'none', 'value_exp_types': ['single_exp_text', 'single_exp_text'], 'distinct_type': 'none', 'min_max_depth_in_subquery': [1, 1]}","SELECT team_long_name, team_long_name FROM Team WHERE  team_fifa_api_id > 57"
