query
"{'hash': 'f053db13eb688657b645063a17fb8f86dc77b8ef', 'query': 'SELECT T1.Name, MAX(T1.Enrollment) FROM institution AS T1 JOIN Championship AS T2 ON T1.Institution_ID = T2.Institution_ID WHERE T2.Number_of_Championships != 0 GROUP BY T1.Name ORDER BY MAX(T1.Enrollment) ASC', 'template': 'SELECT #COLUMN#'}"
"{'hash': 'a58c8aa45e4e83201fd28f0355cda9e03a28c04e', 'query': 'SELECT T1.Name, T3.Number_of_Championships FROM institution AS T1 JOIN Championship AS T2 ON T1.Institution_ID = T2.Institution_ID JOIN ( SELECT Institution_ID FROM Championship WHERE Number_of_Championships > 1 ) AS T3 ON T1.Institution_ID = T3.Institution_ID ORDER BY T1.Name ASC', 'template': 'SELECT #COLUMN#, #COLUMN# FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# JOIN ( SELECT #COLUMN# FROM #TABLE# WHERE #COLUMN# > #VALUE# ) AS  ON #COLUMN# = #COLUMN# ORDER BY #COLUMN# ASC'}"
"{'hash': 'ef21d842b7825f62169852d8374b77ad89833303', 'query': 'SELECT i.Team, SUM(c.Number_of_Championships) FROM institution AS i JOIN Championship AS c ON i.Institution_ID = c.Institution_ID WHERE i.Enrollment < 10000 OR c.Number_of_Championships > (SELECT AVG(Number_of_Championships) FROM Championship) GROUP BY i.Team LIMIT 10', 'template': 'SELECT #COLUMN#, SUM(#COLUMN#) FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# < #VALUE# OR #COLUMN# > (SELECT AVG(#COLUMN#) FROM #TABLE#) GROUP BY #COLUMN# LIMIT #VALUE#'}"
"{'hash': '751f792f2b09aedf2e497bb0e7e5189fdf8017b3', 'query': ""SELECT T1.Name, T2.Nickname FROM institution AS T1 JOIN Championship AS T2 ON T1.Institution_ID = T2.Institution_ID WHERE T1.Enrollment BETWEEN (SELECT MIN(Enrollment) FROM institution) AND (SELECT MAX(Enrollment) FROM institution) OR T2.Nickname = 'Team1' OR T1.Founded > (SELECT AVG(Founded) FROM institution)"", 'template': ""SELECT #COLUMN#, #COLUMN# FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# BETWEEN (SELECT MIN(#COLUMN#) FROM #TABLE#) AND (SELECT MAX(#COLUMN#) FROM #TABLE#) OR #COLUMN# = '#VALUE#' OR #COLUMN# > (SELECT AVG(#COLUMN#) FROM #TABLE#)""}"
"{'hash': '6cc94fa69ed777ebdfba44aebd66cb9779f06866', 'query': 'SELECT COUNT(DISTINCT City), Name FROM institution LIMIT 10', 'template': 'SELECT COUNT(DISTINCT #COLUMN#), #COLUMN# FROM #TABLE# LIMIT #VALUE#'}"
"{'hash': 'fc99b630c3378542f2bc0403b5502b05c952200c', 'query': 'SELECT T1.Name, COUNT(T2.Number_of_Championships) FROM institution AS T1 JOIN Championship AS T2 ON T1.Institution_ID = T2.Institution_ID WHERE T1.Enrollment >= 10000 GROUP BY T1.Name', 'template': 'SELECT #COLUMN#, COUNT(#COLUMN#) FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# >= #VALUE# GROUP BY #COLUMN#'}"
"{'hash': '5c996b4dde983872de27c42559015407cdf507b3', 'query': 'SELECT COUNT(DISTINCT Institution_ID), Team FROM institution WHERE Enrollment < 10000', 'template': 'SELECT COUNT(DISTINCT #COLUMN#), #COLUMN# FROM #TABLE# WHERE #COLUMN# < #VALUE#'}"
"{'hash': 'dd1a3f5ba125447da2e69b6927d687b3b1e657b3', 'query': 'SELECT COUNT(DISTINCT T1.Name) FROM institution AS T1 JOIN Championship AS T2 ON T1.Institution_ID = T2.Institution_ID WHERE T2.Number_of_Championships > 1', 'template': 'SELECT COUNT(DISTINCT #COLUMN#) FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# > #VALUE#'}"
"{'hash': '41d6345c16726fcf4b4ce2158b78c014ff97c530', 'query': 'SELECT T1.Name, T2.Nickname FROM institution AS T1 JOIN institution AS T2 ON T1.Institution_ID < T2.Institution_ID ORDER BY T1.Name ASC', 'template': 'SELECT #COLUMN#, #COLUMN# FROM #TABLE# AS T1 JOIN #TABLE# AS T2 ON #COLUMN# < #COLUMN# ORDER BY #COLUMN# ASC'}"
"{'hash': 'de1f3331e1f5fbd4183e7896c7ad578afd3ff61d', 'query': ""SELECT Name, Team FROM institution WHERE Province = 'Ontario' OR City IN ( SELECT City FROM institution WHERE Enrollment > 10000 ) ORDER BY Name DESC"", 'template': 'SELECT #COLUMN#, #COLUMN# FROM #TABLE# WHERE #COLUMN# = #VALUE# OR #COLUMN# IN ( SELECT #COLUMN# FROM #TABLE# WHERE #COLUMN# > #VALUE# ) ORDER BY #COLUMN# DESC'}"
"{'hash': 'bac4eae6d995fbac2e3522dece0586d32f8c7506', 'query': 'SELECT T1.Institution_ID FROM institution AS T1 JOIN Championship AS T2 ON T1.Institution_ID = T2.Institution_ID WHERE T1.Enrollment > 10000', 'template': 'SELECT #COLUMN# FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# > #VALUE#'}"
"{'hash': '82945778be9a844b60ab5aa779035c6dbb6a71c7', 'query': ""SELECT Team, City FROM institution WHERE Enrollment > 10000 AND Founded BETWEEN 1800 AND 1900 AND Name = 'University' ORDER BY Enrollment DESC"", 'template': ""SELECT #COLUMN#, #COLUMN# FROM #TABLE# WHERE #COLUMN# > #VALUE# AND #COLUMN# BETWEEN #VALUE# AND #VALUE# AND #COLUMN# = '#VALUE#' ORDER BY #COLUMN# DESC""}"
"{'hash': '7d307665ec3234296a3b5794d6cd19f5854df6d9', 'query': ""SELECT Name, MIN(Enrollment) FROM institution WHERE City = 'Ottawa' GROUP BY Name HAVING MIN(Enrollment) < 20000 ORDER BY Name DESC"", 'template': 'SELECT #COLUMN#, MIN(#COLUMN#) FROM #TABLE# WHERE #COLUMN# = #VALUE# GROUP BY #COLUMN# HAVING MIN(#COLUMN#) < #VALUE# ORDER BY #COLUMN# DESC'}"
"{'hash': 'faaa193f240c67649f67b14d162090840f42cdb3', 'query': ""SELECT COUNT(DISTINCT T1.Team), COUNT(DISTINCT T2.Nickname), T1.Name FROM institution AS T1 JOIN Championship AS T2 ON T1.Institution_ID = T2.Institution_ID WHERE T1.Enrollment > 5000 AND T1.Endowment BETWEEN 'High' AND 'Highest' AND T2.Number_of_Championships = 5 ORDER BY T1.Enrollment DESC"", 'template': 'SELECT COUNT(DISTINCT #COLUMN#), COUNT(DISTINCT #COLUMN#), #COLUMN# FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# > #VALUE# AND #COLUMN# BETWEEN #VALUE# AND #VALUE# AND #COLUMN# = #VALUE# ORDER BY #COLUMN# DESC'}"
"{'hash': '19296c373eb027eeebcd4b8149d268107dc2aa71', 'query': 'SELECT Enrollment FROM institution AS T1 ORDER BY Enrollment ASC LIMIT 10', 'template': 'SELECT #COLUMN# FROM #TABLE# AS T1 ORDER BY #COLUMN# ASC LIMIT #VALUE#'}"
"{'hash': '7eeb7f2227b600a0ee0226aafd001fe1a842a351', 'query': 'SELECT T1.Name, T1.Team, T2.Nickname FROM institution AS T1 JOIN Championship AS T2 ON T1.Institution_ID = T2.Institution_ID ORDER BY T1.Name ASC', 'template': 'SELECT #COLUMN#, #COLUMN#, #COLUMN# FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# ORDER BY #COLUMN# ASC'}"
"{'hash': 'a97bce51d1ed38646d02815e2c1516979cd0087d', 'query': 'SELECT COUNT(DISTINCT T1.Team), T2.Nickname FROM institution AS T1 JOIN Championship AS T2 ON T1.Institution_ID = T2.Institution_ID WHERE T1.Enrollment > 10000 OR T1.Founded BETWEEN 1800 AND 1900 OR T1.Institution_ID NOT IN (SELECT Institution_ID FROM Championship) ORDER BY COUNT(DISTINCT T1.Team) DESC', 'template': 'SELECT COUNT(DISTINCT #COLUMN#), #COLUMN# FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# > #VALUE# OR #COLUMN# BETWEEN #VALUE# AND #VALUE# OR #COLUMN# NOT IN (SELECT #COLUMN# FROM #TABLE#) ORDER BY COUNT(DISTINCT #COLUMN#) DESC'}"
"{'hash': '561db25838a99c6cb6f15ca3eee593dc20a71cf4', 'query': 'SELECT T1.City, COUNT(DISTINCT T1.Name) FROM institution AS T1 GROUP BY T1.City ORDER BY T1.City ASC', 'template': 'SELECT #COLUMN#, COUNT(DISTINCT #COLUMN#) FROM #TABLE# AS GROUP BY #COLUMN# ORDER BY #COLUMN# ASC'}"
"{'hash': '4805fd12d2a97af64c2c3da1e8ceff0affc75c4c', 'query': 'SELECT T1.Name, T2.Capacity FROM institution AS T1 JOIN Championship AS T3 ON T1.Institution_ID = T3.Institution_ID JOIN institution AS T2 ON T3.Institution_ID = T2.Institution_ID WHERE (T1.Enrollment > 1000 OR T2.Capacity < 50000) AND T1.Institution_ID IN (SELECT Institution_ID FROM Championship) ORDER BY T2.Capacity ASC', 'template': 'SELECT #COLUMN#, #COLUMN# FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE (#COLUMN# > #VALUE# OR #COLUMN# < #VALUE#) AND #COLUMN# IN (SELECT #COLUMN# FROM #TABLE#) ORDER BY #COLUMN# ASC'}"
"{'hash': 'a3b9949b5d9c93a7878012fef95f537288297377', 'query': 'SELECT T1.Name, COUNT(DISTINCT T2.Nickname) FROM institution AS T1 LEFT JOIN Championship AS T2 ON T1.Institution_ID = T2.Institution_ID WHERE T1.Founded > 1900 AND NOT EXISTS ( SELECT 1 FROM Championship AS T3 WHERE T3.Institution_ID = T2.Institution_ID AND T3.Number_of_Championships = 0 ) ORDER BY T1.Founded DESC', 'template': 'SELECT #COLUMN#, COUNT(DISTINCT #COLUMN#) FROM #TABLE# LEFT JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# > #VALUE# AND NOT EXISTS ( SELECT 1 FROM #TABLE# WHERE #COLUMN# = #COLUMN# AND #COLUMN# = #VALUE# ) ORDER BY #COLUMN# DESC'}"
"{'hash': 'ca377b850657df7757412773b7bac24160249d68', 'query': 'SELECT Name FROM institution WHERE Enrollment > 20000', 'template': 'SELECT #COLUMN# FROM #TABLE# WHERE #COLUMN# > #VALUE#'}"
"{'hash': '66109b61c18cbe3a6817ec90f2bf8e3fbeff09a3', 'query': 'SELECT Institution_ID FROM institution WHERE Enrollment >= 10000 LIMIT 10', 'template': 'SELECT #COLUMN# FROM #TABLE# WHERE #COLUMN# >= #VALUE# LIMIT #VALUE#'}"
"{'hash': 'f98c3414eed169b94f5eac24db866c9705dd48e2', 'query': 'SELECT T1.Team, T1.Capacity FROM institution AS T1 JOIN Championship AS T2 ON T1.Institution_ID = T2.Institution_ID JOIN institution AS T3 ON T2.Institution_ID = T3.Institution_ID WHERE T1.Enrollment >= 10000 AND T3.Founded >= 1800', 'template': 'SELECT #COLUMN#, #COLUMN# FROM #TABLE# AS T1 JOIN #TABLE# AS T2 ON #COLUMN# = #COLUMN# JOIN #TABLE# AS T3 ON #COLUMN# = #COLUMN# WHERE #COLUMN# >= #VALUE# AND #COLUMN# >= #VALUE#'}"
"{'hash': '739d89c03ec23a53b7ad1012512157ea7b48a6f3', 'query': ""SELECT T1.Name, COUNT(DISTINCT T2.Nickname), MIN(T1.Capacity) FROM institution AS T1 JOIN Championship AS T2 ON T1.Institution_ID = T2.Institution_ID JOIN Championship AS T3 ON T2.Institution_ID = T3.Institution_ID WHERE T1.Province = 'Ontario' OR T1.Founded BETWEEN 1500 AND 2000 OR T2.Number_of_Championships > 1 GROUP BY T1.Name LIMIT 100"", 'template': 'SELECT #COLUMN#, COUNT(DISTINCT #COLUMN#), MIN(#COLUMN#) FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# = #VALUE# OR #COLUMN# BETWEEN #VALUE# AND #VALUE# OR #COLUMN# > #VALUE# GROUP BY #COLUMN# LIMIT #VALUE#'}"
