query
"{'hash': 'ca110d3668b2b0c83a23a136486b5ce108d3223a', 'query': 'SELECT id, name FROM countries', 'template': 'SELECT #COLUMN#, #COLUMN# FROM #TABLE#'}"
"{'hash': 'b2732f50628b7008e99c6912bd3dda7126a66121', 'query': 'SELECT T1.name FROM countries AS T1 WHERE T1.overall_score BETWEEN 70 AND 90 OR T1.justice_score > 80 OR T1.politics_score = 95 LIMIT 5', 'template': 'SELECT #COLUMN# FROM #TABLE# AS WHERE #COLUMN# BETWEEN #VALUE# AND #VALUE# OR #COLUMN# > #VALUE# OR #COLUMN# = #VALUE# LIMIT #VALUE#'}"
"{'hash': 'fa029919adfd357cccb7ec80890f89eba2d773ee', 'query': ""SELECT T1.name, COUNT(DISTINCT T3.id) FROM countries AS T1 JOIN official_languages AS T2 ON T1.id = T2.country_id JOIN languages AS T3 ON T2.language_id = T3.id WHERE T1.overall_score BETWEEN 70 AND 80 AND T1.name = 'Argentina' GROUP BY T1.name ORDER BY COUNT(DISTINCT T3.id) DESC"", 'template': 'SELECT #COLUMN#, COUNT(DISTINCT #COLUMN#) FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# BETWEEN #VALUE# AND #VALUE# AND #COLUMN# = #VALUE# GROUP BY #COLUMN# ORDER BY COUNT(DISTINCT #COLUMN#) DESC'}"
"{'hash': '245a2910b08f34c86a89570f6ced8794eae281de', 'query': ""SELECT T1.name, T2.name FROM languages AS T1 JOIN official_languages AS T2 ON T1.id = T2.language_id JOIN countries AS T3 ON T3.id = T2.country_id WHERE T1.name = 'English' AND T3.overall_score BETWEEN 0 AND 100 AND T3.education_score > 80"", 'template': 'SELECT #COLUMN#, #COLUMN# FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# = #VALUE# AND #COLUMN# BETWEEN #VALUE# AND #VALUE# AND #COLUMN# > #VALUE#'}"
"{'hash': '2b218190bab6e5ed53359e2690cdb5ed997c0407', 'query': 'SELECT name FROM languages WHERE id > 10', 'template': 'SELECT #COLUMN# FROM #TABLE# WHERE #COLUMN# > #VALUE#'}"
"{'hash': '2416256d3b9e1e720066d1e64270db07ba18761c', 'query': 'SELECT T1.name FROM countries AS T1 JOIN official_languages AS T2 ON T1.id = T2.country_id WHERE T1.overall_score > 50 AND T1.economics_score BETWEEN 60 AND 80 AND T2.language_id = 1 ORDER BY T1.overall_score ASC', 'template': 'SELECT #COLUMN# FROM #TABLE# AS #TABLE# JOIN #TABLE# AS #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# > #VALUE# AND #COLUMN# BETWEEN #VALUE# AND #VALUE# AND #COLUMN# = #VALUE# ORDER BY #COLUMN# ASC'}"
"{'hash': '0fcc1493aaec39f5027a1358470856dfa2adcd04', 'query': 'SELECT COUNT(T1.id), T2.name FROM countries AS T1 JOIN official_languages AS T3 ON T1.id = T3.country_id JOIN languages AS T2 ON T2.id = T3.language_id WHERE T1.overall_score = 80', 'template': 'SELECT COUNT(#COLUMN#), #COLUMN# FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# = #VALUE#'}"
"{'hash': 'bd281a8f8434e55d8a0eaf15e391446a62449042', 'query': 'SELECT T2.name, T1.name FROM official_languages AS T1 JOIN languages AS T2 ON T1.language_id = T2.id WHERE T1.country_id >= 10', 'template': 'SELECT #COLUMN#, #COLUMN# FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# >= #VALUE#'}"
"{'hash': '952bf91aff9bf140d6f23f16e6bb786e3d4912d8', 'query': 'SELECT T1.name, T2.name FROM languages AS T1 JOIN official_languages AS T2 ON T1.id = T2.language_id JOIN countries AS T3 ON T2.country_id = T3.id WHERE T3.overall_score >= 60 ORDER BY T1.name ASC', 'template': 'SELECT #COLUMN#, #COLUMN# FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# >= #VALUE# ORDER BY #COLUMN# ASC'}"
"{'hash': '27570aab74445087f156ca5e4763774b8938c07c', 'query': ""SELECT T1.name, COUNT(DISTINCT T2.name), COUNT(DISTINCT T3.name) FROM languages AS T1 JOIN official_languages AS T2 ON T1.id = T2.language_id JOIN countries AS T3 ON T2.country_id = T3.id WHERE T3.name = 'USA' OR T3.overall_score > 80 OR T3.id IN (SELECT T4.country_id FROM official_languages AS T4 WHERE T4.language_id = 1) ORDER BY T1.name DESC"", 'template': 'SELECT #COLUMN#, COUNT(DISTINCT #COLUMN#), COUNT(DISTINCT #COLUMN#) FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# = #VALUE# OR #COLUMN# > #VALUE# OR #COLUMN# IN (SELECT #COLUMN# FROM #TABLE# WHERE #COLUMN# = #VALUE#) ORDER BY #COLUMN# DESC'}"
"{'hash': '947a1323d85222806502d7b363d498e14e27711b', 'query': ""SELECT MAX(T1.overall_score), MIN(T2.education_score) FROM countries AS T1 JOIN official_languages AS T2 ON T1.id = T2.country_id WHERE T1.id BETWEEN 10 AND 20 AND T2.language_id IN (SELECT id FROM languages WHERE name = 'English')"", 'template': 'SELECT MAX(#COLUMN#), MIN(#COLUMN#) FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# BETWEEN #VALUE# AND #VALUE# AND #COLUMN# IN (SELECT #COLUMN# FROM #TABLE# WHERE #COLUMN# = #VALUE#)'}"
