query
"{'hash': 'b4c8b09afa5d68c9dbf81e1ac4f2e28b610a9a4e', 'query': 'SELECT COUNT(DISTINCT T1.Invoice_ID), T3.payment_method_description FROM Invoices AS T1 JOIN Invoice_Items AS T2 ON T1.Invoice_ID = T2.Invoice_ID JOIN Ref_Payment_Methods AS T3 ON T1.payment_method_code = T3.payment_method_code WHERE T1.Invoice_ID BETWEEN 1000 AND 2000 LIMIT 10', 'template': 'SELECT COUNT(DISTINCT #COLUMN#), #COLUMN# FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# BETWEEN #VALUE# AND #VALUE# LIMIT #VALUE#'}"
"{'hash': 'ebf9da71c6f7d33b6263ee7ce80a765a9beee62a', 'query': ""SELECT T2.Workshop_Group_ID, COUNT(T1.Product_ID) FROM Order_Items AS T1 JOIN Invoices AS T2 ON T1.Order_ID = T2.Order_ID WHERE T1.Order_ID BETWEEN 1 AND 10 OR T2.payment_method_code = 'cash' ORDER BY T2.Workshop_Group_ID DESC"", 'template': 'SELECT #COLUMN#, COUNT(#COLUMN#) FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# BETWEEN #VALUE# AND #VALUE# OR #COLUMN# = #VALUE# ORDER BY #COLUMN# DESC'}"
"{'hash': '8a65931fe59944bd3d6946c3b2d4a171f05f8c9a', 'query': 'SELECT MIN(T1.Product_Price) FROM Products AS T1 JOIN Order_Items AS T2 ON T1.Product_ID = T2.Product_ID', 'template': 'SELECT MIN(#COLUMN#) FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN#'}"
"{'hash': '15332d0ff199f6ddd464313b38d3cbf58dcd1e79', 'query': ""SELECT DISTINCT T1.Store_Name FROM Drama_Workshop_Groups AS T1 JOIN Stores AS T2 ON T1.Address_ID = T2.Address_ID WHERE T2.Store_Phone != '' LIMIT 10"", 'template': 'SELECT DISTINCT #COLUMN# FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# != #VALUE# LIMIT #VALUE#'}"
"{'hash': 'a6f6260bce6a6fb238c1d71e78ec4efc448aafa1', 'query': 'SELECT T1.Store_Name, T2.Store_Name FROM Drama_Workshop_Groups AS T1 JOIN Drama_Workshop_Groups AS T2 ON T1.Workshop_Group_ID = T2.Workshop_Group_ID GROUP BY T2.Store_Name', 'template': 'SELECT #COLUMN#, #COLUMN# FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# GROUP BY #COLUMN#'}"
"{'hash': 'ce3e561ba29b8fc6196db12ff48fd82a7fe42e31', 'query': 'SELECT T1.Service_Type_Code, COUNT(T2.Service_ID) FROM Ref_Service_Types AS T1 JOIN Services AS T2 ON T1.Service_Type_Code = T2.Service_Type_Code WHERE T1.Service_Type_Code != T2.Service_Type_Code', 'template': 'SELECT #COLUMN#, COUNT(#COLUMN#) FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# != #COLUMN#'}"
"{'hash': '534e6549d3fe685fa4ad445cc70ea03c12a431c1', 'query': ""SELECT T1.Product_Name, T2.Order_Date FROM Products AS T1 INNER JOIN Order_Items AS T2 ON T1.Product_ID = T2.Product_ID WHERE T2.Order_Date BETWEEN '2020-01-01' AND '2020-12-31' AND T2.Order_Quantity > 100"", 'template': 'SELECT #COLUMN#, #COLUMN# FROM #TABLE# INNER JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# BETWEEN #VALUE# AND #VALUE# AND #COLUMN# > #VALUE#'}"
"{'hash': '1a9e7f482c0489decc540eb91852adeafe118933', 'query': ""SELECT COUNT(DISTINCT T1.Store_Name), COUNT(DISTINCT T2.Store_Phone) FROM Stores AS T1 JOIN Drama_Workshop_Groups AS T2 ON T1.Store_ID = T2.Store_ID WHERE T1.Store_Name = 'Store1' OR T2.Store_Phone BETWEEN 100 AND 200 OR T1.Store_ID = 1"", 'template': 'SELECT COUNT(DISTINCT #COLUMN#), COUNT(DISTINCT #COLUMN#) FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# = #VALUE# OR #COLUMN# BETWEEN #VALUE# AND #VALUE# OR #COLUMN# = #VALUE#'}"
"{'hash': '2dbbb6c98695c25dca025e04ce4e851b58fc71ad', 'query': 'SELECT T1.Product_Name, COUNT(DISTINCT T2.Store_ID) FROM Products AS T1 JOIN Stores AS T2 ON T1.Product_ID = T2.Store_ID', 'template': 'SELECT #COLUMN#, COUNT(DISTINCT #COLUMN#) FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN#'}"
"{'hash': '1ba995cefcec92c631865afe484361ea1da16bab', 'query': 'SELECT T1.Product_Name FROM Products AS T1 WHERE T1.Product_ID IN ( SELECT T2.Product_ID FROM Invoices AS T2 WHERE T2.Product_ID = T1.Product_ID ) GROUP BY T1.Product_Name HAVING MIN(T1.Product_Price)', 'template': 'SELECT #COLUMN# FROM #TABLE# AS T1 WHERE #COLUMN# IN ( SELECT #COLUMN# FROM #TABLE# AS T2 WHERE #COLUMN# = T1.#COLUMN# ) GROUP BY #COLUMN# HAVING MIN(#COLUMN#)'}"
"{'hash': 'b3aa8563380bdf4b325fd10d634c24c054c54c39', 'query': ""SELECT T1.Store_Name FROM Drama_Workshop_Groups AS T1 JOIN Stores AS T2 ON T1.Address_ID = T2.Address_ID WHERE T1.Store_Phone = '123456789' OR T2.Store_Phone = '987654321' ORDER BY T2.Store_ID DESC"", 'template': 'SELECT #COLUMN# FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# = #VALUE# OR #COLUMN# = #VALUE# ORDER BY #COLUMN# DESC'}"
"{'hash': '523a1bdeb8e26f94066bfe5847521e2975cd3ef5', 'query': ""SELECT T1.payment_method_description FROM Ref_Payment_Methods AS T1 JOIN Invoices AS T2 ON T1.payment_method_code = T2.payment_method_code WHERE T2.payment_method_code = 'Cash'"", 'template': ""SELECT #COLUMN# FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# = '#VALUE#'""}"
"{'hash': '4f2784ac2556631a59f98023360772c6bce5baf9', 'query': ""SELECT T1.Store_Name FROM Drama_Workshop_Groups AS T1 JOIN Stores AS T2 ON T2.Store_Name = T1.Store_Name WHERE T2.Store_ID < ( SELECT Store_ID FROM Stores WHERE Marketing_Region_Code = 'North' )"", 'template': 'SELECT #COLUMN# FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# < ( SELECT #COLUMN# FROM #TABLE# WHERE #COLUMN# = #VALUE# )'}"
"{'hash': '6a86105fd613d6629757de74c8859b0e4ab6337a', 'query': 'SELECT T1.Service_Type_Code, MIN(T2.Product_Price) FROM Services AS T1 JOIN Products AS T2 ON T1.Product_ID = T2.Product_ID WHERE T2.Product_Price < 10 GROUP BY T1.Service_Type_Code ORDER BY T1.Service_Type_Code ASC', 'template': 'SELECT #COLUMN#, MIN(#COLUMN#) FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# < #VALUE# GROUP BY #COLUMN# ORDER BY #COLUMN# ASC'}"
"{'hash': 'cd4545d9272bb6f820e5dcd1470e39e3a59e8353', 'query': ""SELECT S.Store_Name, I.Invoice_ID FROM Stores S JOIN Invoices I ON S.Store_ID = I.Store_ID WHERE I.payment_method_code = 'Cash' OR I.Order_ID IN ( SELECT O.Order_ID FROM Customer_Orders O WHERE O.Customer_ID = 1000 )"", 'template': 'SELECT #COLUMN#, #COLUMN# FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# = #VALUE# OR #COLUMN# IN ( SELECT #COLUMN# FROM #TABLE# WHERE #COLUMN# = #VALUE# )'}"
"{'hash': '12bba77e065f4cbca936bc47d6a64b0ca33459a8', 'query': ""SELECT T1.Store_Name FROM Drama_Workshop_Groups AS T1 JOIN Drama_Workshop_Groups AS T2 ON T1.Workshop_Group_ID = T2.Workshop_Group_ID WHERE T1.Store_Name = 'Store1' OR T1.Store_Name = 'Store2' GROUP BY T1.Store_Name HAVING MIN(T2.Store_Name) = 'Store3' ORDER BY T1.Store_Name DESC LIMIT 10"", 'template': 'SELECT #COLUMN# FROM #TABLE# AS T1 JOIN #TABLE# AS T2 ON #COLUMN# = #COLUMN# WHERE #COLUMN# = #VALUE# OR #COLUMN# = #VALUE# GROUP BY #COLUMN# HAVING MIN(#COLUMN#) = #VALUE# ORDER BY #COLUMN# DESC LIMIT #VALUE#'}"
"{'hash': 'a83df44ab8160a583e58981fbd6fafed4e40e294', 'query': ""SELECT T1.Store_Name FROM Drama_Workshop_Groups AS T1 WHERE T1.Workshop_Group_ID > (SELECT Workshop_Group_ID FROM Bookings_Services AS T2 WHERE T2.Product_ID = 'BS01') ORDER BY T1.Workshop_Group_ID DESC LIMIT 10"", 'template': ""SELECT #COLUMN# FROM #TABLE# AS T1 WHERE T1.#COLUMN# > (SELECT #COLUMN# FROM #TABLE# AS T2 WHERE T2.#COLUMN# = '#VALUE#') ORDER BY T1.#COLUMN# DESC LIMIT #VALUE#""}"
"{'hash': '2af95cea2e26f26108ac5603b12ea7173db20dd7', 'query': ""SELECT payment_method_description FROM Ref_Payment_Methods WHERE payment_method_code != 'credit' GROUP BY payment_method_description HAVING SUM(payment_method_code) = 0 ORDER BY payment_method_description ASC"", 'template': ""SELECT #COLUMN# FROM #TABLE# WHERE #COLUMN# != '#VALUE#' GROUP BY #COLUMN# HAVING SUM(#COLUMN#) = 0 ORDER BY #COLUMN# ASC""}"
"{'hash': '49e18dd05a2bc605c4802b64604e6b78125f5439', 'query': ""SELECT T1.Customer_Name FROM Customers AS T1 JOIN Invoices AS T2 ON T1.Customer_ID = T2.Order_ID JOIN Ref_Payment_Methods AS T3 ON T2.payment_method_code = T3.payment_method_code WHERE T3.payment_method_code >= 'cash'"", 'template': 'SELECT #COLUMN# FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# >= #VALUE#'}"
"{'hash': 'c8134cd5778b10700f88608b36a01df428bee5df', 'query': ""SELECT T1.Store_Name FROM Drama_Workshop_Groups AS T1 JOIN Addresses AS T2 ON T1.Address_ID = T2.Address_ID WHERE T1.Store_Phone = '123456789' OR T1.Store_Phone BETWEEN '123456789' AND '987654321' OR T2.City_Town = 'City'"", 'template': 'SELECT #COLUMN# FROM #TABLE# AS T1 JOIN #TABLE# AS T2 ON #COLUMN# = #COLUMN# WHERE #COLUMN# = #VALUE# OR #COLUMN# BETWEEN #VALUE# AND #VALUE# OR #COLUMN# = #VALUE#'}"
"{'hash': 'c62e5eed5b176290cdafed0f84f57bff4c37976d', 'query': 'SELECT T1.Product_Name, SUM(T2.Order_Quantity) FROM Products AS T1 JOIN Order_Items AS T2 ON T1.Product_ID = T2.Product_ID GROUP BY T1.Product_Name HAVING SUM(T2.Order_Quantity) > 100 ORDER BY T1.Product_Name DESC', 'template': 'SELECT #COLUMN#, SUM(#COLUMN#) FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# GROUP BY #COLUMN# HAVING SUM(#COLUMN#) > #VALUE# ORDER BY #COLUMN# DESC'}"
"{'hash': 'd5ce1feb9548a8daf4fda2b7c80b130195720d9f', 'query': ""SELECT COUNT(DISTINCT T1.Service_Type_Code) FROM Ref_Service_Types AS T1 JOIN Services AS T2 ON T1.Service_Type_Code = T2.Service_Type_Code WHERE T1.Service_Type_Description = 'Type 1' OR T2.Product_Price BETWEEN 10 AND 20 OR T1.Parent_Service_Type_Code = 'Type 2'"", 'template': 'SELECT COUNT(DISTINCT #COLUMN#) FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# = #VALUE# OR #COLUMN# BETWEEN #VALUE# AND #VALUE# OR #COLUMN# = #VALUE#'}"
