query
"{'hash': '290ba8e058086dd5fb0396da36244f640c4b891d', 'query': 'SELECT COUNT(*) FROM Ref_Characteristic_Types AS T1', 'template': 'SELECT COUNT(*) FROM #TABLE# AS #TABLE#'}"
"{'hash': '2565c13f739135b73466d5df8f848b5149d716cb', 'query': ""SELECT MAX(T1.typical_buying_price) , MIN(T1.typical_buying_price) FROM Products AS T1 JOIN Product_Characteristics AS T2 ON T1.product_id = T2.product_id WHERE T1.typical_selling_price BETWEEN 100 AND 200 AND T1.product_name = 'product_name' LIMIT 10"", 'template': 'SELECT MAX(#COLUMN#) , MIN(#COLUMN#) FROM #TABLE# AS T1 JOIN #TABLE# AS T2 ON #COLUMN# = #COLUMN# WHERE #COLUMN# BETWEEN #VALUE# AND #VALUE# AND #COLUMN# = #VALUE# LIMIT #VALUE#'}"
"{'hash': 'ef7b1e7e2c53adcc1f90d478d0422b1a711d57fe', 'query': 'SELECT COUNT(DISTINCT T1.product_id), T2.typical_buying_price FROM Product_Characteristics AS T1 JOIN Products AS T2 ON T1.product_id = T2.product_id WHERE T2.typical_buying_price <= 100', 'template': 'SELECT COUNT(DISTINCT #COLUMN#), #COLUMN# FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# <= #VALUE#'}"
"{'hash': 'f789564ec8f6e9b5a369697a957974d06ccc9275', 'query': 'SELECT T1.product_id FROM Products AS T1 JOIN Products AS T2 ON T1.product_id = T2.product_id WHERE T1.product_id NOT IN (SELECT T3.product_id FROM Products AS T3 GROUP BY T3.product_id HAVING COUNT(DISTINCT T3.product_category_code) = 1)', 'template': 'SELECT #COLUMN# FROM #TABLE# AS T1 JOIN #TABLE# AS T2 ON #COLUMN# = #COLUMN# WHERE #COLUMN# NOT IN (SELECT #COLUMN# FROM #TABLE# AS T3 GROUP BY #COLUMN# HAVING COUNT(DISTINCT #COLUMN#) = #VALUE#)'}"
"{'hash': 'fe24c158f80377ec76798fbea5b635ae2a4a7d0b', 'query': 'SELECT T1.product_name, COUNT(T2.product_characteristic_value), MAX(T3.characteristic_type_code) FROM Products AS T1 JOIN Product_Characteristics AS T2 ON T1.product_id = T2.product_id JOIN Characteristics AS T3 ON T2.characteristic_id = T3.characteristic_id GROUP BY T1.product_name ORDER BY T1.product_name DESC', 'template': 'SELECT #COLUMN#, COUNT(#COLUMN#), MAX(#COLUMN#) FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# JOIN #TABLE# ON #COLUMN# = #COLUMN# GROUP BY #COLUMN# ORDER BY #COLUMN# DESC'}"
"{'hash': 'd67ddb5296a364f5c6e37d3355825ac6b47661f0', 'query': ""SELECT AVG(p.typical_buying_price) FROM Products p WHERE p.product_category_code = 'PC001' AND p.typical_selling_price BETWEEN 10 AND 100 AND p.product_name = 'Product A'"", 'template': 'SELECT AVG(#COLUMN#) FROM #TABLE# WHERE #COLUMN# = #VALUE# AND #COLUMN# BETWEEN #VALUE# AND #VALUE# AND #COLUMN# = #VALUE#'}"
"{'hash': 'dbceddab33366c63c0051a3808cbac926545e389', 'query': ""SELECT COUNT(DISTINCT characteristic_type_code), COUNT(DISTINCT characteristic_data_type) FROM Characteristics WHERE characteristic_name = 'size' ORDER BY characteristic_id DESC"", 'template': 'SELECT COUNT(DISTINCT #COLUMN#), COUNT(DISTINCT #COLUMN#) FROM #TABLE# WHERE #COLUMN# = #VALUE# ORDER BY #COLUMN# DESC'}"
"{'hash': '46e41011e729ca0deb5ff0371af2411381d054a7', 'query': ""SELECT COUNT(DISTINCT T1.product_name), COUNT(DISTINCT T2.product_characteristic_value), COUNT(DISTINCT T3.product_category_description) FROM Products AS T1 JOIN Product_Characteristics AS T2 ON T1.product_id = T2.product_id JOIN Ref_Product_Categories AS T3 ON T1.product_category_code = T3.product_category_code WHERE T1.product_name = 'Product A' OR T1.product_name = 'Product B' OR T1.product_id IN (SELECT product_id FROM Product_Characteristics WHERE product_characteristic_value = 'Value 1') GROUP BY T1.product_name HAVING COUNT(T2.product_characteristic_value) > 2"", 'template': 'SELECT COUNT(DISTINCT #COLUMN#), COUNT(DISTINCT #COLUMN#), COUNT(DISTINCT #COLUMN#) FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# = #VALUE# OR #COLUMN# = #VALUE# OR #COLUMN# IN (SELECT #COLUMN# FROM #TABLE# WHERE #COLUMN# = #VALUE#) GROUP BY #COLUMN# HAVING COUNT(#COLUMN#) > #VALUE#'}"
"{'hash': 'f52b336637f2d0387dd07c256be052fbc03031c0', 'query': ""SELECT characteristic_name FROM Characteristics WHERE characteristic_type_code != 'A' LIMIT 10"", 'template': ""SELECT #COLUMN# FROM #TABLE# WHERE #COLUMN# != '#VALUE#' LIMIT #VALUE#""}"
"{'hash': '2280eb484b6e7d24a6a3e43e695afb04ba1f2a56', 'query': ""SELECT T1.characteristic_type_description, T2.product_name FROM Ref_Characteristic_Types AS T1 INNER JOIN Products AS T2 ON T1.characteristic_type_code = T2.product_category_code WHERE T1.characteristic_type_code = 'ABC'"", 'template': 'SELECT #COLUMN#, #COLUMN# FROM #TABLE# AS T1 INNER JOIN #TABLE# AS T2 ON #COLUMN# = #COLUMN# WHERE #COLUMN# = #VALUE#'}"
"{'hash': '4ad9624021269c06f8d8f69261092f2b543c48e8', 'query': ""SELECT T1.product_name, T2.characteristic_name FROM Products AS T1 JOIN Product_Characteristics AS T3 ON T1.product_id = T3.product_id JOIN Characteristics AS T2 ON T2.characteristic_id = T3.characteristic_id WHERE T1.product_name = 'Product A' AND T2.characteristic_name = 'Characteristic B' AND T2.characteristic_type_code IN (SELECT characteristic_type_code FROM Ref_Characteristic_Types) ORDER BY T1.product_name ASC LIMIT 10"", 'template': 'SELECT #COLUMN#, #COLUMN# FROM #TABLE# AS T1 JOIN #TABLE# AS T3 ON #COLUMN# = #COLUMN# JOIN #TABLE# AS T2 ON #COLUMN# = #COLUMN# WHERE #COLUMN# = #VALUE# AND #COLUMN# = #VALUE# AND #COLUMN# IN (SELECT #COLUMN# FROM #TABLE#) ORDER BY #COLUMN# ASC LIMIT #VALUE#'}"
"{'hash': 'eda0e1349c01babf86c86ee46b483b8ff02ebfa2', 'query': 'SELECT AVG(typical_buying_price), AVG(typical_selling_price) FROM Products WHERE typical_buying_price = typical_selling_price', 'template': 'SELECT AVG(#COLUMN#), AVG(#COLUMN#) FROM #TABLE# WHERE #COLUMN# = #COLUMN#'}"
