query
"{'hash': '23f7a7871a08b644fa86e38a33b8998824de1b16', 'query': 'SELECT product_name FROM Products WHERE product_price <= 1000', 'template': 'SELECT #COLUMN# FROM #TABLE# WHERE #COLUMN# <= #VALUE#'}"
"{'hash': '0e4c74c787199bfd328072c529466e3637af1bf1', 'query': 'SELECT * FROM Products WHERE product_price BETWEEN 100 AND 200 OR product_price > (SELECT AVG(product_price) FROM Products)', 'template': 'SELECT #COLUMN# FROM #TABLE# WHERE #COLUMN# BETWEEN #VALUE# AND #VALUE# OR #COLUMN# > (SELECT AVG(#COLUMN#) FROM #TABLE#)'}"
"{'hash': 'ac61d74ccaaad22edd76f427b25e9a5b98a5b511', 'query': ""SELECT COUNT(customer_id) FROM Customers WHERE payment_method_code = 'Credit Card'"", 'template': 'SELECT COUNT(#COLUMN#) FROM #TABLE# WHERE #COLUMN# = #VALUE#'}"
"{'hash': '32c09edcda3721cfab73fec0cfc98c0d11a40a60', 'query': 'SELECT product_price FROM Products WHERE product_price > 100 ORDER BY product_price DESC', 'template': 'SELECT #COLUMN# FROM #TABLE# WHERE #COLUMN# > #VALUE# ORDER BY #COLUMN# DESC'}"
"{'hash': '6582c71b52e4e1980db03196a1882ba874bdd0e1', 'query': 'SELECT product_name, MIN(product_price) FROM Products GROUP BY product_name LIMIT 10', 'template': 'SELECT #COLUMN#, MIN(#COLUMN#) FROM #TABLE# GROUP BY #COLUMN# LIMIT #VALUE#'}"
"{'hash': 'e65533139470507625a9205d36bdc38d01a1e68d', 'query': 'SELECT COUNT(T1.product_id), T1.product_name FROM Products AS T1 WHERE T1.product_price BETWEEN 10 AND 20 LIMIT 10', 'template': 'SELECT COUNT(#COLUMN#), #COLUMN# FROM #TABLE# AS #TABLE# WHERE #COLUMN# BETWEEN #VALUE# AND #VALUE# LIMIT #VALUE#'}"
"{'hash': 'f60b06795fe5676bf4b76682bf788980d6756a7e', 'query': ""SELECT MAX(T1.product_price) FROM Products AS T1 WHERE T1.product_type_code = 'A'"", 'template': 'SELECT MAX(#COLUMN#) FROM #TABLE# AS T1 WHERE #COLUMN# = #VALUE#'}"
"{'hash': 'aea93c29898d8fbc6ae7d8a5418db78ede9e39ed', 'query': ""SELECT customer_name FROM Customers WHERE customer_address = '123 Main St'"", 'template': 'SELECT #COLUMN# FROM #TABLE# WHERE #COLUMN# = #VALUE#'}"
"{'hash': '48aa7bce5455bcfadfa5d63ec93debd43d1bcd69', 'query': 'SELECT product_name FROM Products WHERE MIN(product_price) BETWEEN 10 AND 50 GROUP BY product_name ORDER BY product_price ASC', 'template': 'SELECT #COLUMN# FROM #TABLE# WHERE MIN(#COLUMN#) BETWEEN #VALUE# AND #VALUE# GROUP BY #COLUMN# ORDER BY #COLUMN# ASC'}"
"{'hash': '8f81ccbe0fd5a8d8dd59e16f9584e49901dfdfaa', 'query': ""SELECT product_type_code, COUNT(product_name), MAX(product_price) FROM Products WHERE product_name != 'Product1'"", 'template': 'SELECT #COLUMN#, COUNT(#COLUMN#), MAX(#COLUMN#) FROM #TABLE# WHERE #COLUMN# != #VALUE#'}"
"{'hash': 'edfb4c02fbdb582ba33cf079926dfad8e801605d', 'query': 'SELECT T.product_name, AVG(T.product_price) FROM ( SELECT product_name, product_price FROM Products WHERE product_price <= 10000 ) T GROUP BY T.product_name', 'template': 'SELECT #COLUMN#, AVG(#COLUMN#) FROM ( SELECT #COLUMN#, #COLUMN# FROM #TABLE# WHERE #COLUMN# <= #VALUE# ) #TABLE# GROUP BY #COLUMN#'}"
"{'hash': '7880dc33205e0181e7d62d09468ba07fb4abf3b1', 'query': ""SELECT AVG(T1.product_price), SUM(T2.order_quantity) FROM Products AS T1 JOIN Order_Items AS T2 ON T1.product_id = T2.product_id WHERE T1.product_name != 'Product_1'"", 'template': 'SELECT AVG(#COLUMN#), SUM(#COLUMN#) FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# != #VALUE#'}"
"{'hash': '2c4c2d0af707868bbbb119cfcb96952a421f6f44', 'query': ""SELECT T1.customer_name, SUM(T3.order_quantity) FROM Customers AS T1 JOIN Customer_Address_History AS T2 ON T1.customer_id = T2.customer_id JOIN Order_Items AS T3 ON T2.customer_id = T3.order_id WHERE T2.customer_id NOT IN (SELECT T4.customer_id FROM Customer_Address_History AS T4 JOIN Addresses AS T5 ON T4.address_id = T5.address_id WHERE T5.city = 'New York') GROUP BY T1.customer_name ORDER BY T1.customer_name ASC"", 'template': 'SELECT #COLUMN#, SUM(#COLUMN#) FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# NOT IN (SELECT #COLUMN# FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# = #VALUE#) GROUP BY #COLUMN# ORDER BY #COLUMN# ASC'}"
"{'hash': '116138097ece4b21102f730c78832fe0c9627eeb', 'query': ""SELECT COUNT(DISTINCT T1.customer_id), COUNT(T1.order_id) FROM Customer_Orders AS T1 JOIN Order_Items AS T2 ON T1.order_id = T2.order_id WHERE T1.order_id BETWEEN 1 AND 100 OR T1.customer_id IN (SELECT customer_id FROM Customers WHERE customer_number = '12345') OR T2.product_id > 500 LIMIT 10"", 'template': 'SELECT COUNT(DISTINCT #COLUMN#), COUNT(#COLUMN#) FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# BETWEEN #VALUE# AND #VALUE# OR #COLUMN# IN (SELECT #COLUMN# FROM #TABLE# WHERE #COLUMN# = #VALUE#) OR #COLUMN# > #VALUE# LIMIT #VALUE#'}"
"{'hash': '4b02df7bceda610916d680d5ced9615067a64ec7', 'query': 'SELECT COUNT(DISTINCT T1.order_id) , COUNT(DISTINCT T2.order_id) , T1.order_id FROM Customer_Orders AS T1 JOIN Customer_Orders AS T2 ON T1.order_date = T2.order_date WHERE T1.order_id > T2.order_id ORDER BY T1.order_id DESC', 'template': 'SELECT COUNT(DISTINCT #COLUMN#) , COUNT(DISTINCT #COLUMN#) , #COLUMN# FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# > #COLUMN# ORDER BY #COLUMN# DESC'}"
"{'hash': 'dab6e9d8158f272f65d003f11bc569a386a7bfff', 'query': 'SELECT T1.product_name, T2.order_quantity FROM Products AS T1 JOIN Order_Items AS T2 ON T1.product_id = T2.product_id WHERE T1.product_price BETWEEN 10 AND 100 AND T2.order_quantity > 5 ORDER BY T1.product_price DESC', 'template': 'SELECT #COLUMN#, #COLUMN# FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# BETWEEN #VALUE# AND #VALUE# AND #COLUMN# > #VALUE# ORDER BY #COLUMN# DESC'}"
