query
"{'hash': '94c380fdc79dbe649a5d1d94a95bcea5a09add1e', 'query': ""SELECT Name FROM mountain WHERE Country != 'USA' ORDER BY Height DESC"", 'template': 'SELECT #COLUMN# FROM #TABLE# WHERE #COLUMN# != #VALUE# ORDER BY #COLUMN# DESC'}"
"{'hash': '9f7d18b271fd4c3a3840fe4dc3702f7338e8483d', 'query': ""SELECT T1.Name, T2.Name FROM climber AS T1 JOIN climber AS T2 ON T1.Mountain_ID = T2.Mountain_ID WHERE T1.Points > 100 AND T2.Country = 'Spain' AND NOT EXISTS (SELECT 1 FROM mountain AS T3 WHERE T3.Height < 3000 AND T3.Mountain_ID = T1.Mountain_ID)"", 'template': 'SELECT #COLUMN#, #COLUMN# FROM #TABLE# AS T1 JOIN #TABLE# AS T2 ON #COLUMN# = #COLUMN# WHERE #COLUMN# > #VALUE# AND #COLUMN# = #VALUE# AND NOT EXISTS (SELECT 1 FROM #TABLE# AS T3 WHERE #COLUMN# < #VALUE# AND #COLUMN# = #COLUMN#)'}"
"{'hash': '2522cf0958e894d232562d9ab1589c98895e53d9', 'query': ""SELECT T1.Name FROM climber AS T1 JOIN climber AS T2 ON T1.Mountain_ID = T2.Mountain_ID WHERE T1.Points = ( SELECT MAX(Points) FROM climber ) AND T2.Country = 'USA' LIMIT 5"", 'template': 'SELECT #COLUMN# FROM #TABLE# AS T1 JOIN #TABLE# AS T2 ON #COLUMN# = #COLUMN# WHERE #COLUMN# = ( SELECT MAX(#COLUMN#) FROM #TABLE# ) AND #COLUMN# = #VALUE# LIMIT #VALUE#'}"
"{'hash': 'c1fe29a62a099d2b04d9d3e97a57ba97be9d746f', 'query': ""SELECT T1.Name, SUM(T2.Points) AS Total_Points FROM mountain AS T1 JOIN climber AS T2 ON T1.Mountain_ID = T2.Mountain_ID WHERE T1.Height BETWEEN 1000 AND 2000 OR T2.Country = 'USA' ORDER BY Total_Points DESC"", 'template': 'SELECT #COLUMN#, SUM(#COLUMN#) AS #COLUMN# FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# BETWEEN #VALUE# AND #VALUE# OR #COLUMN# = #VALUE# ORDER BY #COLUMN# DESC'}"
"{'hash': 'd821d6529372141c9228105dfa64b2dbbfff4931', 'query': ""SELECT T1.Name, SUM(T2.Points) FROM mountain AS T1 JOIN climber AS T2 ON T1.Mountain_ID = T2.Mountain_ID WHERE T1.Height > 500 AND T1.Height < 1000 AND T2.Time = '2020' GROUP BY T1.Name HAVING SUM(T2.Points) > 100 ORDER BY T1.Name ASC LIMIT 10"", 'template': 'SELECT #COLUMN#, SUM(#COLUMN#) FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# > #VALUE# AND #COLUMN# < #VALUE# AND #COLUMN# = #VALUE# GROUP BY #COLUMN# HAVING SUM(#COLUMN#) > #VALUE# ORDER BY #COLUMN# ASC LIMIT #VALUE#'}"
"{'hash': 'f541322e4af3c2f127d748ba9c37ea4339b32e49', 'query': ""SELECT T2.Country, AVG(T1.Height) FROM mountain AS T1 JOIN climber AS T2 ON T1.Mountain_ID = T2.Mountain_ID JOIN mountain AS T3 ON T3.Country = T2.Country WHERE T2.Country = 'USA' OR T1.Height BETWEEN 8000 AND 10000 OR NOT EXISTS (SELECT * FROM climber AS T4 WHERE T4.Mountain_ID = T1.Mountain_ID) GROUP BY T2.Country ORDER BY T2.Country ASC"", 'template': 'SELECT #COLUMN#, AVG(#COLUMN#) FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# = #VALUE# OR #COLUMN# BETWEEN #VALUE# AND #VALUE# OR NOT EXISTS (SELECT * FROM #TABLE# WHERE #COLUMN# = #COLUMN#) GROUP BY #COLUMN# ORDER BY #COLUMN# ASC'}"
"{'hash': 'c795b35b01f5dc2f3e3b50554c9196a4e8ff4331', 'query': ""SELECT mountain.Height, mountain.Name FROM mountain AS T1 JOIN climber AS T2 ON T1.Mountain_ID = T2.Mountain_ID WHERE T1.Height > 2000 OR T1.Range = 'Alps' OR NOT EXISTS (SELECT 1 FROM climber AS T3 WHERE T3.Mountain_ID = T1.Mountain_ID AND T3.Points < 100) ORDER BY T1.Height ASC"", 'template': 'SELECT #COLUMN#'}"
"{'hash': '75a11b3eb340c9376257afd3a117661bda0d33e8', 'query': 'SELECT COUNT(DISTINCT T2.Name), AVG(T1.Prominence) FROM mountain AS T1 JOIN climber AS T2 ON T1.Mountain_ID = T2.Mountain_ID WHERE T1.Height BETWEEN 2000 AND 3000 GROUP BY T2.Name', 'template': 'SELECT COUNT(DISTINCT #COLUMN#), AVG(#COLUMN#) FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# BETWEEN #VALUE# AND #VALUE# GROUP BY #COLUMN#'}"
"{'hash': '3682b285e9ed91dac107c25adc4871ed14d9fee7', 'query': ""SELECT T1.Name, MIN(T1.Height) FROM mountain AS T1 WHERE T1.Name != 'Mount Everest' GROUP BY T1.Name ORDER BY T1.Name ASC"", 'template': 'SELECT #COLUMN#, MIN(#COLUMN#) FROM #TABLE# AS T1 WHERE #COLUMN# != #VALUE# GROUP BY #COLUMN# ORDER BY #COLUMN# ASC'}"
"{'hash': '91f2372fc0a9819aded8f228d602ad8e32b68584', 'query': 'SELECT SUM(T2.Points) FROM mountain AS T1 JOIN climber AS T2 ON T1.Mountain_ID = T2.Mountain_ID WHERE T2.Points > 10 LIMIT 10', 'template': 'SELECT SUM(#COLUMN#) FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# > #VALUE# LIMIT #VALUE#'}"
"{'hash': '7ba05ba627dc85a58fcd7077682667b37ea283ac', 'query': 'SELECT COUNT(DISTINCT T1.Name) FROM mountain AS T1 JOIN climber AS T2 ON T1.Mountain_ID = T2.Mountain_ID WHERE T2.Points = 100 ORDER BY T2.Points DESC LIMIT 10', 'template': 'SELECT COUNT(DISTINCT #COLUMN#) FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# = #VALUE# ORDER BY #COLUMN# DESC LIMIT #VALUE#'}"
"{'hash': '531ba828510c1a17713e50e2c331bda466b4c86a', 'query': ""SELECT T1.Name, COUNT(DISTINCT T2.Climber_ID) FROM mountain AS T1 JOIN climber AS T2 ON T1.Mountain_ID = T2.Mountain_ID WHERE T2.Time BETWEEN '2010-01-01' AND '2020-12-31' AND (SELECT COUNT(Climber_ID) FROM climber WHERE Mountain_ID = T1.Mountain_ID) > 5 GROUP BY T1.Name HAVING COUNT(DISTINCT T2.Climber_ID) > 1 ORDER BY T1.Name ASC"", 'template': 'SELECT #COLUMN#, COUNT(DISTINCT #COLUMN#) FROM #TABLE# AS T1 JOIN #TABLE# AS T2 ON #COLUMN# = #COLUMN# WHERE #COLUMN# BETWEEN #VALUE# AND #VALUE# AND (SELECT COUNT(#COLUMN#) FROM #TABLE# WHERE #COLUMN# = T1.#COLUMN#) > #VALUE# GROUP BY #COLUMN# HAVING COUNT(DISTINCT #COLUMN#) > #VALUE# ORDER BY #COLUMN# ASC'}"
