query
"{'hash': '74e28c434b0e6c7bd254d256765920469007ff66', 'query': 'SELECT T1.Event_ID, T2.Participant_ID, T1.Event_Details FROM Events AS T1 JOIN Participants_in_Events AS T2 ON T1.Event_ID = T2.Event_ID WHERE T2.Participant_ID = 25 ORDER BY T2.Participant_ID DESC LIMIT 10', 'template': 'SELECT #COLUMN#, #COLUMN#, #COLUMN# FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# = #VALUE# ORDER BY #COLUMN# DESC LIMIT #VALUE#'}"
"{'hash': '834a001eed865cf7cb98ea9104054e4f2acbadf3', 'query': ""SELECT Participant_ID FROM Participants WHERE Participant_Type_Code != 'Student' ORDER BY Participant_ID ASC LIMIT 10"", 'template': ""SELECT #COLUMN# FROM #TABLE# WHERE #COLUMN# != '#VALUE#' ORDER BY #COLUMN# ASC LIMIT #VALUE#""}"
"{'hash': '6d36cb6972dad9bd530dc98a4343aa0a54d99f3e', 'query': ""SELECT T1.Service_Type_Code FROM Services AS T1 INNER JOIN Events AS T2 ON T1.Service_ID = T2.Service_ID INNER JOIN Participants_in_Events AS T3 ON T2.Event_ID = T3.Event_ID INNER JOIN Participants AS T4 ON T3.Participant_ID = T4.Participant_ID WHERE T4.Participant_Type_Code BETWEEN 'A' AND 'Z' ORDER BY T1.Service_Type_Code ASC"", 'template': 'SELECT #COLUMN# FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# JOIN #TABLE# ON #COLUMN# = #COLUMN# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# BETWEEN #VALUE# AND #VALUE# ORDER BY #COLUMN# ASC'}"
"{'hash': 'c216b513c38d0d1bf27f5a8a7a8d9565cdef0366', 'query': 'SELECT T.Service_Type_Code, MAX(T.Participant_Type_Code) FROM ( SELECT S.Service_Type_Code, P.Participant_Type_Code FROM Services AS S JOIN Events AS E ON S.Service_ID = E.Service_ID JOIN Participants_in_Events AS PE ON E.Event_ID = PE.Event_ID JOIN Participants AS P ON PE.Participant_ID = P.Participant_ID WHERE S.Service_ID = 1 ) AS T GROUP BY T.Service_Type_Code', 'template': 'SELECT #COLUMN#, MAX(#COLUMN#) FROM ( SELECT #COLUMN#, #COLUMN# FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# JOIN #TABLE# ON #COLUMN# = #COLUMN# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# = #VALUE# ) AS #TABLE# GROUP BY #COLUMN#'}"
"{'hash': '59964e3b70290e5b6918810f0ec1954909d0ca3b', 'query': ""SELECT COUNT(DISTINCT T1.Service_Type_Code), SUM(T3.Participant_ID) FROM Services AS T1 JOIN Events AS T2 ON T1.Service_ID = T2.Service_ID JOIN Participants_in_Events AS T3 ON T2.Event_ID = T3.Event_ID WHERE T1.Service_Type_Code = 'A' AND T2.Event_ID BETWEEN 10 AND 20 AND T3.Participant_ID > 5"", 'template': 'SELECT COUNT(DISTINCT #COLUMN#), SUM(#COLUMN#) FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# = #VALUE# AND #COLUMN# BETWEEN #VALUE# AND #VALUE# AND #COLUMN# > #VALUE#'}"
"{'hash': 'a80d42b9d589d721bd9d61d8950318bb3e9546f7', 'query': 'SELECT COUNT(T3.Participant_ID), T2.Service_Type_Code FROM Participants_in_Events AS T1 JOIN Events AS T2 ON T1.Event_ID = T2.Event_ID JOIN Participants AS T3 ON T1.Participant_ID = T3.Participant_ID WHERE T2.Service_ID > 100 OR T2.Event_ID IN (SELECT T1.Event_ID FROM Events AS T1 WHERE T1.Service_ID > 100) ORDER BY T3.Participant_ID ASC', 'template': 'SELECT COUNT(#COLUMN#), #COLUMN# FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# > #VALUE# OR #COLUMN# IN (SELECT #COLUMN# FROM #TABLE# WHERE #COLUMN# > #VALUE#) ORDER BY #COLUMN# ASC'}"
"{'hash': '7a81c8cb75675a4b9b2dafb94ad858531ae22d69', 'query': ""SELECT T1.Service_Type_Code, COUNT(DISTINCT T2.Participant_ID) FROM Services AS T1 JOIN Events AS T2 ON T1.Service_ID = T2.Service_ID WHERE T2.Event_Details > '2020-01-01' ORDER BY T1.Service_Type_Code ASC"", 'template': 'SELECT #COLUMN#, COUNT(DISTINCT #COLUMN#) FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# > #VALUE# ORDER BY #COLUMN# ASC'}"
"{'hash': '1060734240a97174d62fc2a0923b106fed3693e6', 'query': 'SELECT E.Service_ID, COUNT(DISTINCT P.Participant_ID) FROM Events E JOIN Participants_in_Events P ON E.Event_ID = P.Event_ID GROUP BY E.Service_ID HAVING COUNT(E.Event_ID) >= 1 ORDER BY COUNT(E.Event_ID) DESC LIMIT 10', 'template': 'SELECT #COLUMN#, COUNT(DISTINCT #COLUMN#) FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# GROUP BY #COLUMN# HAVING COUNT(#COLUMN#) >= #VALUE# ORDER BY COUNT(#COLUMN#) DESC LIMIT #VALUE#'}"
"{'hash': 'eedf915224e3f50530bac4b14a53a4a9575fbe4d', 'query': 'SELECT COUNT(Service_ID) FROM Events WHERE Service_ID BETWEEN 1 AND 10 ORDER BY Event_ID DESC LIMIT 5', 'template': 'SELECT COUNT(#COLUMN#) FROM #TABLE# WHERE #COLUMN# BETWEEN #VALUE# AND #VALUE# ORDER BY #COLUMN# DESC LIMIT #VALUE#'}"
"{'hash': '341a09456962794dc70c8df4847586c086bbce92', 'query': ""SELECT T1.Event_ID FROM Events AS T1 JOIN Participants_in_Events AS T2 ON T1.Event_ID = T2.Event_ID WHERE T2.Participant_ID NOT IN (SELECT Participant_ID FROM Participants WHERE Participant_Type_Code = 'Type1') OR T1.Service_ID = 100 ORDER BY T1.Event_ID ASC"", 'template': ""SELECT #COLUMN# FROM #TABLE# AS T1 JOIN #TABLE# AS T2 ON #COLUMN# = #COLUMN# WHERE #COLUMN# NOT IN (SELECT #COLUMN# FROM #TABLE# WHERE #COLUMN# = '#VALUE#') OR #COLUMN# = #VALUE# ORDER BY #COLUMN# ASC""}"
"{'hash': 'd0bf1734488613766f29ceaeb6856753a6b317cc', 'query': ""SELECT COUNT(DISTINCT T1.Participant_ID), COUNT(T2.Event_ID) FROM Participants AS T1 JOIN Participants_in_Events AS T2 ON T1.Participant_ID = T2.Participant_ID WHERE T1.Participant_Type_Code != 'type1'"", 'template': 'SELECT COUNT(DISTINCT #COLUMN#), COUNT(#COLUMN#) FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# != #VALUE#'}"
"{'hash': 'd8132dbc60276ed08014688b66a29ae499369e35', 'query': ""SELECT T1.Participant_Type_Code FROM Participants AS T1 JOIN Participants AS T2 ON T1.Participant_Type_Code = T2.Participant_Type_Code WHERE T1.Participant_Type_Code >= 'A' ORDER BY T1.Participant_Type_Code DESC LIMIT 10"", 'template': 'SELECT #COLUMN# FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# >= #VALUE# ORDER BY #COLUMN# DESC LIMIT #VALUE#'}"
"{'hash': 'ba83ff4801bf5e17caa2820b4dad2d0c551fa079', 'query': 'SELECT COUNT(DISTINCT T1.Participant_ID), COUNT(DISTINCT T2.Participant_ID) FROM Participants_in_Events AS T1 JOIN Participants AS T2 ON T1.Participant_ID = T2.Participant_ID ORDER BY T1.Event_ID DESC', 'template': 'SELECT COUNT(DISTINCT #COLUMN#), COUNT(DISTINCT #COLUMN#) FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# ORDER BY #COLUMN# DESC'}"
"{'hash': '33a9ec7ba4656a274d2278d6eb294c8ec79b6c6a', 'query': 'SELECT COUNT(DISTINCT T1.Participant_ID), T2.Participant_Type_Code FROM Participants AS T1 JOIN Participants_in_Events AS T2 ON T1.Participant_ID = T2.Participant_ID JOIN Events AS T3 ON T2.Event_ID = T3.Event_ID JOIN Services AS T4 ON T3.Service_ID = T4.Service_ID WHERE T1.Participant_Type_Code IN (SELECT Participant_Type_Code FROM Participants WHERE Participant_ID > 100) GROUP BY T2.Participant_Type_Code ORDER BY COUNT(DISTINCT T1.Participant_ID) DESC', 'template': 'SELECT COUNT(DISTINCT #COLUMN#), #COLUMN# FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# JOIN #TABLE# ON #COLUMN# = #COLUMN# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# IN (SELECT #COLUMN# FROM #TABLE# WHERE #COLUMN# > #VALUE#) GROUP BY #COLUMN# ORDER BY COUNT(DISTINCT #COLUMN#) DESC'}"
"{'hash': '1dd1ad7817557e9a9c70e74234dd8ca336b1a4d9', 'query': ""SELECT T1.Service_Type_Code, COUNT(DISTINCT T3.Participant_ID) FROM Services AS T1 JOIN Events AS T2 ON T1.Service_ID = T2.Service_ID JOIN Participants_in_Events AS T3 ON T2.Event_ID = T3.Event_ID JOIN Participants AS T4 ON T3.Participant_ID = T4.Participant_ID WHERE T1.Service_Type_Code = 'Type1' AND T4.Participant_Type_Code = 'Type2' AND T4.Participant_ID BETWEEN 1 AND 10 GROUP BY T1.Service_Type_Code HAVING AVG(T2.Service_ID) > 1"", 'template': 'SELECT #COLUMN#, COUNT(DISTINCT #COLUMN#) FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# JOIN #TABLE# ON #COLUMN# = #COLUMN# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# = #VALUE# AND #COLUMN# = #VALUE# AND #COLUMN# BETWEEN #VALUE# AND #VALUE# GROUP BY #COLUMN# HAVING AVG(#COLUMN#) > #VALUE#'}"
