query
"{'hash': '4c1fd92cd8d5cc0fc36a3cf9d808d102c5e73dd9', 'query': 'SELECT S1.Name FROM Scientists AS S1 JOIN AssignedTo AS A1 ON S1.SSN = A1.Project WHERE A1.Project = 1 LIMIT 5', 'template': 'SELECT #COLUMN# FROM #TABLE# AS #TABLE# JOIN #TABLE# AS #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# = #VALUE# LIMIT #VALUE#'}"
"{'hash': '361e7913508e4efcc81a57f076c63fb01ca95b14', 'query': ""SELECT T2.Name FROM Scientists AS T1 INNER JOIN AssignedTo AS T2 ON T1.SSN = T2.Project WHERE T2.Project = 'AeH1' AND EXISTS (SELECT 1 FROM Projects AS T3 WHERE T3.Code = T2.Project AND T3.Hours > 100) LIMIT 1"", 'template': 'SELECT #COLUMN# FROM #TABLE# AS T1 JOIN #TABLE# AS T2 ON #COLUMN# = #COLUMN# WHERE #COLUMN# = #VALUE# AND EXISTS (SELECT 1 FROM #TABLE# AS T3 WHERE #COLUMN# = #COLUMN# AND #COLUMN# > #VALUE#) LIMIT #VALUE#'}"
"{'hash': '07649447b197fb6f8da9368d52cfd60fbc3c446b', 'query': ""SELECT COUNT(DISTINCT T1.Name), COUNT(DISTINCT T1.SSN), COUNT(T1.SSN) FROM Scientists AS T1 WHERE T1.SSN = 12345 OR T1.Name BETWEEN 'John' AND 'Mike'"", 'template': 'SELECT COUNT(DISTINCT #COLUMN#), COUNT(DISTINCT #COLUMN#), COUNT(#COLUMN#) FROM #TABLE# AS T1 WHERE #COLUMN# = #VALUE# OR #COLUMN# BETWEEN #VALUE# AND #VALUE#'}"
"{'hash': 'b3c92dc6bbc56e21b19d26202e8a02213256b278', 'query': 'SELECT T1.Name FROM Scientists AS T1 JOIN AssignedTo AS T2 ON T1.SSN = T2.Scientist JOIN Projects AS T3 ON T2.Project = T3.Code WHERE T3.Hours <= 100 AND T1.Name = T3.Name', 'template': 'SELECT #COLUMN# FROM #TABLE# AS T1 JOIN #TABLE# AS T2 ON #COLUMN# = #COLUMN# JOIN #TABLE# AS T3 ON #COLUMN# = #COLUMN# WHERE #COLUMN# <= #VALUE# AND #COLUMN# = #COLUMN#'}"
"{'hash': '1669923c2a559acc1325edae8b66c8eef5fe7610', 'query': 'SELECT * FROM AssignedTo AS T1, AssignedTo AS T2 WHERE T1.Project = T2.Project AND T1.Hours > (SELECT AVG(Hours) FROM Projects)', 'template': 'SELECT * FROM #TABLE# AS T1, #TABLE# AS T2 WHERE T1.#COLUMN# = T2.#COLUMN# AND T1.#COLUMN# > (SELECT AVG(#COLUMN#) FROM #TABLE#)'}"
"{'hash': 'ab654019f99732d89420b35b270ba7b8ca1f1f57', 'query': 'SELECT T1.Name, MIN(T3.Hours) FROM Scientists AS T1 JOIN AssignedTo AS T2 ON T1.SSN = T2.Scientist JOIN Projects AS T3 ON T2.Project = T3.Code GROUP BY T1.Name ORDER BY T1.Name ASC', 'template': 'SELECT #COLUMN#, MIN(#COLUMN#) FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# JOIN #TABLE# ON #COLUMN# = #COLUMN# GROUP BY #COLUMN# ORDER BY #COLUMN# ASC'}"
"{'hash': 'ccacbe1ebfa25ed7693918fdc21e6cf9b1569846', 'query': ""SELECT COUNT(DISTINCT T1.Name), SUM(T2.Hours) FROM Scientists AS T1 JOIN AssignedTo AS T2 ON T1.SSN = T2.Scientist WHERE T1.Name != 'John' GROUP BY T1.Name ORDER BY T1.Name ASC LIMIT 10"", 'template': 'SELECT COUNT(DISTINCT #COLUMN#), SUM(#COLUMN#) FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# != #VALUE# GROUP BY #COLUMN# ORDER BY #COLUMN# ASC LIMIT #VALUE#'}"
"{'hash': 'f48d28076bc546af58a2ffe643c326126421a2ff', 'query': 'SELECT Name FROM Scientists WHERE NOT EXISTS (SELECT 1 FROM AssignedTo WHERE Scientist = Scientists.SSN) ORDER BY Name ASC', 'template': 'SELECT #COLUMN# FROM #TABLE# WHERE NOT EXISTS (SELECT 1 FROM #TABLE# WHERE #COLUMN# = #COLUMN#) ORDER BY #COLUMN# ASC'}"
"{'hash': '8aa71b2aeb4deaa1a9f5388edeed98c3eb698eb5', 'query': 'SELECT P.Name, COUNT(A.Project) FROM Projects P JOIN AssignedTo A ON P.Code = A.Project WHERE P.Hours > 1000', 'template': 'SELECT #COLUMN#, COUNT(#COLUMN#) FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# > #VALUE#'}"
"{'hash': 'df13a09b597d03831c7d4666dbcdb47bbfbeac0c', 'query': ""SELECT COUNT(DISTINCT T2.Name), T1.Name FROM AssignedTo AS T1 JOIN Scientists AS T2 ON T1.Scientist = T2.SSN WHERE T2.Name < 'John' ORDER BY COUNT(DISTINCT T2.Name) DESC"", 'template': ""SELECT COUNT(DISTINCT #COLUMN#), #COLUMN# FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# < '#VALUE#' ORDER BY COUNT(DISTINCT #COLUMN#) DESC""}"
"{'hash': '93c6cc42d63dac1237631e589fc94dc06260a033', 'query': ""SELECT T1.Name FROM Scientists AS T1 JOIN AssignedTo AS T2 ON T1.SSN = T2.Project WHERE T2.Project NOT IN (SELECT Project FROM AssignedTo WHERE Scientist = 101) AND T2.Project = 'AeH' ORDER BY T1.Name ASC"", 'template': 'SELECT #COLUMN# FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# NOT IN (SELECT #COLUMN# FROM #TABLE# WHERE #COLUMN# = #VALUE#) AND #COLUMN# = #VALUE# ORDER BY #COLUMN# ASC'}"
"{'hash': 'b55039b27a4bf3929fbb08b8a10c342f6ecb56e4', 'query': ""SELECT S1.Name FROM Scientists AS S1 WHERE S1.SSN = (SELECT T1.Scientist FROM AssignedTo AS T1 WHERE T1.Project = 'AeH2') OR S1.Name = 'John Smith' OR (S1.SSN BETWEEN (SELECT MIN(T1.SSN) FROM Scientists AS T1) AND (SELECT MAX(T1.SSN) FROM Scientists AS T1)) ORDER BY S1.SSN DESC"", 'template': 'SELECT #COLUMN# FROM #TABLE# WHERE #COLUMN# = (SELECT #COLUMN# FROM #TABLE# WHERE #COLUMN# = #VALUE#) OR #COLUMN# = #VALUE# OR (#COLUMN# BETWEEN (SELECT MIN(#COLUMN#) FROM #TABLE#) AND (SELECT MAX(#COLUMN#) FROM #TABLE#)) ORDER BY #COLUMN# DESC'}"
"{'hash': 'f7f4c790f058e010b80794bfe4548a1a0e082953', 'query': ""SELECT T2.Name, MAX(T3.Hours) FROM Scientists AS T1 JOIN AssignedTo AS T2 ON T1.SSN = T2.Scientist JOIN Projects AS T3 ON T2.Project = T3.Code WHERE T1.SSN = 12345 OR T2.Project BETWEEN 'AeH1' AND 'Ast1' OR T3.Hours > 100 GROUP BY T2.Name HAVING MAX(T3.Hours) > 100"", 'template': 'SELECT #COLUMN#, MAX(#COLUMN#) FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# = #VALUE# OR #COLUMN# BETWEEN #VALUE# AND #VALUE# OR #COLUMN# > #VALUE# GROUP BY #COLUMN# HAVING MAX(#COLUMN#) > #VALUE#'}"
"{'hash': 'cc0f3af3f0504dbb2bc02cffcca380b25eac5ddd', 'query': ""SELECT Name FROM Scientists WHERE Name <= 'John' ORDER BY Name ASC LIMIT 10"", 'template': ""SELECT #COLUMN# FROM #TABLE# WHERE #COLUMN# <= '#VALUE#' ORDER BY #COLUMN# ASC LIMIT #VALUE#""}"
"{'hash': '2ba23ca18b601c8685e8c946af2f87c4ea898f99', 'query': ""SELECT T2.Name FROM AssignedTo AS T1 JOIN Scientists AS T2 ON T1.Scientist = T2.SSN WHERE T1.Project BETWEEN 'AeH1' AND 'Ast1' AND T1.Project = 'AeH1' ORDER BY T2.Name DESC"", 'template': 'SELECT #COLUMN# FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# BETWEEN #VALUE# AND #VALUE# AND #COLUMN# = #VALUE# ORDER BY #COLUMN# DESC'}"
