query
"{'hash': '09c8244b9f19905ff85814effe592d32b1014d3e', 'query': 'SELECT MIN(COUNT(DISTINCT T1.Name)), COUNT(DISTINCT T1.Year) FROM musical AS T1 WHERE T1.Year > 2000 GROUP BY T1.Name', 'template': 'SELECT MIN(COUNT(DISTINCT #COLUMN#)), COUNT(DISTINCT #COLUMN#) FROM #TABLE# AS #TABLE# WHERE #COLUMN# > #VALUE# GROUP BY #COLUMN#'}"
"{'hash': '3db386046ffd8e24f64289396124ee458af426ed', 'query': 'SELECT Name FROM musical WHERE Year <= 2010 LIMIT 5', 'template': 'SELECT #COLUMN# FROM #TABLE# WHERE #COLUMN# <= #VALUE# LIMIT #VALUE#'}"
"{'hash': '1a25ceeeb8d6d879e4a92b83ea367daa180abe47', 'query': 'SELECT COUNT(Musical_ID), COUNT(Year) FROM musical ORDER BY Musical_ID ASC', 'template': 'SELECT COUNT(#COLUMN#), COUNT(#COLUMN#) FROM #TABLE# ORDER BY #COLUMN# ASC'}"
"{'hash': 'f4250a6251d44bf1d591e573dd4f22680e9ed90c', 'query': ""SELECT M.Name, COUNT(A.Musical_ID) FROM musical AS M LEFT JOIN actor AS A ON M.Musical_ID = A.Musical_ID WHERE M.Year BETWEEN 2000 AND 2010 AND M.Award = 'Tony Award' GROUP BY M.Name ORDER BY COUNT(A.Musical_ID) DESC"", 'template': 'SELECT #COLUMN#, COUNT(#COLUMN#) FROM #TABLE# LEFT JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# BETWEEN #VALUE# AND #VALUE# AND #COLUMN# = #VALUE# GROUP BY #COLUMN# ORDER BY COUNT(#COLUMN#) DESC'}"
"{'hash': '28c4edd0c036df9a279869f19d17ded4f65016a4', 'query': 'SELECT T1.Name, T2.Name FROM musical AS T1 JOIN actor AS T2 ON T1.Musical_ID = T2.Musical_ID WHERE T1.Year BETWEEN 2000 AND 2010 OR T2.age > 30 OR T1.Year < 1990', 'template': 'SELECT #COLUMN#, #COLUMN# FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# BETWEEN #VALUE# AND #VALUE# OR #COLUMN# > #VALUE# OR #COLUMN# < #VALUE#'}"
"{'hash': '93b3378a8f0a3b0c582392667f6302214a6bc24d', 'query': 'SELECT * FROM musical WHERE Year < 2010 LIMIT 10', 'template': 'SELECT #COLUMN# FROM #TABLE# WHERE #COLUMN# < #VALUE# LIMIT #VALUE#'}"
"{'hash': 'e999fa49c1a8055a9ce41f504b40714bb17d9013', 'query': 'SELECT T1.Name, T2.Name FROM Musical AS T1 JOIN Actor AS T2 ON T1.Musical_ID = T2.Musical_ID LIMIT 1', 'template': 'SELECT #COLUMN#, #COLUMN# FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# LIMIT #VALUE#'}"
"{'hash': 'e951306cb1d2176810df6b2874aefdb316f48eae', 'query': 'SELECT T1.Name, T2.Name, T3.Name FROM musical AS T1 JOIN actor AS T2 ON T1.Musical_ID = T2.Musical_ID JOIN actor AS T3 ON T2.Actor_ID = T3.Actor_ID', 'template': 'SELECT #COLUMN#, #COLUMN#, #COLUMN# FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# JOIN #TABLE# ON #COLUMN# = #COLUMN#'}"
"{'hash': '2fe8dfd3163e981973d1321dc424f5ddaf27af45', 'query': ""SELECT T1.Name, SUM(T2.age) FROM musical AS T1 JOIN actor AS T2 ON T1.Musical_ID = T2.Musical_ID WHERE T2.Duration < '5 years' GROUP BY T1.Name ORDER BY SUM(T2.age) DESC"", 'template': ""SELECT #COLUMN#, SUM(#COLUMN#) FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# < '#VALUE#' GROUP BY #COLUMN# ORDER BY SUM(#COLUMN#) DESC""}"
"{'hash': '30565a046831d4c4e6d4cf5b280831315ecd2c8f', 'query': 'SELECT COUNT(Musical_ID), MAX(Year) FROM musical WHERE Year <= 1970', 'template': 'SELECT COUNT(#COLUMN#), MAX(#COLUMN#) FROM #TABLE# WHERE #COLUMN# <= #VALUE#'}"
"{'hash': '5df0aa0a975b9a0bae441bf39cf048f028c6fa20', 'query': ""SELECT T1.Name, AVG(T2.age) FROM musical AS T1 JOIN actor AS T2 ON T1.Musical_ID = T2.Musical_ID WHERE T1.Result NOT IN (SELECT Result FROM musical WHERE Award = 'Tony') GROUP BY T1.Name ORDER BY T1.Name ASC LIMIT 10"", 'template': 'SELECT #COLUMN#, AVG(#COLUMN#) FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# NOT IN (SELECT #COLUMN# FROM #TABLE# WHERE #COLUMN# = #VALUE#) GROUP BY #COLUMN# ORDER BY #COLUMN# ASC LIMIT #VALUE#'}"
"{'hash': '31329b6a7302556cf3b09defdf843ff933359417', 'query': 'SELECT COUNT(DISTINCT Musical_ID), COUNT(*) FROM actor WHERE age >= 30 ORDER BY COUNT(*) ASC', 'template': 'SELECT COUNT(DISTINCT #COLUMN#), COUNT(*) FROM #TABLE# WHERE #COLUMN# >= #VALUE# ORDER BY COUNT(*) ASC'}"
"{'hash': '7783e9d13034f04849530e96ba0ebde16b624bb6', 'query': ""SELECT T1.Name FROM musical AS T1 WHERE T1.Year BETWEEN 2000 AND 2010 OR T1.Award = 'Tony Award' OR T1.Result = 'Win', T1.Name ORDER BY T1.Name DESC"", 'template': 'SELECT #COLUMN# FROM #TABLE# AS T1 WHERE T1.#COLUMN# BETWEEN #VALUE# AND #VALUE# OR T1.#COLUMN# = #VALUE# OR T1.#COLUMN# = #VALUE#, #COLUMN# ORDER BY #COLUMN# DESC'}"
"{'hash': '265acd7df478de23a0f265fa4c736f15993290c1', 'query': ""SELECT Name, COUNT(Actor_ID) FROM musical AS T1 JOIN actor AS T2 ON T1.Musical_ID = T2.Musical_ID WHERE Award != 'Tony' GROUP BY Name ORDER BY Name ASC LIMIT 10"", 'template': 'SELECT #COLUMN#, COUNT(#COLUMN#) FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# != #VALUE# GROUP BY #COLUMN# ORDER BY #COLUMN# ASC LIMIT #VALUE#'}"
"{'hash': '4393db6b44c6951eb6b70f51f25ba9637f3b0c39', 'query': ""SELECT T1.Name, T1.Year FROM musical AS T1 JOIN actor AS T2 ON T1.Musical_ID = T2.Musical_ID WHERE T1.Category = 'Best Actor' AND T2.age <= 30 LIMIT 10"", 'template': ""SELECT #COLUMN#, #COLUMN# FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# = '#VALUE#' AND #COLUMN# <= #VALUE# LIMIT #VALUE#""}"
"{'hash': '5c6cbd71f3b79149f4b5b00854de85bd351febbf', 'query': ""SELECT Musical_ID FROM actor WHERE Musical_ID NOT IN (SELECT Musical_ID FROM musical WHERE Year BETWEEN 1990 AND 2000 AND Award = 'Tony') LIMIT 10"", 'template': 'SELECT #COLUMN# FROM #TABLE# WHERE #COLUMN# NOT IN (SELECT #COLUMN# FROM #TABLE# WHERE #COLUMN# BETWEEN #VALUE# AND #VALUE# AND #COLUMN# = #VALUE#) LIMIT #VALUE#'}"
"{'hash': '83f9201f7ed9a9efdebc14ae30c06d17650a647a', 'query': 'SELECT T1.Name, T2.Name, T3.Duration FROM musical AS T1 JOIN actor AS T2 ON T1.Musical_ID = T2.Musical_ID JOIN actor AS T3 ON T2.Actor_ID = T3.Actor_ID WHERE T1.Year <= 2000 ORDER BY T1.Name DESC', 'template': 'SELECT #COLUMN#, #COLUMN#, #COLUMN# FROM #TABLE# AS T1 JOIN #TABLE# AS T2 ON #COLUMN# = #COLUMN# JOIN #TABLE# AS T3 ON #COLUMN# = #COLUMN# WHERE #COLUMN# <= #VALUE# ORDER BY #COLUMN# DESC'}"
"{'hash': '078e3e99f8dec583ca4fab96105188a09acbebd5', 'query': 'SELECT T1.Name, T2.Name FROM musical AS T1 JOIN actor AS T2 ON T1.Musical_ID = T2.Musical_ID GROUP BY T1.Name ORDER BY T2.Name ASC', 'template': 'SELECT #COLUMN#, #COLUMN# FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# GROUP BY #COLUMN# ORDER BY #COLUMN# ASC'}"
"{'hash': 'a89761da508d1983a18832cae71d29ef02b31256', 'query': ""SELECT COUNT(Musical_ID) FROM actor WHERE age BETWEEN 30 AND 50 OR age IN (SELECT age FROM actor WHERE Duration = 'long') LIMIT 10"", 'template': 'SELECT COUNT(#COLUMN#) FROM #TABLE# WHERE #COLUMN# BETWEEN #VALUE# AND #VALUE# OR #COLUMN# IN (SELECT #COLUMN# FROM #TABLE# WHERE #COLUMN# = #VALUE#) LIMIT #VALUE#'}"
"{'hash': '2023adf147644112665681160422a056fdeda7a0', 'query': 'SELECT a.Name FROM musical AS m JOIN actor AS a ON m.Musical_ID = a.Musical_ID WHERE m.Year != 2000 ORDER BY a.Name ASC LIMIT 10', 'template': 'SELECT #COLUMN# FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# != #VALUE# ORDER BY #COLUMN# ASC LIMIT #VALUE#'}"
"{'hash': 'a179d83b317df8a4d0b133a05e7db0ffc54f1895', 'query': ""SELECT Name, Result FROM musical WHERE Award = 'Tony' AND Year <= 2000"", 'template': ""SELECT #COLUMN#, #COLUMN# FROM #TABLE# WHERE #COLUMN# = '#VALUE#' AND #COLUMN# <= #VALUE#""}"
"{'hash': '8ef798e4823bb8a80aff653e7659dc7d8eba043e', 'query': 'SELECT T1.Name FROM musical AS T1 JOIN musical AS T2 ON T1.Musical_ID = T2.Musical_ID WHERE T1.Year IN (SELECT Year FROM musical) ORDER BY T1.Year DESC LIMIT 10', 'template': 'SELECT #COLUMN# FROM #TABLE# AS T1 JOIN #TABLE# AS T2 ON #COLUMN# = #COLUMN# WHERE #COLUMN# IN (SELECT #COLUMN# FROM #TABLE#) ORDER BY #COLUMN# DESC LIMIT #VALUE#'}"
"{'hash': '7d2dda7503ecd047c871892132dda5798856c729', 'query': ""SELECT COUNT(DISTINCT T2.Name) FROM musical AS T1 JOIN actor AS T2 ON T1.Musical_ID = T2.Musical_ID JOIN musical AS T3 ON T2.Musical_ID = T3.Musical_ID WHERE T1.Year > 1950 AND T3.Award = 'Tony' AND T2.age NOT IN (SELECT age FROM actor WHERE Character = 'Lead')"", 'template': 'SELECT COUNT(DISTINCT #COLUMN#) FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# > #VALUE# AND #COLUMN# = #VALUE# AND #COLUMN# NOT IN (SELECT #COLUMN# FROM #TABLE# WHERE #COLUMN# = #VALUE#)'}"
"{'hash': '5c718361e3285a345f4158dd8136cb0f56b84cea', 'query': 'SELECT COUNT(DISTINCT Name), COUNT(DISTINCT Musical_ID), COUNT(DISTINCT Result) FROM musical WHERE Year <= 2010 LIMIT 1', 'template': 'SELECT COUNT(DISTINCT #COLUMN#), COUNT(DISTINCT #COLUMN#), COUNT(DISTINCT #COLUMN#) FROM #TABLE# WHERE #COLUMN# <= #VALUE# LIMIT #VALUE#'}"
"{'hash': 'f1f823b3796f5e41d53d8ff18cc5371d51df9f46', 'query': 'SELECT Musical_ID, Year FROM musical AS T1 WHERE T1.Year < 2000', 'template': 'SELECT #COLUMN#, #COLUMN# FROM #TABLE# AS #TABLE# WHERE #COLUMN# < #VALUE#'}"
