Question,Predicted SQL,Gold SQL,Database
"What is the name of each high schooler and how many friends do they have excluding themselves, listed in descending order?","SELECT H.name, COUNT(F.friend_id) AS num_friends FROM Highschooler H LEFT JOIN Friend F ON H.ID = F.student_id WHERE H.ID != F.friend_id GROUP BY H.name ORDER BY num_friends DESC","SELECT T1.name, COUNT(T2.friend_id) FROM Highschooler AS T1 JOIN Friend AS T2 ON T1.ID = T2.student_id WHERE T1.name != T2.friend_id GROUP BY T1.name ORDER BY COUNT(T2.friend_id) DESC",network_1
"What are the names of countries with a population of more than 1 million, or located in Asia, or having a city with a population of more than 1 million, along with the count of languages spoken in each country, listed in descending order by country name?","SELECT c.Name, COUNT(cl.Language) AS LanguageCount FROM country c LEFT JOIN countrylanguage cl ON c.Code = cl.CountryCode LEFT JOIN city ci ON c.Code = ci.CountryCode WHERE c.Population > 1000000 OR c.Continent = 'Asia' OR ci.Population > 1000000 GROUP BY c.Name ORDER BY c.Name DESC","SELECT T1.Name, COUNT(T2.Language) FROM country AS T1 JOIN countrylanguage AS T2 ON T1.Code = T2.CountryCode WHERE T1.Population > 1000000 OR T1.Continent = 'Asia' OR EXISTS (SELECT * FROM city WHERE Population > 1000000 AND CountryCode = T1.Code) ORDER BY T1.Name DESC",world_1
"Which singers have had a number one song, and how many number one songs has each singer had, listed in alphabetical order by singer name?","SELECT s.Name, COUNT(*) AS Number_of_Number_One_Songs FROM singer s JOIN song so ON s.Singer_ID = so.Singer_ID WHERE so.Highest_Position = 1 GROUP BY s.Name ORDER BY s.Name ASC","SELECT T1.Name, COUNT(DISTINCT T2.Song_ID) FROM singer AS T1 JOIN song AS T2 ON T1.Singer_ID = T2.Singer_ID WHERE T2.Highest_Position = 1 GROUP BY T1.Name ORDER BY T1.Name ASC",singer
"For each destination airport, what are the number of unique source airports and the smallest flight number of flights operated by airline 101 or having flight numbers between 100 and 200, or having a destination airport that exists in the airports table?","SELECT f.DestAirport, COUNT(DISTINCT f.SourceAirport) AS UniqueSourceAirports, MIN(f.FlightNo) AS SmallestFlightNo FROM flights f JOIN airports a ON f.DestAirport = a.AirportCode WHERE f.Airline = 101 OR (f.FlightNo BETWEEN 100 AND 200) GROUP BY f.DestAirport","SELECT COUNT(DISTINCT T1.SourceAirport), MIN(T1.FlightNo) FROM flights AS T1 WHERE T1.Airline = 101 OR T1.FlightNo BETWEEN 100 AND 200 OR EXISTS (SELECT 1 FROM airports AS T2 WHERE T2.AirportCode = T1.DestAirport) GROUP BY T1.DestAirport",flight_2
"For students in grade 10 or higher, what is the number of distinct people they have friends who like, listed in descending order by student name?","SELECT H.name, COUNT(DISTINCT L.liked_id) AS num_distinct_liked FROM Highschooler H JOIN Friend F ON H.ID = F.student_id JOIN Likes L ON F.friend_id = L.student_id WHERE H.grade >= 10 GROUP BY H.name ORDER BY H.name DESC","SELECT T1.name, COUNT(DISTINCT T3.liked_id) FROM Highschooler AS T1 JOIN Friend AS T2 ON T1.ID = T2.student_id JOIN Likes AS T3 ON T2.friend_id = T3.student_id WHERE T1.grade > 9 ORDER BY T1.name DESC",network_1
"What are the loser and winner ioc in matches where the loser id is between 1 and 100, ordered by match number in descending order, and the winner and loser have the same match number and swapped id?","SELECT m.loser_ioc, m.winner_ioc FROM matches m WHERE m.loser_id BETWEEN 1 AND 100 AND m.loser_id = m.winner_id AND m.match_num = m.match_num ORDER BY m.match_num DESC","SELECT M1.loser_ioc, M2.winner_ioc FROM matches M1, matches M2 WHERE M1.match_num = M2.match_num AND M1.winner_id = M2.loser_id AND M1.loser_id BETWEEN 1 AND 100 ORDER BY M1.match_num DESC",wta_1
"What is the number of unique poker players of each nationality, for people with a height of 175, listed in ascending order by nationality?","SELECT p.Nationality, COUNT(DISTINCT pp.People_ID) AS Unique_Players FROM people p JOIN poker_player pp ON p.People_ID = pp.People_ID WHERE p.Height = 175 GROUP BY p.Nationality ORDER BY p.Nationality ASC","SELECT T2.Nationality, COUNT(DISTINCT T1.Poker_Player_ID) FROM poker_player AS T1 JOIN people AS T2 ON T1.People_ID = T2.People_ID WHERE T2.Height = 175 ORDER BY T2.Nationality ASC",poker_player
"What are the total ages of male students grouped by their last names, listed in descending order?","SELECT LName, SUM(Age) AS TotalAge FROM Student WHERE Sex = 'male' GROUP BY LName ORDER BY TotalAge DESC","SELECT LName, SUM(Age) FROM Student WHERE Sex = 'M' GROUP BY LName ORDER BY SUM(Age) DESC",pets_1
What information is available for players with an id higher than that of the player with the lowest id in the rankings?,"SELECT p.player_id, p.first_name, p.last_name, p.hand, p.birth_date, p.country_code FROM players p WHERE p.player_id > (SELECT MIN(player_id) FROM rankings)",SELECT * FROM players WHERE player_id > (SELECT MIN(player_id) FROM rankings),wta_1
What are the template type codes in the Templates table that are not T001?,SELECT DISTINCT Template_Type_Code FROM Templates WHERE Template_Type_Code <> 'T001',SELECT Template_Type_Code FROM Templates WHERE Template_Type_Code NOT IN (SELECT Template_Type_Code FROM Ref_Template_Types WHERE Template_Type_Code = 'T001'),cre_Doc_Template_Mgt
"What is the average age of conductors 50 years or younger, listed from oldest to youngest?",SELECT AVG(Age) AS Average_Age FROM conductor WHERE Age <= 50 ORDER BY Age DESC,SELECT AVG(Age) FROM conductor WHERE Age <= 50 ORDER BY Age DESC,orchestra
What is the total vendor requested price of the properties where the agreed selling price is higher than the vendor requested price?,SELECT SUM(vendor_requested_price) AS total_vendor_requested_price FROM Properties WHERE agreed_selling_price > vendor_requested_price,SELECT SUM(T1.vendor_requested_price) FROM Properties AS T1 JOIN Other_Property_Features AS T2 ON T1.property_id = T2.property_id WHERE T1.agreed_selling_price > T1.vendor_requested_price,real_estate_properties
What are the names of the 11th to 20th conductors between the ages of 40 and 50?,SELECT Name FROM conductor WHERE Age BETWEEN 40 AND 50 ORDER BY Name LIMIT 10 OFFSET 10,SELECT Name FROM conductor WHERE Age BETWEEN 40 AND 50 LIMIT 10,orchestra
"What are the first and last names of students under the age of 20, listed from the 6th to the 10th student?","SELECT Fname, LName FROM Student WHERE Age < 20 ORDER BY StuID LIMIT 5 OFFSET 5","SELECT Fname, LName FROM Student WHERE Age < 20 LIMIT 5",pets_1
What states have cast votes for contestants numbered 10 or less?,SELECT DISTINCT state FROM VOTES WHERE contestant_number <= 10,SELECT T1.state FROM VOTES AS T1 JOIN CONTESTANTS AS T2 ON T1.contestant_number = T2.contestant_number WHERE T1.contestant_number <= 10,voter_1
What are the feature type names for feature type codes greater than or equal to 'type_code'?,SELECT feature_type_name FROM Ref_Feature_Types WHERE feature_type_code >= 'type_code',SELECT feature_type_name FROM Ref_Feature_Types WHERE feature_type_code >= 'type_code',real_estate_properties
What are the last names of the female students?,SELECT LName FROM Student WHERE Sex = 'F',SELECT T1.LName FROM Student AS T1 WHERE T1.Sex != 'Male',pets_1
How many players have a ranking?,SELECT COUNT(DISTINCT player_id) FROM rankings,SELECT COUNT(T1.player_id) FROM players AS T1 JOIN rankings AS T2 ON T1.player_id = T2.player_id,wta_1
"What is the highest population of a city with less than 1,000,000 residents?",SELECT MAX(Population) FROM city WHERE Population < 1000000,SELECT MAX(Population) FROM city WHERE Population < 1000000,world_1
"What is the sum of the IDs of cities with a population less than or equal to 100,000?",SELECT SUM(ID) FROM city WHERE Population <= 100000,SELECT SUM(ID) FROM city AS T1 WHERE T1.Population <= 100000,world_1
"What template type codes, excluding the first 10 template ids, are used across documents, templates, paragraphs and reference template types?",SELECT DISTINCT t.Template_Type_Code FROM Templates t WHERE t.Template_ID NOT IN (SELECT Template_ID FROM Templates ORDER BY Template_ID LIMIT 10),SELECT T.Template_Type_Code FROM Documents D JOIN Templates T ON D.Template_ID = T.Template_ID JOIN Paragraphs P ON P.Document_ID = D.Document_ID JOIN Ref_Template_Types RT ON T.Template_Type_Code = RT.Template_Type_Code WHERE T.Template_Type_Code NOT IN (SELECT Template_Type_Code FROM Templates WHERE Template_ID BETWEEN 1 AND 10),cre_Doc_Template_Mgt
How many unique weekly ranks do the top rated TV series with ids between 1 and 10 have?,SELECT COUNT(DISTINCT Weekly_Rank) FROM TV_series WHERE id BETWEEN 1 AND 10,SELECT COUNT(DISTINCT c.Weekly_Rank) FROM TV_series AS c WHERE c.id BETWEEN 1 AND 10 AND Rating = (SELECT MAX(Rating) FROM TV_series),tvshow
What are the start dates for employees hired in shops with 68 or fewer products and having a shop id between 1 and 10?,SELECT h.Start_from FROM hiring h JOIN shop s ON h.Shop_ID = s.Shop_ID WHERE s.Number_products <= 68 AND s.Shop_ID BETWEEN 1 AND 10,SELECT Start_from FROM hiring WHERE Shop_ID BETWEEN 1 AND 10 AND EXISTS (SELECT * FROM shop AS x WHERE  x.Number_products <= 68 AND hiring.Shop_ID = x.Shop_ID),employee_hire_evaluation
"For each city, what is the maximum professional id, the sum of all professional ids, the last name of the professionals, and the city, considering only cities where the smallest professional id is greater than 55 and the professional id is greater than 39?","SELECT MAX(p.professional_id) AS max_professional_id, SUM(p.professional_id) AS sum_professional_id, p.last_name, p.city FROM Professionals p WHERE p.professional_id > 39 GROUP BY p.city, p.last_name HAVING MIN(p.professional_id) > 55","SELECT MAX(l.professional_id), SUM(l.professional_id), l.last_name, l.city FROM Professionals AS l WHERE  l.professional_id > 39 GROUP BY l.city HAVING MIN(l.professional_id) > 55",dog_kennels
