query,question,iter,flag,hardness
"SELECT Artist, COUNT(DISTINCT Famous_Title) FROM artist WHERE Artist_ID IN (SELECT Artist_ID FROM volume WHERE Weeks_on_Top > 10) ORDER BY Artist ASC LIMIT 1","Who is the first artist (in alphabetical order) among those whose songs stayed on top for more than 10 weeks, and how many distinct famous titles does this artist have?",6,True,extra
"SELECT COUNT(DISTINCT Artist_ID), COUNT(*) FROM artist WHERE Age <= 50","How many artists under the age of 50 are there, and how many total entries of these artists are there?",6,False,medium
SELECT Artist FROM artist,What are the names of the artists?,2,True,easy
"SELECT Artist_ID, MAX(Weeks_on_Top) FROM volume WHERE Artist_ID IN (SELECT Artist_ID FROM artist WHERE Age > (SELECT MAX(Age) FROM artist)) LIMIT 10",What are the artist IDs and their maximum weeks on top for the 11th to 20th oldest artists?,6,False,extra
SELECT V1.Artist_ID FROM (SELECT T2.Artist_ID FROM artist AS T1 INNER JOIN volume AS T2 ON T1.Artist_ID = T2.Artist_ID WHERE T1.Age BETWEEN 20 AND 30 OR T1.Famous_Release_date IN ( SELECT T2.Issue_Date FROM artist AS T1 INNER JOIN volume AS T2 ON T1.Artist_ID = T2.Artist_ID WHERE T1.Artist = 'The Beatles' ) GROUP BY T2.Artist_ID HAVING MIN(T1.Age) > 25) AS V1 ORDER BY V1.Artist_ID ASC,"What are the IDs of artists whose minimum age is greater than 25 and who are either between 20 and 30 years old or released a song on the same date as The Beatles, listed in ascending order by ID?",6,False,easy
SELECT COUNT(DISTINCT T2.Artist_ID) FROM music_festival AS T1 JOIN volume AS T2 ON T1.Volume = T2.Volume_ID WHERE T1.Category < 'Rock',How many different artists are featured in music festivals with categories before 'Rock'?,6,False,medium
SELECT Artist FROM artist WHERE Artist_ID IN (SELECT Artist_ID FROM volume WHERE Volume_Issue = 'issue1') ORDER BY Artist DESC,"Who are the artists in issue1, listed in descending order?",2,True,extra
"SELECT T1.Artist, T2.Weeks_on_Top FROM artist AS T1 JOIN volume AS T2 ON T1.Artist_ID = T2.Artist_ID WHERE T1.Age BETWEEN 20 AND 30 AND T2.Weeks_on_Top > 5 AND NOT EXISTS (SELECT 1 FROM music_festival AS T3 WHERE T3.Volume = T2.Volume_ID)","What are the names of artists aged 20-30 with more than 5 weeks on top without a music festival volume, along with their weeks on top?",3,True,extra
"SELECT T1.Artist_ID, T1.Artist, T2.Volume_Issue, T3.Music_Festival FROM artist AS T1 JOIN volume AS T2 ON T1.Artist_ID = T2.Artist_ID JOIN music_festival AS T3 ON T2.Volume_ID = T3.Volume GROUP BY T1.Artist_ID HAVING MAX(T3.Volume) = 10 LIMIT 5","What are the artist ids, artists, volume issues, and music festivals for the top 5 artists with a maximum volume of 10, excluding the first 5 results?",6,False,extra
"SELECT T1.Artist_ID, COUNT(DISTINCT T2.Volume_Issue) FROM artist AS T1 JOIN volume AS T2 ON T1.Artist_ID = T2.Artist_ID JOIN music_festival AS T3 ON T2.Volume_ID = T3.Volume WHERE T2.Issue_Date BETWEEN '1990-01-01' AND '1999-12-31' OR T2.Weeks_on_Top > 10 OR T3.Result NOT IN (SELECT Result FROM music_festival WHERE Volume > 100) GROUP BY T1.Artist_ID HAVING MAX(T2.Weeks_on_Top) > 5 ORDER BY COUNT(DISTINCT T2.Volume_Issue) DESC","Which artists had the most distinct volume issues between 1990 and 1999, or with more than 10 weeks on top, or with music festival results not in the top 100 volumes, with the highest weeks on top more than 5, ordered by the count of distinct volume issues and then by the weeks on top?",6,False,extra
"SELECT SUM(T1.Weeks_on_Top), T3.Artist FROM volume AS T1 JOIN artist AS T2 ON T1.Artist_ID = T2.Artist_ID JOIN music_festival AS T3 ON T1.Volume_ID = T3.Volume WHERE T2.Age BETWEEN 30 AND 60",What is the total number of weeks on top and the corresponding artist for music volumes by artists aged between 30 and 60 years old?,6,False,hard
"SELECT COUNT(DISTINCT T1.Artist), T1.Age, SUM(T1.Age) FROM artist AS T1 WHERE T1.Age > 20 OR T1.Age BETWEEN 30 AND 40","What is the count of distinct artists, their average age, and the total age of artists who are either older than 20 or between 30 and 40 years old?",6,False,hard
