query,question,iter,flag,hardness
SELECT T1.name FROM airports AS T1 JOIN routes AS T2 ON T1.apid = T2.dst_apid WHERE T1.country != 'USA',What are the names of the destination airports located outside the USA?,2,True,medium
"SELECT T2.name, T3.name FROM routes AS T1 JOIN airports AS T2 ON T1.dst_apid = T2.apid JOIN airlines AS T3 ON T1.alid = T3.alid WHERE T2.country = 'USA' LIMIT 10","What are the names of the destination airport and airline for routes in the USA, listed 11th to 20th?",6,False,extra
SELECT * FROM airports WHERE elevation >= 1000 AND x >= 1000 AND y >= 1000,What are the details of all airports with an elevation of at least 1000 and coordinates x and y of at least 1000?,2,True,medium
"SELECT T1.name, COUNT(T2.dst_ap) FROM airports AS T1 JOIN routes AS T2 ON T1.apid = T2.dst_apid WHERE T1.country <= 'USA' GROUP BY T1.name HAVING COUNT(T2.dst_ap) > 1",What are the names of the US airports with more than one destination airport?,6,False,hard
"SELECT T1.name, AVG(T1.elevation) FROM airports AS T1 JOIN routes AS T2 ON T1.apid = T2.dst_apid WHERE T1.country = 'USA' OR T1.country = 'Canada' AND T2.alid BETWEEN 1 AND 10 AND T2.alid IN (SELECT alid FROM airlines WHERE country = 'USA') GROUP BY T1.name LIMIT 10","What are the names of the top 10 airports in the USA or Canada, along with the average elevation of each, that serve airlines based in the USA with an airline ID between 1 and 10?",6,False,extra
SELECT T1.name FROM airports AS T1 WHERE NOT EXISTS ( SELECT 1 FROM routes AS T2 WHERE T2.dst_apid = T1.apid AND T2.dst_ap = T1.name ) GROUP BY T1.name,What are the names of airports where no flights arrive?,4,True,extra
SELECT COUNT(DISTINCT T1.airline) FROM routes AS T1 JOIN airlines AS T2 ON T1.alid = T2.alid WHERE T1.dst_apid = 10 AND T1.src_apid BETWEEN 1 AND 100 AND T1.airline > 'Airline 1',"How many different airlines, with an airline name after 'Airline 1', operate flights from a source airport with id between 1 and 100 to a destination airport with id 10?",6,False,medium
SELECT Name FROM airports AS T1 WHERE ICAO != 'KLAX',What are the names of the airports whose ICAO code is not KLAX?,2,True,easy
SELECT T1.name FROM airports AS T1 WHERE T1.apid = (SELECT T2.dst_apid FROM routes AS T2 WHERE T2.dst_ap = 'Paris') AND T1.name = (SELECT T3.name FROM airports AS T3 WHERE T3.icao = 'LFPG'),What is the name of the airport in Paris that has the ICAO code LFPG?,3,True,extra
"SELECT T1.name, COUNT(T2.rid) FROM airports AS T1 JOIN routes AS T2 ON T1.apid = T2.dst_apid WHERE T1.x <= 0",What are the names of airports with a longitude of 0 or less and how many routes do they have as a destination?,6,True,medium
SELECT COUNT(T2.alid) FROM airports AS T1 JOIN routes AS T2 ON T1.apid = T2.dst_apid WHERE T2.airline != ' codeshare' LIMIT 10,What are the next 10 counts of airline IDs excluding codeshare flights?,6,False,hard
SELECT T1.name FROM airports AS T1 JOIN routes AS T2 ON T1.apid = T2.dst_apid WHERE T1.iata IN (SELECT T3.iata FROM airlines AS T3 JOIN routes AS T4 ON T3.alid = T4.alid WHERE T4.dst_apid = 101),What are the names of the airports that are the destinations for airlines that operate flights to the airport with id 101?,6,False,extra
SELECT MAX(apid) FROM airports WHERE elevation > 1000,What is the airport id of the airport with the highest elevation above 1000 feet?,2,True,easy
"SELECT COUNT(DISTINCT T1.iata), T1.name FROM airlines AS T1 WHERE T1.alid NOT IN (SELECT T2.alid FROM routes AS T2 WHERE T2.codeshare = 'Y') GROUP BY T1.name ORDER BY COUNT(DISTINCT T1.iata) ASC",How many unique airport codes do each airline have if they have no codeshare flights?,6,False,extra
"SELECT COUNT(DISTINCT T1.airline), COUNT(DISTINCT T1.dst_ap), COUNT(DISTINCT T1.src_ap) FROM routes AS T1 JOIN airports AS T2 ON T1.dst_apid = T2.apid JOIN airlines AS T3 ON T1.alid = T3.alid WHERE T2.elevation <= 1000 ORDER BY COUNT(DISTINCT T1.airline) DESC","How many unique airlines, destination airports, and source airports operate in airports with an elevation of 1000 or less, ranked by the most airlines?",6,False,extra
"SELECT T2.name, COUNT(T1.rid) FROM routes AS T1 JOIN airports AS T2 ON T1.dst_apid = T2.apid WHERE T1.dst_ap != 'DEL' GROUP BY T2.name",What are the names of destination airports (excluding Delhi) and how many routes serve them?,6,False,hard
SELECT dst_ap FROM routes WHERE dst_ap < 'A' ORDER BY dst_ap ASC,List the destination airport names that start with a letter before 'A' in alphabetical order.,5,True,medium
