query,question,iter,flag,hardness
"SELECT Title, MAX(Year) FROM Albums WHERE Title > 'Title' GROUP BY Title ORDER BY Title DESC","What are the titles of the albums and their latest release years, excluding the album titled 'Title', listed in descending order by title?",6,False,hard
SELECT T1.Title FROM Songs AS T1 WHERE NOT EXISTS ( SELECT 1 FROM Albums AS T2 WHERE T1.SongId = T2.AId AND T2.Title = 'Album1' GROUP BY T2.Title HAVING MAX(T2.Year) = 2020 ) GROUP BY T1.Title HAVING MAX(T1.SongId) = 10,"What is the title of the song with the song id of 10, that does not appear in the album titled 'Album1' that was released in 2020?",4,True,extra
"SELECT T1.Title, COUNT(T2.SongId) FROM Songs AS T1 JOIN Tracklists AS T2 ON T1.SongId = T2.SongId WHERE T2.Position < 10 LIMIT 5",What are the titles of the next 5 songs that appear most frequently in the top 10 of tracklists?,6,False,hard
"SELECT Title, SUM(Year) FROM Albums WHERE Year BETWEEN 2000 AND 2010 GROUP BY Title HAVING SUM(Year) > 2005 ORDER BY Title DESC LIMIT 1","What is the title of the second album with the highest title in alphabetical order, among the albums released between 2000 and 2010, where the sum of the years of release is greater than 2005?",6,False,extra
SELECT T1.Title FROM Songs AS T1 JOIN Tracklists AS T2 ON T1.SongId = T2.SongId JOIN Albums AS T3 ON T2.AlbumId = T3.AId JOIN Performance AS T4 ON T1.SongId = T4.SongId JOIN Band AS T5 ON T4.Bandmate = T5.Id WHERE T3.Year > 2000 GROUP BY T1.Title HAVING MAX(T5.Id) = 10 ORDER BY T1.Title DESC LIMIT 10,"What are the last 10 song titles from albums released after 2000, performed by bandmate with id 10, in descending order?",6,False,extra
"SELECT COUNT(T1.Title), AVG(T2.Year) FROM Songs AS T1 JOIN Tracklists AS T3 ON T1.SongId = T3.SongId JOIN Albums AS T2 ON T3.AlbumId = T2.AId JOIN Band AS T4 ON T4.Id = T3.Position JOIN Performance AS T5 ON T5.SongId = T1.SongId WHERE T2.Label = 'BMG' AND T2.Year BETWEEN 1990 AND 1995 AND T4.Firstname = 'John'","What is the count of song titles and the average release year of albums released by BMG between 1990 and 1995, performed by someone named John?",6,False,extra
SELECT * FROM Songs WHERE SongId NOT IN (SELECT SongId FROM Vocals WHERE Type = 'lead') LIMIT 1,What is the next song that does not have a lead vocal?,5,True,extra
SELECT AId FROM Albums WHERE Label IN (SELECT Label FROM Albums WHERE Type = 'LP') AND Year BETWEEN 2000 AND 2010 LIMIT 5,What are the next 5 album ids of albums released between 2000 and 2010 by labels that have also released LPs?,4,True,extra
SELECT MAX(T1.Title) FROM Songs AS T1 ORDER BY T1.Title DESC LIMIT 1,What is the second latest title in the songs table?,6,False,medium
"SELECT T1.Title, MAX(T2.Year) FROM Songs AS T1 JOIN Albums AS T2 ON T1.SongId = T2.AId WHERE T2.Year BETWEEN 1990 AND 2000 OR T1.Title = 'song title' OR T2.Label = 'label' ORDER BY T2.Year DESC","What is the title of the song and the latest year of its album for the albums released between 1990 and 2000, or songs with title 'song title', or albums with label 'label', ordered by year in descending order?",6,False,extra
