query,question,iter,flag,hardness
SELECT T1.Title FROM Movies AS T1 JOIN MovieTheaters AS T2 ON T1.Code = T2.Movie WHERE T2.Name = 'AMC' AND T1.Rating >= 4 ORDER BY T1.Title ASC,"What are the titles of movies rated 4 or higher that are shown at AMC theaters, listed in alphabetical order?",2,True,hard
"SELECT T1.Title, T2.Name FROM Movies AS T1 JOIN MovieTheaters AS T2 ON T1.Code = T2.Movie WHERE T1.Code != T2.Code",What are the titles of movies and names of movie theaters where the movie code does not match the theater's movie code?,4,True,medium
"SELECT T1.Title, T2.Name FROM Movies AS T1 JOIN MovieTheaters AS T2 ON T1.Code = T2.Movie LIMIT 10",What are the titles of movies and names of their corresponding theaters for the 11th to 20th movies?,6,False,medium
"SELECT Movie, COUNT(Movie) FROM MovieTheaters WHERE Movie >= 1 GROUP BY Movie",How many theaters are showing each movie?,2,True,medium
"SELECT M1.Title, M2.Name, M3.Rating FROM Movies AS M1 JOIN MovieTheaters AS M2 ON M1.Code = M2.Movie JOIN Movies AS M3 ON M2.Movie = M3.Code WHERE M2.Code = 1 LIMIT 10","What are the titles and corresponding theater names and ratings of movies shown at theater code 1, listing from the 11th to the 20th results?",4,True,extra
"SELECT T1.Title, T1.Rating FROM Movies AS T1 WHERE T1.Code <= 10",What are the titles and ratings of the movies with a code less than or equal to 10?,3,True,medium
SELECT Name FROM MovieTheaters WHERE Movie = ( SELECT Code FROM Movies WHERE Title = 'Inception' ) OR Name = 'AMC Empire 25',What are the names of the movie theaters showing 'Inception' or 'AMC Empire 25'?,2,True,extra
"SELECT T1.Title, MIN(T1.Rating) FROM Movies AS T1 JOIN MovieTheaters AS T2 ON T1.Code = T2.Movie GROUP BY T1.Title HAVING T2.Code > 2",What is the title and the lowest rating for each movie shown in theaters with a code greater than 2?,3,True,medium
SELECT COUNT(DISTINCT Movie) FROM MovieTheaters WHERE Movie BETWEEN 1 AND 10 ORDER BY Movie ASC,How many different movies are there in the first 10 movie theaters?,6,False,medium
SELECT M.Title FROM Movies AS M JOIN MovieTheaters AS MT ON M.Code = MT.Movie WHERE EXISTS (SELECT 1 FROM MovieTheaters AS MT2 WHERE MT2.Name = 'Theater1' AND MT2.Code = MT.Code),What are the movie titles shown at theater 'Theater1'?,2,True,extra
SELECT Title FROM Movies WHERE Code = 100 LIMIT 10,"What are the titles of the movies with the code 100, starting from the 11th?",2,True,medium
"SELECT T1.Title, COUNT(DISTINCT T2.Code) FROM Movies AS T1 JOIN MovieTheaters AS T2 ON T1.Code = T2.Movie WHERE T1.Rating < 'PG'",What are the titles of movies rated less than 'PG' and the number of distinct movie codes for each?,6,True,medium
"SELECT Title, Rating FROM Movies WHERE Rating > 5 ORDER BY Rating DESC","What are the titles and ratings of movies rated higher than 5, listed in descending order of rating?",2,True,medium
"SELECT T1.Title, COUNT(T2.Code) FROM Movies AS T1 JOIN MovieTheaters AS T2 ON T1.Code = T2.Movie WHERE T1.Rating = 'G' OR T1.Code NOT IN (SELECT Movie FROM MovieTheaters) LIMIT 10","What are the titles of G-rated movies or movies not shown in any theater, along with the number of theaters showing them, listed 11th to 20th?",3,True,extra
"SELECT SUM(T1.Code), COUNT(T1.Code), MIN(T1.Code) FROM MovieTheaters AS T1 WHERE T1.Code BETWEEN 10 AND 15","What is the total, count, and minimum code of movie theaters with codes between 10 and 15?",2,True,medium
SELECT T1.Title FROM Movies AS T1 JOIN Movies AS T2 ON T1.Code = T2.Code WHERE T1.Code IN (SELECT Movie FROM MovieTheaters WHERE Movie IS NOT NULL) ORDER BY T1.Title ASC,"What are the titles of movies shown in theaters, listed in ascending order?",4,True,extra
"SELECT T1.Title, T2.Name, MAX(T1.Rating) FROM Movies AS T1 JOIN MovieTheaters AS T2 ON T1.Code = T2.Movie WHERE T1.Code BETWEEN 1 AND 10 OR T1.Title IN ('Movie1', 'Movie2') OR T1.Title NOT IN (SELECT Title FROM Movies WHERE Rating = 'PG') ORDER BY T1.Title ASC","What are the titles, corresponding theaters, and highest ratings of movies with codes between 1 and 10, or titles 'Movie1' or 'Movie2', excluding movies rated 'PG', listed in ascending order by title?",6,False,extra
SELECT Title FROM Movies WHERE Rating = 'G' OR Rating = 'PG' OR Rating BETWEEN 'R' AND 'NC-17' LIMIT 10,"What are the next 10 movie titles with a rating of G, PG, or from R to NC-17?",6,False,extra
"SELECT MAX(T2.Code), T1.Title FROM Movies AS T1 JOIN MovieTheaters AS T2 ON T1.Code = T2.Movie WHERE T2.Code BETWEEN 100 AND 200 OR T1.Title NOT IN (SELECT Title FROM Movies WHERE Rating = 'G') ORDER BY T2.Code DESC","What is the highest movie theater code and the corresponding movie title for movies with a code between 100 and 200 or a rating other than 'G', listed in descending order of movie theater code?",6,False,extra
SELECT Name FROM MovieTheaters WHERE Movie >= 1,What are the names of the movie theaters showing at least one movie?,6,False,easy
"SELECT M1.Title, T1.Name FROM Movies AS M1 JOIN MovieTheaters AS T1 ON M1.Code = T1.Movie JOIN MovieTheaters AS T2 ON T1.Code = T2.Code WHERE M1.Rating >= 'PG' LIMIT 10",What are the titles of movies rated at least PG and the names of their respective theaters?,6,False,extra
SELECT T1.Title FROM Movies AS T1 WHERE T1.Rating > 'PG13' ORDER BY T1.Code ASC LIMIT 10,"What are the titles of the next 10 movies with a rating higher than PG13, listed in ascending order by movie code?",3,True,hard
"SELECT T1.Title, COUNT(T2.Name) FROM Movies AS T1 JOIN MovieTheaters AS T2 ON T1.Code = T2.Movie JOIN MovieTheaters AS T3 ON T2.Code = T3.Code WHERE T1.Rating != 'G'",What are the titles of non-G rated movies and how many theaters show each of them?,2,True,hard
