sql,hardness
"SELECT Artist, COUNT(DISTINCT Famous_Title) FROM artist WHERE Artist_ID IN (SELECT Artist_ID FROM volume WHERE Weeks_on_Top > 10) ORDER BY Artist ASC LIMIT 1",extra
"SELECT COUNT(DISTINCT Artist_ID), COUNT(*) FROM artist WHERE Age <= 50",medium
SELECT Artist FROM artist,easy
"SELECT Artist_ID, MAX(Weeks_on_Top) FROM volume WHERE Artist_ID IN (SELECT Artist_ID FROM artist WHERE Age > (SELECT MAX(Age) FROM artist)) LIMIT 10",extra
SELECT V1.Artist_ID FROM (SELECT T2.Artist_ID FROM artist AS T1 INNER JOIN volume AS T2 ON T1.Artist_ID = T2.Artist_ID WHERE T1.Age BETWEEN 20 AND 30 OR T1.Famous_Release_date IN ( SELECT T2.Issue_Date FROM artist AS T1 INNER JOIN volume AS T2 ON T1.Artist_ID = T2.Artist_ID WHERE T1.Artist = 'The Beatles' ) GROUP BY T2.Artist_ID HAVING MIN(T1.Age) > 25) AS V1 ORDER BY V1.Artist_ID ASC,easy
SELECT COUNT(DISTINCT T2.Artist_ID) FROM music_festival AS T1 JOIN volume AS T2 ON T1.Volume = T2.Volume_ID WHERE T1.Category < 'Rock',medium
SELECT Artist FROM artist WHERE Artist_ID IN (SELECT Artist_ID FROM volume WHERE Volume_Issue = 'issue1') ORDER BY Artist DESC,extra
"SELECT T1.Artist, T2.Weeks_on_Top FROM artist AS T1 JOIN volume AS T2 ON T1.Artist_ID = T2.Artist_ID WHERE T1.Age BETWEEN 20 AND 30 AND T2.Weeks_on_Top > 5 AND NOT EXISTS (SELECT 1 FROM music_festival AS T3 WHERE T3.Volume = T2.Volume_ID)",extra
"SELECT T1.Artist_ID, T1.Artist, T2.Volume_Issue, T3.Music_Festival FROM artist AS T1 JOIN volume AS T2 ON T1.Artist_ID = T2.Artist_ID JOIN music_festival AS T3 ON T2.Volume_ID = T3.Volume GROUP BY T1.Artist_ID HAVING MAX(T3.Volume) = 10 LIMIT 5",extra
"SELECT T1.Artist_ID, COUNT(DISTINCT T2.Volume_Issue) FROM artist AS T1 JOIN volume AS T2 ON T1.Artist_ID = T2.Artist_ID JOIN music_festival AS T3 ON T2.Volume_ID = T3.Volume WHERE T2.Issue_Date BETWEEN '1990-01-01' AND '1999-12-31' OR T2.Weeks_on_Top > 10 OR T3.Result NOT IN (SELECT Result FROM music_festival WHERE Volume > 100) GROUP BY T1.Artist_ID HAVING MAX(T2.Weeks_on_Top) > 5 ORDER BY COUNT(DISTINCT T2.Volume_Issue) DESC",extra
