sql,hardness
"SELECT Result, Song FROM music_festival JOIN volume ON music_festival.Volume = volume.Volume_ID WHERE EXISTS (SELECT * FROM volume WHERE  Weeks_on_Top <= 54 AND music_festival.ID = Volume_ID) GROUP BY Song HAVING MIN(Weeks_on_Top) = 15 ORDER BY Song DESC",extra
SELECT ID FROM music_festival WHERE Volume BETWEEN 1 AND 10,easy
"SELECT s.Age, s.Age, s.Famous_Title FROM artist AS s WHERE  s.Artist_ID != 78 GROUP BY s.Famous_Title HAVING COUNT(s.Age) > 54 ORDER BY s.Age ASC",hard
"SELECT AVG(c.Artist_ID), COUNT(DISTINCT c.Famous_Release_date) FROM artist AS c WHERE  c.Artist_ID >= 61",medium
"SELECT Famous_Title, Result FROM music_festival JOIN artist JOIN volume ON volume.Artist_ID = artist.Artist_ID AND music_festival.Volume = volume.Volume_ID WHERE  Weeks_on_Top > 84 GROUP BY Result LIMIT 10",extra
"SELECT a.Weeks_on_Top, a.Weeks_on_Top FROM volume AS a WHERE  a.Weeks_on_Top != 14",medium
"SELECT volume.Artist_ID, volume.Weeks_on_Top, volume.Song FROM volume AS z JOIN volume ON volume.Volume_ID = z.Volume_ID WHERE  volume.Volume_ID >= 76 GROUP BY volume.Song HAVING AVG(z.Artist_ID) >= 74",hard
"SELECT MAX(Volume_ID), Volume_ID, Volume_Issue FROM volume WHERE  Weeks_on_Top <= 15",medium
"SELECT Volume_ID, Weeks_on_Top, Issue_Date FROM volume WHERE Artist_ID BETWEEN 1 AND 10",medium
"SELECT c.Age, c.Famous_Title FROM artist AS c WHERE  c.Age >= 76 GROUP BY c.Famous_Title HAVING COUNT(c.Artist_ID) = 32 ORDER BY c.Famous_Title DESC LIMIT 5",extra
"SELECT MAX(Age), Famous_Release_date FROM music_festival JOIN artist JOIN volume ON volume.Artist_ID = artist.Artist_ID AND music_festival.Volume = volume.Volume_ID WHERE  artist.Artist_ID < 15 OR EXISTS (SELECT * FROM artist AS q WHERE  q.Artist_ID < 76 AND volume.Volume_ID = q.Artist_ID LIMIT 8) GROUP BY Famous_Release_date HAVING MIN(Volume_ID) > 1 LIMIT 6",extra
"SELECT m.Music_Festival, m.Date_of_ceremony FROM music_festival AS m WHERE  m.ID < 84 GROUP BY m.Date_of_ceremony ORDER BY m.Date_of_ceremony DESC LIMIT 5",extra
"SELECT COUNT(DISTINCT q.Issue_Date), q.Weeks_on_Top FROM volume AS q WHERE  q.Volume_ID = 36 GROUP BY q.Weeks_on_Top",medium
"SELECT Volume, Date_of_ceremony FROM music_festival WHERE  Volume <= 26 GROUP BY Date_of_ceremony HAVING COUNT(ID) <= 51 ORDER BY Date_of_ceremony DESC",hard
"SELECT MAX(o.ID), o.Music_Festival FROM music_festival AS o WHERE Volume NOT IN (SELECT Volume FROM music_festival WHERE  Volume = 98 LIMIT 7) GROUP BY o.Music_Festival HAVING MIN(o.ID) > 9 LIMIT 8",extra
"SELECT f.Result, f.Result FROM music_festival AS f WHERE  f.ID != 15 OR ID < (SELECT AVG(ID) FROM music_festival AS k WHERE k.ID BETWEEN 1 AND 10)",extra
"SELECT MIN(volume.Artist_ID), Famous_Release_date, Famous_Title FROM artist JOIN volume ON volume.Artist_ID = artist.Artist_ID WHERE  Volume_ID = 78 LIMIT 2",hard
SELECT COUNT(DISTINCT n.Famous_Release_date) FROM artist AS n WHERE Famous_Release_date NOT IN (SELECT Famous_Release_date FROM artist WHERE  Artist_ID != 71),extra
"SELECT h.Volume, h.Category, h.Date_of_ceremony FROM music_festival AS h WHERE h.Volume BETWEEN 1 AND 10 AND  h.Volume <= 8 ORDER BY h.Date_of_ceremony ASC",extra
"SELECT COUNT(DISTINCT f.Volume_Issue), COUNT(DISTINCT f.Issue_Date), f.Artist_ID FROM volume AS f WHERE  f.Weeks_on_Top < 68 OR Volume_ID IN (SELECT Volume_ID FROM volume AS d WHERE  d.Volume_ID >= 40) GROUP BY f.Artist_ID",extra
"SELECT COUNT(DISTINCT u.Song), u.Song FROM volume AS u ORDER BY u.Song DESC",medium
"SELECT COUNT(DISTINCT b.Weeks_on_Top), COUNT(DISTINCT b.Volume_ID), b.Volume_ID FROM volume AS b WHERE  b.Weeks_on_Top = 14 ORDER BY b.Volume_ID ASC",extra
SELECT Volume FROM music_festival WHERE ID BETWEEN 1 AND 10 OR Date_of_ceremony NOT IN (SELECT Date_of_ceremony FROM music_festival AS v WHERE  v.ID <= 100),extra
SELECT x.Weeks_on_Top FROM volume AS x WHERE  x.Artist_ID <= 85 LIMIT 10,medium
"SELECT COUNT(artist.Artist_ID), p.Famous_Title FROM artist JOIN artist AS p ON artist.Artist_ID = p.Artist_ID GROUP BY p.Famous_Title ORDER BY p.Famous_Title DESC",hard
"SELECT Famous_Title, Famous_Title FROM artist WHERE  Artist_ID <= 71 ORDER BY Famous_Title ASC",medium
