sql,hardness
"SELECT SUM(age), name FROM Reserves JOIN Sailors ON Sailors.sid = Reserves.sid WHERE Sailors.sid BETWEEN 1 AND 10 OR rating > (SELECT MAX(rating) FROM Sailors WHERE age BETWEEN 1 AND 10) LIMIT 2",extra
"SELECT name, name FROM Sailors WHERE name NOT IN (SELECT name FROM Boats WHERE  bid > 88) ORDER BY name DESC",extra
SELECT Sailors.sid FROM Reserves JOIN Sailors JOIN Boats ON Reserves.bid = Boats.bid AND Sailors.sid = Reserves.sid WHERE Reserves.sid BETWEEN 1 AND 10 AND EXISTS (SELECT * FROM Reserves AS m WHERE  m.bid = 61 AND Boats.bid = m.bid) ORDER BY Sailors.sid ASC,extra
SELECT Boats.bid FROM Reserves JOIN Boats ON Reserves.bid = Boats.bid WHERE  Reserves.bid = 23 ORDER BY Boats.bid ASC,hard
"SELECT COUNT(bid), COUNT(bid) FROM Reserves JOIN Sailors ON Sailors.sid = Reserves.sid WHERE rating BETWEEN 1 AND 10 OR bid NOT IN (SELECT bid FROM Reserves WHERE sid BETWEEN 1 AND 10)",extra
"SELECT rating, rating FROM Sailors WHERE  rating <= 65 GROUP BY rating ORDER BY rating DESC",hard
"SELECT Boats.bid, m.color FROM Boats AS m JOIN Boats ON Boats.bid = m.bid WHERE  Boats.bid < 0 ORDER BY Boats.bid DESC",hard
"SELECT bid, name FROM Boats WHERE bid = (SELECT MAX(bid) FROM Reserves WHERE  bid = 66) GROUP BY name",extra
SELECT n.name FROM Sailors AS n WHERE  n.sid < 54 LIMIT 10,medium
"SELECT MAX(age), Boats.bid, Sailors.sid FROM Reserves JOIN Sailors JOIN Boats ON Reserves.bid = Boats.bid AND Sailors.sid = Reserves.sid WHERE Boats.bid BETWEEN 1 AND 10 AND  Reserves.sid >= 1",hard
"SELECT AVG(bid), COUNT(bid), SUM(bid), color FROM Boats WHERE  bid = 46 GROUP BY color HAVING COUNT(bid) > 67",extra
SELECT name FROM Reserves JOIN Sailors ON Sailors.sid = Reserves.sid WHERE Reserves.sid BETWEEN 1 AND 10 AND sid NOT IN (SELECT sid FROM Reserves AS n WHERE  n.bid != 36 LIMIT 5) ORDER BY name DESC,extra
"SELECT Sailors.sid, day FROM Reserves JOIN Sailors ON Sailors.sid = Reserves.sid WHERE rating BETWEEN 1 AND 10 LIMIT 7",hard
"SELECT SUM(bid), COUNT(bid), day FROM Reserves WHERE  bid = 78 AND sid IN (SELECT sid FROM Reserves AS e WHERE e.bid BETWEEN 1 AND 10)",extra
"SELECT COUNT(DISTINCT Reserves.sid), COUNT(DISTINCT Boats.name) FROM Reserves JOIN Sailors JOIN Boats ON Reserves.bid = Boats.bid AND Sailors.sid = Reserves.sid WHERE EXISTS (SELECT * FROM Reserves AS r WHERE  r.sid > 99 AND Boats.bid = r.bid)",extra
"SELECT COUNT(bid), bid FROM Boats WHERE  bid > 21 ORDER BY bid ASC",medium
"SELECT age, bid FROM Reserves JOIN Sailors ON Sailors.sid = Reserves.sid WHERE age BETWEEN 1 AND 10 OR sid = (SELECT AVG(sid) FROM Reserves WHERE  sid <= 7) LIMIT 4",extra
"SELECT COUNT(DISTINCT bid), COUNT(DISTINCT color), color FROM Boats",medium
SELECT t.day FROM Reserves AS t WHERE t.sid BETWEEN 1 AND 10 AND sid IN (SELECT sid FROM Reserves AS r WHERE  r.bid >= 28),extra
"SELECT v.day, v.day FROM Reserves AS v WHERE  v.sid = 72",medium
"SELECT h.bid, h.day FROM Reserves AS h",medium
"SELECT sid, sid FROM Sailors WHERE name > (SELECT SUM(name) FROM Boats AS i WHERE  i.bid > 16) ORDER BY sid ASC",extra
SELECT Sailors.name FROM Reserves JOIN Sailors JOIN Boats ON Reserves.bid = Boats.bid AND Sailors.sid = Reserves.sid ORDER BY Sailors.name DESC,hard
