sql,hardness
"SELECT MAX(a.Director_ID), a.Is_first_director FROM director_admin AS a WHERE a.Channel_ID > 77 AND Channel_ID NOT IN (SELECT Channel_ID FROM channel WHERE Channel_ID >= 68) GROUP BY a.Is_first_director",extra
"SELECT MIN(b.Director_ID), b.Name FROM director AS b WHERE Director_ID <= (SELECT MAX(Director_ID) FROM director)",extra
"SELECT MIN(m.Director_ID), COUNT(DISTINCT m.Name) FROM director AS m WHERE  m.Director_ID = 58",medium
"SELECT COUNT(DISTINCT Age), Director_ID FROM director WHERE Director_ID BETWEEN 1 AND 10 OR  Director_ID >= 47 LIMIT 8",hard
"SELECT Digital_terrestrial_channel, Internet, Is_first_director FROM channel JOIN director_admin JOIN program JOIN director ON program.Channel_ID = channel.Channel_ID AND channel.Channel_ID = director_admin.Channel_ID AND director.Director_ID = program.Director_ID AND director_admin.Director_ID = director.Director_ID WHERE  director_admin.Director_ID <= 65 GROUP BY Is_first_director",extra
"SELECT Program_ID, COUNT(DISTINCT Director_ID) FROM program WHERE Program_ID != 40 GROUP BY Program_ID;",medium
"SELECT D.Name, D.Name, P.Title FROM program P JOIN director_admin DA ON P.Director_ID = DA.Director_ID JOIN director D ON DA.Director_ID = D.Director_ID;",medium
"SELECT COUNT(DISTINCT Name), MAX(Age) as Age FROM director WHERE Age BETWEEN 1 AND 10 AND Director_ID != 37 GROUP BY Age",hard
"SELECT COUNT(DISTINCT g.Analogue_terrestrial_channel), COUNT(DISTINCT g.Name), g.Channel_ID FROM channel AS g WHERE  g.Channel_ID >= 62",medium
"SELECT COUNT(channel.Channel_ID), AVG(Director_ID), director_admin.Channel_ID, Analogue_terrestrial_channel FROM channel JOIN director_admin ON channel.Channel_ID = director_admin.Channel_ID WHERE channel.Channel_ID = 28 GROUP BY Analogue_terrestrial_channel",hard
"SELECT COUNT(DISTINCT Channel_ID), COUNT(DISTINCT Is_first_director), Channel_ID FROM director_admin GROUP BY Channel_ID",medium
SELECT h.Channel_ID FROM director_admin AS h WHERE h.Channel_ID BETWEEN 1 AND 10 AND  h.Channel_ID = 7 ORDER BY h.Channel_ID ASC,medium
SELECT Name FROM director ORDER BY Name ASC LIMIT 9,medium
"SELECT Channel_ID, Director_ID FROM program WHERE Start_Year BETWEEN 1 AND 10 OR Title IN (SELECT DISTINCT Title FROM program WHERE Start_Year > 10)",extra
"SELECT COUNT(DISTINCT d.Analogue_terrestrial_channel), d.Channel_ID FROM channel AS d WHERE  d.Channel_ID >= 30",medium
"SELECT COUNT(DISTINCT Channel_ID), Is_first_director FROM director_admin WHERE Channel_ID BETWEEN 1 AND 10 ORDER BY Is_first_director DESC",medium
SELECT g.Title FROM program AS g JOIN program AS p ON g.Program_ID = p.Program_ID WHERE g.Program_ID BETWEEN 1 AND 10 AND g.Channel_ID != 77 ORDER BY g.Title DESC,hard
SELECT Program_ID FROM program WHERE Channel_ID BETWEEN 1 AND 10 OR EXISTS (SELECT * FROM director WHERE Director_ID >= 21 AND program.Program_ID = Director_ID),extra
SELECT director_admin.Director_ID FROM director_admin JOIN director ON director_admin.Director_ID = director.Director_ID WHERE  director.Director_ID > 80,medium
SELECT director_admin.Channel_ID FROM director_admin JOIN program JOIN director ON director.Director_ID = program.Director_ID AND director_admin.Director_ID = director.Director_ID WHERE EXISTS (SELECT * FROM program AS i WHERE director.Director_ID = i.Director_ID) ORDER BY director_admin.Channel_ID DESC LIMIT 5,extra
"SELECT AVG(Age), Name FROM director WHERE Age = 89",medium
