query
"{'hash': '3bbe7f2efa103cde85079c7bc3671a2dafa6defe', 'query': 'SELECT COUNT(DISTINCT T2.visitor_ID) , COUNT(DISTINCT T1.Museum_ID) , T1.Num_of_Staff FROM museum AS T1 JOIN visit AS T2 ON T1.Museum_ID = T2.Museum_ID WHERE T2.Num_of_Ticket >= 1 ORDER BY T1.Num_of_Staff DESC', 'template': 'SELECT COUNT(DISTINCT #COLUMN#) , COUNT(DISTINCT #COLUMN#) , #COLUMN# FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# >= #VALUE# ORDER BY #COLUMN# DESC'}"
"{'hash': '71708accd030e74a1aeddaeeb5ea82a234b9b340', 'query': 'SELECT T1.Name, T2.Name FROM museum AS T1 JOIN museum AS T2 ON T1.Museum_ID < T2.Museum_ID LIMIT 10', 'template': 'SELECT #COLUMN#, #COLUMN# FROM #TABLE# AS T1 JOIN #TABLE# AS T2 ON #COLUMN# < #COLUMN# LIMIT #VALUE#'}"
"{'hash': '75739ab4cb09151332d30adb4d871808ff2ff911', 'query': ""SELECT T1.Name, SUM(T3.Num_of_Ticket) FROM museum AS T1 JOIN visit AS T2 ON T1.Museum_ID = T2.Museum_ID JOIN visitor AS T3 ON T2.visitor_ID = T3.ID WHERE T1.Open_Year BETWEEN '2000' AND '2010' OR T3.Age > (SELECT AVG(Age) FROM visitor)"", 'template': 'SELECT #COLUMN#, SUM(#COLUMN#) FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# BETWEEN #VALUE# AND #VALUE# OR #COLUMN# > (SELECT AVG(#COLUMN#) FROM #TABLE#)'}"
"{'hash': 'b077dd3e0ae5647707983cd344eb08dbd82467de', 'query': 'SELECT COUNT(Museum_ID), SUM(Num_of_Staff) FROM museum LIMIT 10', 'template': 'SELECT COUNT(#COLUMN#), SUM(#COLUMN#) FROM #TABLE# LIMIT #VALUE#'}"
"{'hash': '1485a062a001c9e2d4323ddc0f1f22f182d9957f', 'query': ""SELECT T1.Name, MAX(T1.Num_of_Staff) FROM museum AS T1 WHERE T1.Museum_ID = 1 AND T1.Open_Year BETWEEN '1950' AND '1970' AND T1.Name = 'Art Gallery' GROUP BY T1.Name LIMIT 10"", 'template': 'SELECT #COLUMN#, MAX(#COLUMN#) FROM #TABLE# AS T1 WHERE #COLUMN# = #VALUE# AND #COLUMN# BETWEEN #VALUE# AND #VALUE# AND #COLUMN# = #VALUE# GROUP BY #COLUMN# LIMIT #VALUE#'}"
"{'hash': '34ce4aa2a001bfb1b309a91fb4af9fce64ea9399', 'query': 'SELECT MIN(T1.Num_of_Staff) FROM museum AS T1 WHERE T1.Museum_ID IN ( SELECT T2.Museum_ID FROM visit AS T2 GROUP BY T2.Museum_ID HAVING MIN(T2.Num_of_Ticket) = 10 )', 'template': 'SELECT MIN(#COLUMN#) FROM #TABLE# WHERE #COLUMN# IN ( SELECT #COLUMN# FROM #TABLE# GROUP BY #COLUMN# HAVING MIN(#COLUMN#) = #VALUE# )'}"
"{'hash': 'c06df78743435eda2a92f17661c5d5dadc46a90e', 'query': 'SELECT T1.Name, SUM(T2.Num_of_Ticket) FROM museum AS T1 JOIN visit AS T2 ON T1.Museum_ID = T2.Museum_ID WHERE T1.Num_of_Staff < 50 GROUP BY T1.Name LIMIT 10', 'template': 'SELECT #COLUMN#, SUM(#COLUMN#) FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# < #VALUE# GROUP BY #COLUMN# LIMIT #VALUE#'}"
"{'hash': '5005edb15129d56793572755e8f2f62211e142f0', 'query': 'SELECT T1.Name, MIN(T3.Total_spent) FROM museum AS T1 JOIN visit AS T3 ON T1.Museum_ID = T3.Museum_ID GROUP BY T1.Name', 'template': 'SELECT #COLUMN#, MIN(#COLUMN#) FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# GROUP BY #COLUMN#'}"
"{'hash': '7dd696325f378a1b1b47f9367a27fd67c123d91a', 'query': ""SELECT T1.Name, COUNT(T2.Museum_ID) FROM museum AS T1 JOIN visit AS T2 ON T1.Museum_ID = T2.Museum_ID WHERE T1.Open_Year BETWEEN '1990' AND '2000' AND T2.Num_of_Ticket > 5 GROUP BY T1.Name HAVING COUNT(T2.Museum_ID) > 100 ORDER BY COUNT(T2.Museum_ID) DESC"", 'template': ""SELECT #COLUMN#, COUNT(#COLUMN#) FROM #TABLE# AS T1 JOIN #TABLE# AS T2 ON #COLUMN# = #COLUMN# WHERE #COLUMN# BETWEEN '#VALUE#' AND '#VALUE#' AND #COLUMN# > #VALUE# GROUP BY #COLUMN# HAVING COUNT(#COLUMN#) > #VALUE# ORDER BY COUNT(#COLUMN#) DESC""}"
"{'hash': '03e42cd74c077ed0a8e833f7085a4006d177a30f', 'query': 'SELECT T1.Name, T2.Name FROM museum AS T1 JOIN visit AS T2 ON T1.Museum_ID = T2.Museum_ID JOIN visitor AS T3 ON T2.visitor_ID = T3.ID WHERE T1.Num_of_Staff > 50 AND T3.Age > 18', 'template': 'SELECT #COLUMN#, #COLUMN# FROM #TABLE# AS T1 JOIN #TABLE# AS T2 ON #COLUMN# = #COLUMN# JOIN #TABLE# AS T3 ON #COLUMN# = #COLUMN# WHERE #COLUMN# > #VALUE# AND #COLUMN# > #VALUE#'}"
"{'hash': '404b90be82e51e71d66f4115b4d0ade56f2613bb', 'query': 'SELECT T1.Name, SUM(T2.Num_of_Ticket) FROM museum AS T1 JOIN visit AS T2 ON T1.Museum_ID = T2.Museum_ID', 'template': 'SELECT #COLUMN#, SUM(#COLUMN#) FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN#'}"
"{'hash': '14cf3aaedace050c746456e513c3c42278316d35', 'query': 'SELECT T1.Name, MIN(T1.Num_of_Staff) FROM museum AS T1 JOIN museum AS T2 ON T1.Museum_ID = T2.Museum_ID WHERE NOT EXISTS (SELECT 1 FROM visit WHERE visit.Museum_ID = T1.Museum_ID) GROUP BY T1.Name ORDER BY T1.Num_of_Staff DESC', 'template': 'SELECT #COLUMN#, MIN(#COLUMN#) FROM #TABLE# AS T1 JOIN #TABLE# AS T2 ON #COLUMN# = #COLUMN# WHERE NOT EXISTS (SELECT 1 FROM #TABLE# WHERE #COLUMN# = #COLUMN#) GROUP BY #COLUMN# ORDER BY #COLUMN# DESC'}"
"{'hash': 'f3b5c9756da256f24cdfccad71b3cea41cf72068', 'query': 'SELECT T1.Name FROM museum AS T1 JOIN visit AS T2 ON T1.Museum_ID = T2.Museum_ID WHERE T1.Museum_ID IN (SELECT T2.Museum_ID FROM visit AS T2 GROUP BY T2.Museum_ID HAVING SUM(T2.Total_spent) > 10000)', 'template': 'SELECT #COLUMN# FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# IN (SELECT #COLUMN# FROM #TABLE# GROUP BY #COLUMN# HAVING SUM(#COLUMN#) > #VALUE#)'}"
"{'hash': 'a84370ab17ab32e7699091e2959a8afe78a899c8', 'query': 'SELECT COUNT(Museum_ID), SUM(Num_of_Staff), COUNT(Open_Year) FROM museum', 'template': 'SELECT COUNT(#COLUMN#), SUM(#COLUMN#), COUNT(#COLUMN#) FROM #TABLE#'}"
"{'hash': 'd4e72c54758c1867a5c0b99d3fb46baaa8137197', 'query': ""SELECT SUM(Num_of_Staff) FROM museum WHERE Open_Year = '1900'"", 'template': 'SELECT SUM(#COLUMN#) FROM #TABLE# WHERE #COLUMN# = #VALUE#'}"
"{'hash': '96595ba890f3a5b5fd2f1ecfe60466bf45563df8', 'query': 'SELECT T1.Museum_ID, T2.Museum_ID, COUNT(T1.Museum_ID), COUNT(T2.Museum_ID) FROM visit AS T1 JOIN visit AS T2 ON T1.Museum_ID = T2.Museum_ID WHERE T1.Num_of_Ticket BETWEEN T2.Num_of_Ticket - 5 AND T2.Num_of_Ticket + 5 ORDER BY T1.Museum_ID DESC', 'template': 'SELECT #COLUMN#, #COLUMN#, COUNT(#COLUMN#), COUNT(#COLUMN#) FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# BETWEEN #COLUMN# - #VALUE# AND #COLUMN# + #VALUE# ORDER BY #COLUMN# DESC'}"
"{'hash': '40781f71af0befa275d018ad1db91f7fca15db47', 'query': 'SELECT T1.Name, T2.Total_spent FROM museum AS T1 JOIN visit AS T2 ON T1.Museum_ID = T2.Museum_ID WHERE T2.Num_of_Ticket > 10 ORDER BY T2.Total_spent ASC', 'template': 'SELECT #COLUMN#, #COLUMN# FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# > #VALUE# ORDER BY #COLUMN# ASC'}"
"{'hash': '3c36cef3d64ce2676b2fcea017d67ccee89ad4b6', 'query': 'SELECT COUNT(DISTINCT T3.Museum_ID), T2.Num_of_Staff FROM museum AS T1 JOIN visit AS T2 ON T1.Museum_ID = T2.Museum_ID JOIN visitor AS T3 ON T2.visitor_ID = T3.ID WHERE T1.Num_of_Staff != 5 GROUP BY T2.Num_of_Staff', 'template': 'SELECT COUNT(DISTINCT #COLUMN#), #COLUMN# FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# != #VALUE# GROUP BY #COLUMN#'}"
"{'hash': '80e9bc8b6369047bba3e106eb9f7bf931fdc6d36', 'query': ""SELECT COUNT(DISTINCT T2(visitor_ID)), COUNT(T2(visitor_ID)), COUNT(T2(visitor_ID)) FROM museum AS T1 JOIN visit AS T2 ON T1.Museum_ID = T2.Museum_ID WHERE T1.Open_Year = '1990' AND T2.Num_of_Ticket > 2 AND T2.Total_spent BETWEEN 100 AND 200"", 'template': 'SELECT COUNT(DISTINCT #COLUMN#), COUNT(#COLUMN#), COUNT(#COLUMN#) FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# = #VALUE# AND #COLUMN# > #VALUE# AND #COLUMN# BETWEEN #VALUE# AND #VALUE#'}"
"{'hash': 'a9835fda6ade1d26949c5b2147b6570e333138ae', 'query': 'SELECT m.Name, MAX(vi.Num_of_Ticket) FROM museum m JOIN visit vi ON m.Museum_ID = vi.Museum_ID GROUP BY m.Name HAVING vi.Num_of_Ticket BETWEEN 100 AND 200', 'template': 'SELECT #COLUMN#, MAX(#COLUMN#) FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# GROUP BY #COLUMN# HAVING #COLUMN# BETWEEN #VALUE# AND #VALUE#'}"
"{'hash': 'e3cda364903cd28591d4856c3608d2c85249fc43', 'query': 'SELECT Museum_ID FROM museum WHERE EXISTS (SELECT 1 FROM visit WHERE museum.Museum_ID = visit.Museum_ID AND Total_spent > 100 LIMIT 1)', 'template': 'SELECT #COLUMN# FROM #TABLE# WHERE EXISTS (SELECT 1 FROM #TABLE# WHERE #COLUMN# = #COLUMN# AND #COLUMN# > #VALUE# LIMIT 1)'}"
"{'hash': 'a1515a24567e2d7c4a919d418f62720e0c0462bd', 'query': 'SELECT T1.Name, T2.Total_spent FROM museum AS T1 JOIN visit AS T2 ON T1.Museum_ID = T2.Museum_ID JOIN visitor AS T3 ON T2.visitor_ID = T3.ID WHERE T3.Age BETWEEN 20 AND 30 OR T2.Num_of_Ticket = 5 OR EXISTS (SELECT 1 FROM visitor WHERE Level_of_membership > 2) LIMIT 10', 'template': 'SELECT #COLUMN#, #COLUMN# FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# BETWEEN #VALUE# AND #VALUE# OR #COLUMN# = #VALUE# OR EXISTS (SELECT 1 FROM #TABLE# WHERE #COLUMN# > #VALUE#) LIMIT #VALUE#'}"
"{'hash': '6cece752795016b3c06c01156469caf821dc003f', 'query': 'SELECT T1.Name, T2.Total_spent FROM museum AS T1 JOIN visit AS T2 ON T1.Museum_ID = T2.Museum_ID WHERE T1.Open_Year < 2000 ORDER BY T2.Total_spent ASC', 'template': 'SELECT #COLUMN#, #COLUMN# FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# < #VALUE# ORDER BY #COLUMN# ASC'}"
"{'hash': '5ca114e6ff30a7f501abd0f8e4bbc664882dfcd9', 'query': 'SELECT T1.Name FROM (SELECT Name, Museum_ID FROM museum WHERE Museum_ID IN (SELECT Museum_ID FROM visit WHERE visitor_ID IN (SELECT ID FROM visitor WHERE Level_of_membership > 2))) AS T1 ORDER BY T1.Name ASC LIMIT 10', 'template': 'SELECT #COLUMN# FROM (SELECT #COLUMN#, #COLUMN# FROM #TABLE# WHERE #COLUMN# IN (SELECT #COLUMN# FROM #TABLE# WHERE #COLUMN# IN (SELECT #COLUMN# FROM #TABLE# WHERE #COLUMN# > #VALUE#))) AS #TABLE# ORDER BY #COLUMN# ASC LIMIT #VALUE#'}"
