query
"{'hash': '2ab094ca43aaeb165a663bcccf4cd5388697ff40', 'query': 'SELECT COUNT(DISTINCT T1.name), SUM(T1.rating) FROM Sailors AS T1 WHERE T1.age BETWEEN 20 AND 30 AND T1.rating > 5', 'template': 'SELECT COUNT(DISTINCT #COLUMN#), SUM(#COLUMN#) FROM #TABLE# AS T1 WHERE #COLUMN# BETWEEN #VALUE# AND #VALUE# AND #COLUMN# > #VALUE#'}"
"{'hash': 'd746a286c305bc21cd4356906a516767521f2bf5', 'query': ""SELECT * FROM Sailors WHERE NOT EXISTS (SELECT * FROM Reserves AS T1 JOIN Boats AS T2 ON T1.bid = T2.bid WHERE T1.sid = Sailors.sid AND T2.color = 'red')"", 'template': 'SELECT * FROM #TABLE# WHERE NOT EXISTS (SELECT * FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# = #TABLE#.#COLUMN# AND #COLUMN# = #VALUE#)'}"
"{'hash': '46487a45e2222fa2c53ba5b4845bdbc6c3401203', 'query': 'SELECT COUNT(name) FROM Sailors AS S', 'template': 'SELECT COUNT(#COLUMN#) FROM #TABLE# AS '}"
"{'hash': '344faba47c8b9fa1d6d4f3dc99010fd5019dcbc3', 'query': 'SELECT T1.name FROM Sailors AS T1 JOIN Sailors AS T2 ON T1.sid = T2.sid WHERE (T1.rating = 10 OR T2.rating = 8 OR T1.name NOT IN (SELECT name FROM Sailors AS T3 WHERE T3.age > 20))', 'template': 'SELECT #COLUMN# FROM #TABLE# AS T1 JOIN #TABLE# AS T2 ON #COLUMN# = #COLUMN# WHERE (#COLUMN# = #VALUE# OR #COLUMN# = #VALUE# OR #COLUMN# NOT IN (SELECT #COLUMN# FROM #TABLE# AS T3 WHERE #COLUMN# > #VALUE#))'}"
"{'hash': '86ab964a74ee7b6254b9d09b8e53bd88e8ac7937', 'query': 'SELECT COUNT(DISTINCT T1.bid), T2.name FROM Reserves AS T1 JOIN Sailors AS T2 ON T1.sid = T2.sid JOIN Boats AS T3 ON T1.bid = T3.bid WHERE T2.age <= 20 ORDER BY COUNT(DISTINCT T1.bid) DESC LIMIT 1', 'template': 'SELECT COUNT(DISTINCT #COLUMN#), #COLUMN# FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# <= #VALUE# ORDER BY COUNT(DISTINCT #COLUMN#) DESC LIMIT #VALUE#'}"
"{'hash': 'b3b2fca4e253c1212d2bcd644cf0d0f0726fae9c', 'query': 'SELECT MAX(T2.rating) FROM Sailors AS T1 INNER JOIN Reserves AS T2 ON T1.sid = T2.sid WHERE T2.age <= 25', 'template': 'SELECT MAX(#COLUMN#) FROM #TABLE# AS T1 JOIN #TABLE# AS T2 ON #COLUMN# = #COLUMN# WHERE #COLUMN# <= #VALUE#'}"
"{'hash': '453a82f8155d414bc3a0d7406ed3aeb020e8bd83', 'query': ""SELECT COUNT(T1.bid) FROM Boats AS T1 JOIN Reserves AS T2 ON T1.bid = T2.bid WHERE T2.day = 'Monday' LIMIT 10"", 'template': 'SELECT COUNT(#COLUMN#) FROM #TABLE# AS T1 JOIN #TABLE# AS T2 ON #COLUMN# = #COLUMN# WHERE #COLUMN# = #VALUE# LIMIT #VALUE#'}"
"{'hash': '7d266a895eb3cf05d78b239717d376702f8b7d22', 'query': 'SELECT COUNT(DISTINCT T1.name), COUNT(DISTINCT T2.name) FROM Sailors AS T1 JOIN Reserves AS T3 ON T1.sid = T3.sid JOIN Boats AS T2 ON T2.bid = T3.bid WHERE T1.rating = 5 LIMIT 10', 'template': 'SELECT COUNT(DISTINCT #COLUMN#), COUNT(DISTINCT #COLUMN#) FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# = #VALUE# LIMIT #VALUE#'}"
"{'hash': '7d105f86f9e37611d94bf42de09638a1479eeda7', 'query': 'SELECT name FROM Sailors WHERE rating > 5 LIMIT 5', 'template': 'SELECT #COLUMN# FROM #TABLE# WHERE #COLUMN# > #VALUE# LIMIT #VALUE#'}"
"{'hash': '4083c69f83b9bde3beb30c6b0116dd00a950d922', 'query': 'SELECT bid FROM Boats WHERE NOT EXISTS (SELECT 1 FROM Reserves WHERE Reserves.bid = Boats.bid AND Reserves.sid = 22) LIMIT 10', 'template': 'SELECT #COLUMN# FROM #TABLE# WHERE NOT EXISTS (SELECT 1 FROM #TABLE# WHERE #COLUMN# = #COLUMN# AND #COLUMN# = #VALUE#) LIMIT #VALUE#'}"
"{'hash': '0b975cdfc3845ddded8e3152fced28eed1075c7a', 'query': 'SELECT name FROM Sailors WHERE rating BETWEEN 3 AND 5', 'template': 'SELECT #COLUMN# FROM #TABLE# WHERE #COLUMN# BETWEEN #VALUE# AND #VALUE#'}"
