query
"{'hash': '4bbf6f6902b043be64b594c85d8eef1908f7fae8', 'query': 'SELECT Name, SUM(Number_of_Stories) FROM building WHERE Region_ID != 1 LIMIT 10', 'template': 'SELECT #COLUMN#, SUM(#COLUMN#) FROM #TABLE# WHERE #COLUMN# != #VALUE# LIMIT #VALUE#'}"
"{'hash': 'b1f936fc6d37b24367a5586a1aa3ad62ee6e8e15', 'query': 'SELECT T1.Name FROM building AS T1', 'template': 'SELECT #COLUMN# FROM #TABLE# AS #TABLE#'}"
"{'hash': 'be27899473d727a07615035087883fe46636c070', 'query': 'SELECT Region_ID, SUM(Number_of_Stories) FROM building GROUP BY Region_ID HAVING SUM(Number_of_Stories) <= 20 ORDER BY Region_ID ASC', 'template': 'SELECT #COLUMN#, SUM(#COLUMN#) FROM #TABLE# GROUP BY #COLUMN# HAVING SUM(#COLUMN#) <= #VALUE# ORDER BY #COLUMN# ASC'}"
"{'hash': '3bdba1edc35947cb7b0bd5d4f41f14ab8ddcbcaa', 'query': 'SELECT T1.Name, MAX(T2.Number_of_Stories) FROM building AS T1 JOIN building AS T2 ON T1.Building_ID = T2.Building_ID WHERE T1.Completed_Year BETWEEN 1950 AND 2000 GROUP BY T1.Name HAVING COUNT(DISTINCT T2.Region_ID) > 1', 'template': 'SELECT #COLUMN#, MAX(#COLUMN#) FROM #TABLE# AS T1 JOIN #TABLE# AS T2 ON #COLUMN# = #COLUMN# WHERE #COLUMN# BETWEEN #VALUE# AND #VALUE# GROUP BY #COLUMN# HAVING COUNT(DISTINCT #COLUMN#) > #VALUE#'}"
"{'hash': 'b805cf78678291806bf9dfc25392bab8bd3bebb0', 'query': 'SELECT T2.Name, T2.Address FROM Region AS T1 INNER JOIN Building AS T2 ON T1.Region_ID = T2.Region_ID WHERE T1.Area >= 10000 ORDER BY T2.Name DESC', 'template': 'SELECT #COLUMN#, #COLUMN# FROM #TABLE# AS T1 JOIN #TABLE# AS T2 ON T1.#COLUMN# = T2.#COLUMN# WHERE T1.#COLUMN# >= #VALUE# ORDER BY T2.#COLUMN# DESC'}"
"{'hash': 'ac96ee9d494244999577c9eeb441e1b53646da4b', 'query': 'SELECT T1.Name, MIN(T1.Completed_Year) FROM building AS T1 JOIN region AS T2 ON T1.Region_ID = T2.Region_ID JOIN region AS T3 ON T2.Region_ID = T3.Region_ID GROUP BY T1.Name HAVING T1.Completed_Year != 1950 ORDER BY T1.Name DESC', 'template': 'SELECT #COLUMN#, MIN(#COLUMN#) FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# JOIN #TABLE# ON #COLUMN# = #COLUMN# GROUP BY #COLUMN# HAVING #COLUMN# != #VALUE# ORDER BY #COLUMN# DESC'}"
"{'hash': 'd2a1e0289e7731e98e9359b0e5197d4216f3f402', 'query': 'SELECT T2.Name, COUNT(DISTINCT T1.Building_ID) FROM region AS T2 JOIN building AS T1 ON T2.Region_ID = T1.Region_ID JOIN region AS T3 ON T1.Region_ID = T3.Region_ID WHERE T2.Name NOT IN (SELECT Name FROM region WHERE Region_ID < 5) GROUP BY T2.Name HAVING AVG(T1.Completed_Year) > 1950 LIMIT 10', 'template': 'SELECT #COLUMN#, COUNT(DISTINCT #COLUMN#) FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# NOT IN (SELECT #COLUMN# FROM #TABLE# WHERE #COLUMN# < #VALUE#) GROUP BY #COLUMN# HAVING AVG(#COLUMN#) > #VALUE# LIMIT #VALUE#'}"
"{'hash': '65318baab7830ad9de3d32e52fa9be37e42232aa', 'query': 'SELECT COUNT(T1.Number_of_Stories), T2.Name FROM building AS T1 JOIN region AS T2 ON T1.Region_ID = T2.Region_ID GROUP BY T2.Name HAVING COUNT(T1.Number_of_Stories) > 1', 'template': 'SELECT COUNT(#COLUMN#), #COLUMN# FROM #TABLE# AS T1 JOIN #TABLE# AS T2 ON #COLUMN# = #COLUMN# GROUP BY #COLUMN# HAVING COUNT(#COLUMN#) > #VALUE#'}"
"{'hash': 'af96b9a18288100db9e5b3a00cd2e4501794b65a', 'query': 'SELECT T2.Name, T1.Completed_Year FROM building AS T1 JOIN region AS T2 ON T1.Region_ID = T2.Region_ID JOIN region AS T3 ON T2.Region_ID = T3.Region_ID WHERE T1.Completed_Year <= 2000 ORDER BY T1.Completed_Year DESC', 'template': 'SELECT #COLUMN#, #COLUMN# FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# <= #VALUE# ORDER BY #COLUMN# DESC'}"
"{'hash': 'a179d83b317df8a4d0b133a05e7db0ffc54f1895', 'query': ""SELECT * FROM building WHERE Completed_Year <= 2000 AND Address = 'Street 1'"", 'template': 'SELECT #COLUMN# FROM #TABLE# WHERE #COLUMN# <= #VALUE# AND #COLUMN# = #VALUE#'}"
"{'hash': '7fbe757b8a0598f5d9a84f3e09bfbce08ab4655d', 'query': 'SELECT COUNT(DISTINCT Name), COUNT(DISTINCT Address), SUM(Number_of_Stories) FROM building WHERE Completed_Year != 2020 GROUP BY Name ORDER BY Name ASC LIMIT 10', 'template': 'SELECT COUNT(DISTINCT #COLUMN#), COUNT(DISTINCT #COLUMN#), SUM(#COLUMN#) FROM #TABLE# WHERE #COLUMN# != #VALUE# GROUP BY #COLUMN# ORDER BY #COLUMN# ASC LIMIT #VALUE#'}"
