query
"{'hash': 'b0143d1f0ee1ef1d893a213b681a61d5dfae4d9d', 'query': ""SELECT service_type_code FROM Services WHERE service_name != 'Emergency'"", 'template': ""SELECT #COLUMN# FROM #TABLE# WHERE #COLUMN# != '#VALUE#'""}"
"{'hash': '3d61bfb95341c3ffa3d2cef359370034ec837752', 'query': ""SELECT COUNT(T1.form_id), T2.service_name FROM Forms AS T1 JOIN Services AS T2 ON T1.service_id = T2.service_id WHERE T1.form_number > '100' ORDER BY COUNT(T1.form_id) ASC"", 'template': ""SELECT COUNT(#COLUMN#), #COLUMN# FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# > '#VALUE#' ORDER BY COUNT(#COLUMN#) ASC""}"
"{'hash': '3a6fd065a174e9c57a52a81814ba7b488b39cc13', 'query': 'SELECT SUM(T1.service_id) AS sum_service_id, COUNT(DISTINCT T1.service_id) AS count_service_id FROM Services AS T1 JOIN Party_Services AS T2 ON T1.service_id = T2.service_id LIMIT 10', 'template': 'SELECT SUM(#COLUMN#) AS sum_#COLUMN#, COUNT(DISTINCT #COLUMN#) AS count_#COLUMN# FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# LIMIT #VALUE#'}"
"{'hash': '57bd737250a2a396a3e1cfaaebc3cd9748d977fc', 'query': 'SELECT COUNT(DISTINCT Forms.service_id) FROM Forms WHERE Forms.service_id >= 1', 'template': 'SELECT COUNT(DISTINCT #COLUMN#) FROM #TABLE# WHERE #COLUMN# >= #VALUE#'}"
"{'hash': 'b0a4f59bf9d2af965735dd1b825f88c3aad38d6a', 'query': ""SELECT T1.individual_first_name FROM Individuals AS T1 WHERE T1.individual_id IN (SELECT T2.individual_id FROM Organization_Contact_Individuals AS T2 WHERE T2.organization_id = 5) AND T1.individual_last_name = 'Smith'"", 'template': 'SELECT #COLUMN# FROM #TABLE# AS #TABLE# WHERE #COLUMN# IN (SELECT #COLUMN# FROM #TABLE# AS #TABLE# WHERE #COLUMN# = #VALUE#) AND #COLUMN# = #VALUE#'}"
"{'hash': '2637126da18e09b0d58bbf4c1d473c1945feee15', 'query': ""SELECT T1.service_name FROM Services AS T1 JOIN Party_Services AS T2 ON T1.service_id = T2.service_id WHERE NOT EXISTS (SELECT T3.party_id FROM Parties AS T3 JOIN Party_Services AS T4 ON T3.party_id = T4.customer_id WHERE T4.service_id = T1.service_id AND T3.party_phone = '1234567890')"", 'template': 'SELECT #COLUMN# FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE NOT EXISTS (SELECT #COLUMN# FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# = #COLUMN# AND #COLUMN# = #VALUE#)'}"
"{'hash': 'e93a78192997f8b6a44c252db6ed5697c492596b', 'query': 'SELECT T1.service_name, MAX(T2.form_number) FROM Services AS T1 JOIN Forms AS T2 ON T1.service_id = T2.service_id WHERE T1.service_id NOT IN (SELECT T3.service_id FROM Services AS T3 JOIN Party_Services AS T4 ON T3.service_id = T4.service_id) GROUP BY T1.service_id LIMIT 10', 'template': 'SELECT #COLUMN#, MAX(#COLUMN#) FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# NOT IN (SELECT #COLUMN# FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN#) GROUP BY #COLUMN# LIMIT #VALUE#'}"
"{'hash': '9b5ed4e2cb7faeb2f93b791b99cb73281d8adb84', 'query': 'SELECT AVG(T1.service_id) FROM Services AS T1 WHERE T1.service_id != 1', 'template': 'SELECT AVG(#COLUMN#) FROM #TABLE# WHERE #COLUMN# != #VALUE#'}"
"{'hash': 'aa653277e03d7cab56328b26f3f1274a687e64fa', 'query': ""SELECT T1.service_name FROM Services AS T1 WHERE T1.service_descriptio BETWEEN 'a' AND 'b' OR T1.service_descriptio NOT IN (SELECT T2.service_descriptio FROM Services AS T2) OR T1.service_id IN (SELECT T3.service_id FROM Party_Services AS T3) ORDER BY T1.service_id ASC LIMIT 10"", 'template': ""SELECT #COLUMN# FROM #TABLE# AS #TABLE# WHERE #COLUMN# BETWEEN '#VALUE#' AND '#VALUE#' OR #COLUMN# NOT IN (SELECT #COLUMN# FROM #TABLE# AS #TABLE#) OR #COLUMN# IN (SELECT #COLUMN# FROM #TABLE# AS #TABLE#) ORDER BY #COLUMN# ASC LIMIT #VALUE#""}"
"{'hash': 'b96ce6efec660b70536487fd9782f65f0e3df277', 'query': ""SELECT T1.organization_name FROM Organizations AS T1 JOIN Organization_Contact_Individuals AS T2 ON T1.organization_id = T2.organization_id WHERE T2.date_contact_from > '2020-01-01' ORDER BY T1.organization_name DESC LIMIT 10"", 'template': 'SELECT #COLUMN# FROM #TABLE# AS T1 JOIN #TABLE# AS T2 ON #COLUMN# = #COLUMN# WHERE #COLUMN# > #VALUE# ORDER BY #COLUMN# DESC LIMIT #VALUE#'}"
"{'hash': '2dbbb6c98695c25dca025e04ce4e851b58fc71ad', 'query': 'SELECT COUNT(DISTINCT T1.form_id) FROM Party_Forms AS T1', 'template': 'SELECT COUNT(DISTINCT #COLUMN#) FROM #TABLE#'}"
