query
"{'hash': 'e1634c509070b949201289e84296927df6af38ab', 'query': ""SELECT T1.Device, AVG(T3.Quantity) FROM device AS T1 JOIN stock AS T3 ON T1.Device_ID = T3.Device_ID WHERE T3.Shop_ID = (SELECT Shop_ID FROM shop WHERE Shop_Name = 'XYZ') AND T3.Quantity > 100 ORDER BY T3.Quantity DESC"", 'template': 'SELECT #COLUMN#, AVG(#COLUMN#) FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# = (SELECT #COLUMN# FROM #TABLE# WHERE #COLUMN# = #VALUE#) AND #COLUMN# > #VALUE# ORDER BY #COLUMN# DESC'}"
"{'hash': 'c92df25fad8cc0d5ec428303d68ca6d69e551fdd', 'query': ""SELECT T1.Device, T2.Quantity FROM device AS T1 JOIN stock AS T2 ON T1.Device_ID = T2.Device_ID WHERE T1.Device = 'iPhone' OR T2.Quantity > (SELECT AVG(Quantity) FROM stock)"", 'template': 'SELECT #COLUMN#, #COLUMN# FROM #TABLE# AS T1 JOIN #TABLE# AS T2 ON #COLUMN# = #COLUMN# WHERE #COLUMN# = #VALUE# OR #COLUMN# > (SELECT AVG(#COLUMN#) FROM #TABLE#)'}"
"{'hash': '685bc6ece52678bcbcc5bb6a0a4bcc613649addf', 'query': ""SELECT Device FROM device WHERE Carrier = 'AT&T' AND Applications = 'Facebook' ORDER BY Device_ID DESC"", 'template': ""SELECT #COLUMN# FROM #TABLE# WHERE #COLUMN# = '#VALUE#' AND #COLUMN# = '#VALUE#' ORDER BY #COLUMN# DESC""}"
"{'hash': '49d7dfcd51b4f09591bb30cf6c0da65205d2e692', 'query': 'SELECT MAX(T1.Quantity), T1.Device FROM stock AS T1 JOIN device AS T2 ON T1.Device_ID = T2.Device_ID WHERE T2.Device <= 10 LIMIT 5', 'template': 'SELECT MAX(#COLUMN#), #COLUMN# FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# <= #VALUE# LIMIT #VALUE#'}"
"{'hash': 'e79d592a8ba71a884f90736869cf52bf0ca0e185', 'query': ""SELECT T1.Shop_Name, T2.Device FROM shop AS T1 JOIN stock AS T2 ON T1.Shop_ID = T2.Shop_ID JOIN device AS T3 ON T2.Device_ID = T3.Device_ID WHERE T1.Open_Date = '2020-01-01' ORDER BY T1.Shop_Name ASC LIMIT 10"", 'template': 'SELECT #COLUMN#, #COLUMN# FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# = #VALUE# ORDER BY #COLUMN# ASC LIMIT #VALUE#'}"
"{'hash': '70b6a2bfd32aaeabdc089e7c5c45daa80ce2fba1', 'query': 'SELECT s.Shop_Name, d.Device FROM shop AS s JOIN stock AS st ON s.Shop_ID = st.Shop_ID JOIN device AS d ON st.Device_ID = d.Device_ID WHERE st.Quantity <= 10 ORDER BY d.Device DESC LIMIT 5', 'template': 'SELECT #COLUMN#, #COLUMN# FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# <= #VALUE# ORDER BY #COLUMN# DESC LIMIT #VALUE#'}"
"{'hash': '82864d783a308712665558c7cac68daf7f315227', 'query': 'SELECT T1.Device, COUNT(DISTINCT T2.Shop_ID) FROM device AS T1 JOIN stock AS T2 ON T1.Device_ID = T2.Device_ID WHERE T2.Quantity >= 10 GROUP BY T1.Device ORDER BY COUNT(DISTINCT T2.Shop_ID) DESC', 'template': 'SELECT #COLUMN#, COUNT(DISTINCT #COLUMN#) FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# >= #VALUE# GROUP BY #COLUMN# ORDER BY COUNT(DISTINCT #COLUMN#) DESC'}"
"{'hash': 'ab361cee91b3e4fb8005641632a74d3026fdcab4', 'query': ""SELECT Device FROM device WHERE Device_ID IN (SELECT Device_ID FROM stock WHERE Quantity BETWEEN 10 AND 50) AND Carrier = 'Carrier1' LIMIT 10"", 'template': ""SELECT #COLUMN# FROM #TABLE# WHERE #COLUMN# IN (SELECT #COLUMN# FROM #TABLE# WHERE #COLUMN# BETWEEN #VALUE# AND #VALUE#) AND #COLUMN# = '#VALUE#' LIMIT #VALUE#""}"
"{'hash': '8dedcfadc4ae195d26bb852c2ae0a199280f6d14', 'query': 'SELECT Device_ID, COUNT(Device) FROM device GROUP BY Device_ID ORDER BY Device_ID ASC', 'template': 'SELECT #COLUMN#, COUNT(#COLUMN#) FROM #TABLE# GROUP BY #COLUMN# ORDER BY #COLUMN# ASC'}"
"{'hash': '1fe047070d65f8a6f94886db1e13d9d8cc934aba', 'query': 'SELECT MIN(T1.Device_ID), SUM(T2.Quantity) FROM device AS T1 JOIN stock AS T2 ON T1.Device_ID = T2.Device_ID WHERE T1.Package_Version <= 3 ORDER BY T1.Device_ID DESC', 'template': 'SELECT MIN(#COLUMN#), SUM(#COLUMN#) FROM #TABLE# AS T1 JOIN #TABLE# AS T2 ON #COLUMN# = #COLUMN# WHERE #COLUMN# <= #VALUE# ORDER BY #COLUMN# DESC'}"
