query
"{'hash': '2a50b333bdf4186dfbe27287b93e023d867e4188', 'query': 'SELECT AVG(T1.length), AVG(T2.length) FROM film AS T1 JOIN film AS T2 ON T1.film_id = T2.film_id WHERE T1.length > 50 GROUP BY T1.film_id ORDER BY T1.length DESC', 'template': 'SELECT AVG(#COLUMN#), AVG(#COLUMN#) FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# > #VALUE# GROUP BY #COLUMN# ORDER BY #COLUMN# DESC'}"
"{'hash': '56a70453a2475ae1ec9d90b9145883f32491b9fe', 'query': ""SELECT T1.first_name, T1.last_name FROM actor AS T1 WHERE T1.first_name = 'John' AND T1.last_name = 'Doe' AND NOT EXISTS (SELECT 1 FROM film_actor AS T2 WHERE T2.actor_id = T1.actor_id AND T2.film_id = 1) ORDER BY T1.first_name DESC"", 'template': ""SELECT #COLUMN#, #COLUMN# FROM #TABLE# AS T1 WHERE T1.#COLUMN# = '#VALUE#' AND T1.#COLUMN# = '#VALUE#' AND NOT EXISTS (SELECT 1 FROM #TABLE# AS T2 WHERE T2.#COLUMN# = T1.#COLUMN# AND T2.#COLUMN# = #VALUE#) ORDER BY T1.#COLUMN# DESC""}"
"{'hash': '55628b68658795c604e2d86b14b60f17f5ce21a8', 'query': ""SELECT COUNT(DISTINCT T1.title) FROM film AS T1 JOIN inventory AS T2 ON T1.film_id = T2.film_id JOIN rental AS T3 ON T2.inventory_id = T3.inventory_id WHERE T3.return_date != '2006-01-01'"", 'template': 'SELECT COUNT(DISTINCT #COLUMN#) FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# != #VALUE# LIMIT #VALUE#'}"
"{'hash': 'deb68b22425e60e0ecb6fdf41ddae91c9fb93f4d', 'query': ""SELECT COUNT(DISTINCT T1.first_name) FROM actor AS T1 WHERE T1.actor_id IN (SELECT T2.actor_id FROM film_actor AS T2 WHERE T2.film_id = 1) AND T1.last_name = 'GUINESS' ORDER BY T1.first_name ASC"", 'template': 'SELECT COUNT(DISTINCT #COLUMN#) FROM #TABLE# AS T1 WHERE T1.#COLUMN# IN (SELECT T2.#COLUMN# FROM #TABLE# AS T2 WHERE T2.#COLUMN# = #VALUE#) AND T1.#COLUMN# = #VALUE# ORDER BY T1.#COLUMN# ASC'}"
"{'hash': '7b3627558c8c0712f178dca70f06ee70468c9153', 'query': ""SELECT T1.first_name FROM staff AS T1 JOIN address AS T2 ON T1.address_id = T2.address_id WHERE T1.first_name != 'John'"", 'template': 'SELECT #COLUMN# FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# != #VALUE#'}"
"{'hash': 'fa49a6c530a2a81239aa6e6e449fd1f79859f40d', 'query': 'SELECT a.first_name, COUNT(*) FROM actor AS a JOIN film_actor AS fa ON a.actor_id = fa.actor_id WHERE a.actor_id NOT IN (SELECT actor_id FROM film_actor WHERE film_id = 1) GROUP BY a.first_name ORDER BY COUNT(*) DESC', 'template': 'SELECT #COLUMN#, COUNT(*) FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# NOT IN (SELECT #COLUMN# FROM #TABLE# WHERE #COLUMN# = #VALUE#) GROUP BY #COLUMN# ORDER BY COUNT(*) DESC'}"
"{'hash': '4eb8c7182fa9a66d50438a9c42b5bf6926304c02', 'query': 'SELECT COUNT(DISTINCT T1.customer_id), COUNT(T2.rental_id) FROM customer AS T1 JOIN rental AS T2 ON T1.customer_id = T2.customer_id WHERE T1.store_id != 1', 'template': 'SELECT COUNT(DISTINCT #COLUMN#), COUNT(#COLUMN#) FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# != #VALUE#'}"
"{'hash': 'd45fda4e063dbe1f9a785792d0ec1ab1d23d1b28', 'query': 'SELECT COUNT(T1.film_id) FROM film AS T1 JOIN inventory AS T2 ON T1.film_id = T2.film_id WHERE T2.store_id = 1 LIMIT 1', 'template': 'SELECT COUNT(#COLUMN#) FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# = #VALUE# LIMIT 1'}"
"{'hash': 'eef075eed93609c2cabb4565685f7a76cd239302', 'query': 'SELECT COUNT(DISTINCT T1.store_id), COUNT(T2.inventory_id) FROM store AS T1 JOIN inventory AS T2 ON T1.store_id = T2.store_id', 'template': 'SELECT COUNT(DISTINCT #COLUMN#), COUNT(#COLUMN#) FROM #TABLE# AS T1 JOIN #TABLE# AS T2 ON T1.#COLUMN# = T2.#COLUMN#'}"
"{'hash': '2f7127fcd3ec01db95cb247bcb6f7596a507a242', 'query': 'SELECT film_id, SUM(length) FROM film WHERE film_id IN ( SELECT film_id FROM inventory WHERE store_id = 1 ) GROUP BY film_id HAVING SUM(length) > 100', 'template': 'SELECT #COLUMN#, SUM(#COLUMN#) FROM #TABLE# WHERE #COLUMN# IN ( SELECT #COLUMN# FROM #TABLE# WHERE #COLUMN# = #VALUE# ) GROUP BY #COLUMN# HAVING SUM(#COLUMN#) > #VALUE#'}"
