query
"{'hash': 'a449453b3f738ef5fb557a4e42771045112f484c', 'query': 'SELECT COUNT(Event_ID) , COUNT(Date), COUNT(Venue) FROM event WHERE Event_Attendance <= 10000', 'template': 'SELECT COUNT(#COLUMN#), COUNT(#COLUMN#), COUNT(#COLUMN#) FROM #TABLE# WHERE #COLUMN# <= #VALUE#'}"
"{'hash': 'd111c105d0174c401d53bdff18ba9ae114b42a4e', 'query': 'SELECT T1.Name AS News, T1.Event_Attendance AS Attendance FROM event AS T1 ORDER BY T1.Event_Attendance DESC', 'template': 'SELECT #COLUMN# AS #COLUMN#, #COLUMN# AS #COLUMN# FROM #TABLE# AS #TABLE# ORDER BY #COLUMN# DESC'}"
"{'hash': 'a091345ad43f2d3f30715fcbffb7061f86c00199', 'query': 'SELECT T1.Name, SUM(T1.Event_Attendance), COUNT(T2.journalist_ID) FROM event AS T1 JOIN news_report AS T2 ON T1.Event_ID = T2.Event_ID WHERE T1.Event_Attendance < 10000 ORDER BY SUM(T1.Event_Attendance) DESC', 'template': 'SELECT #COLUMN#, SUM(#COLUMN#), COUNT(#COLUMN#) FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# < #VALUE# ORDER BY SUM(#COLUMN#) DESC'}"
"{'hash': '2e047236efa00c8fd09aa9f8702c03288ac88ae0', 'query': 'SELECT T1.Event_ID, T1.Name FROM event AS T1 WHERE T1.Event_Attendance > (SELECT AVG(Event_Attendance) FROM event)', 'template': 'SELECT #COLUMN#, #COLUMN# FROM #TABLE# AS T1 WHERE #COLUMN# > (SELECT AVG(#COLUMN#) FROM #TABLE#)'}"
"{'hash': '64fd8b737f05e22d025c731a22bd4eedc0e7836c', 'query': ""SELECT COUNT(DISTINCT Venue) FROM event WHERE Date != '2020-01-01' ORDER BY Event_ID DESC"", 'template': ""SELECT COUNT(DISTINCT #COLUMN#) FROM #TABLE# WHERE #COLUMN# != '#VALUE#' ORDER BY #COLUMN# DESC""}"
"{'hash': '84413cc8d034cab1ec60020ff93f1bd166f5130a', 'query': ""SELECT T1.Name, T2.Name, T3.Venue FROM journalist AS T1 JOIN news_report AS T2 ON T1.journalist_ID = T2.journalist_ID JOIN event AS T3 ON T2.Event_ID = T3.Event_ID WHERE T1.Age BETWEEN 25 AND 50 AND T3.Date = '2020-01-01' AND T2.Work_Type IN (SELECT Work_Type FROM news_report WHERE journalist_ID = 1) ORDER BY T3.Event_Attendance DESC"", 'template': 'SELECT #COLUMN#, #COLUMN#, #COLUMN# FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# BETWEEN #VALUE# AND #VALUE# AND #COLUMN# = #VALUE# AND #COLUMN# IN (SELECT #COLUMN# FROM #TABLE# WHERE #COLUMN# = #VALUE#) ORDER BY #COLUMN# DESC'}"
"{'hash': 'b58634f33c67a3474eb0bed5db9c64ebb5c63853', 'query': 'SELECT T1.Venue, MIN(T1.Event_Attendance) FROM event AS T1 JOIN news_report AS T2 ON T1.Event_ID = T2.Event_ID JOIN journalist AS T3 ON T2.journalist_ID = T3.journalist_ID WHERE T3.Age <= 30 GROUP BY T1.Venue ORDER BY T1.Venue ASC LIMIT 10', 'template': 'SELECT #COLUMN#, MIN(#COLUMN#) FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# <= #VALUE# GROUP BY #COLUMN# ORDER BY #COLUMN# ASC LIMIT #VALUE#'}"
"{'hash': '053e814ad71f955ecfb35772ea69340b38204ccc', 'query': ""SELECT COUNT(DISTINCT T1.journalist_ID), COUNT(T1.Event_ID) FROM news_report AS T1 JOIN event AS T2 ON T1.Event_ID = T2.Event_ID WHERE T1.Work_Type != 'Photographer' LIMIT 10"", 'template': 'SELECT COUNT(DISTINCT #COLUMN#), COUNT(#COLUMN#) FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE #COLUMN# != #VALUE# LIMIT #VALUE#'}"
"{'hash': 'bc077a7581b5354aa4ac435b891cfc278b980e31', 'query': ""SELECT COUNT(T1.Date), T1.Name FROM event AS T1 WHERE T1.Venue = 'London' OR T1.Event_Attendance > 5000 OR EXISTS (SELECT * FROM news_report WHERE T1.Event_ID = news_report.Event_ID)"", 'template': 'SELECT COUNT(#COLUMN#), #COLUMN# FROM #TABLE# AS #TABLE# WHERE #COLUMN# = #VALUE# OR #COLUMN# > #VALUE# OR EXISTS (SELECT * FROM #TABLE# WHERE #COLUMN# = #TABLE#.Event_ID)'}"
"{'hash': 'a29d13332a85bd5c3d5215d610c774446afef299', 'query': 'SELECT T1.Name, T1.Venue FROM event AS T1 WHERE T1.Event_Attendance != 10000 ORDER BY T1.Date ASC', 'template': 'SELECT #COLUMN#, #COLUMN# FROM #TABLE# AS  WHERE #COLUMN# != #VALUE# ORDER BY #COLUMN# ASC'}"
"{'hash': '395a1153072de6a38992025c7d813cf516f2531b', 'query': ""SELECT T3.Name, COUNT(DISTINCT T1.journalist_ID) FROM news_report AS T1 JOIN journalist AS T2 ON T1.journalist_ID = T2.journalist_ID JOIN event AS T3 ON T1.Event_ID = T3.Event_ID WHERE EXISTS (SELECT 1 FROM news_report AS T4 WHERE T4.Event_ID = T1.Event_ID AND T4.Work_Type = 'TV') GROUP BY T3.Name HAVING AVG(T3.Event_Attendance) > 10000"", 'template': 'SELECT #COLUMN#, COUNT(DISTINCT #COLUMN#) FROM #TABLE# JOIN #TABLE# ON #COLUMN# = #COLUMN# JOIN #TABLE# ON #COLUMN# = #COLUMN# WHERE EXISTS (SELECT 1 FROM #TABLE# WHERE #COLUMN# = #COLUMN# AND #COLUMN# = #VALUE#) GROUP BY #COLUMN# HAVING AVG(#COLUMN#) > #VALUE#'}"
"{'hash': 'c62c091fb0f8a91ee936a0fef0475271dd759281', 'query': 'SELECT T1.Name FROM event AS T1 GROUP BY T1.Name HAVING MAX(T1.Event_Attendance) ORDER BY T1.Event_Attendance DESC', 'template': 'SELECT #COLUMN# FROM #TABLE# AS T1 GROUP BY #COLUMN# HAVING MAX(#COLUMN#) ORDER BY #COLUMN# DESC'}"
