query,question,iter,flag
SELECT lesson_status_code FROM Lessons WHERE staff_id BETWEEN 1 AND 10 OR  customer_id >= 35 ORDER BY lesson_status_code ASC,"What are the lesson status codes for lessons taught by staff with IDs between 1 and 10 or given to customers with IDs 35 or higher, listed in ascending order?",2,True
"SELECT SUM(c.amount_outstanding), COUNT(DISTINCT c.phone_number), c.customer_address_id FROM Customers AS c WHERE c.amount_outstanding BETWEEN 1 AND 10 GROUP BY c.customer_address_id ORDER BY c.customer_address_id ASC LIMIT 3","What is the total amount outstanding, number of unique phone numbers, and customer address ID for customers with an amount outstanding between 1 and 10, grouped by customer address ID and ordered by customer address ID in ascending order, starting from the 4th row and returning 3 rows?",5,True
SELECT city FROM Addresses WHERE  address_id = 53 ORDER BY city ASC,What is the city of the address with id 53 in alphabetical order?,2,True
"SELECT COUNT(DISTINCT lesson_time), vehicle_id FROM Lessons WHERE staff_id BETWEEN 1 AND 10 AND  lesson_id != 89 GROUP BY vehicle_id LIMIT 7","What is the count of distinct lesson times for each vehicle ID for staff IDs between 1 and 10 excluding lesson ID 89, showing results from the 8th to the 14th?",4,True
"SELECT customer_address_id, amount_outstanding FROM Addresses JOIN Customers JOIN Lessons ON Customers.customer_address_id = Addresses.address_id AND Customers.customer_id = Lessons.customer_id WHERE line_1_number_building > (SELECT MIN(line_1_number_building) FROM Addresses WHERE address_id BETWEEN 1 AND 10 AND  address_id <= 52 LIMIT 9) LIMIT 8",What are the customer address ids and the amount outstanding for the 9th to 16th customers with an address having a line 1 number building greater than the smallest line 1 number building of the first 10 addresses with an address id between 1 and 52?,6,False
SELECT vehicle_details FROM Vehicles WHERE vehicle_id BETWEEN 1 AND 10 AND vehicle_id <= (SELECT AVG(vehicle_id) FROM Lessons WHERE vehicle_id >= 71) ORDER BY vehicle_details DESC;,"What are the vehicle details of vehicles with ids between 1 and 10 and less than or equal to the average vehicle id of lessons with vehicle id 71 or more, listed in descending order of vehicle details?",4,True
SELECT e.last_name FROM Staff AS e ORDER BY e.last_name ASC LIMIT 6,What are the next 6 staff members' last names in alphabetical order after the first 6?,6,False
"SELECT s.last_name, s.date_left_staff FROM Addresses AS a JOIN Customers AS c ON c.customer_address_id = a.address_id JOIN Staff AS s ON s.staff_address_id = a.address_id WHERE c.date_became_customer < (SELECT AVG(date_became_customer) FROM Customers) GROUP BY s.date_left_staff, s.last_name HAVING COUNT(c.amount_outstanding) < 39",What are the names and dates of leaving of the staff members who have worked with less than 39 customers who became customers earlier than the average customer?,6,False
"SELECT SUM(Staff.staff_address_id), Addresses.zip_postcode FROM Addresses JOIN Staff ON Staff.staff_address_id = Addresses.address_id WHERE  Addresses.address_id >= 17 OR Addresses.zip_postcode >= (SELECT Addresses.zip_postcode FROM Addresses WHERE  Addresses.address_id = 29) ORDER BY Addresses.zip_postcode ASC","What is the sum of staff address ids for addresses with an id greater than or equal to 17 or a zip postcode greater than or equal to that of address id 29, ordered by zip postcode in ascending order?",6,False
SELECT COUNT(DISTINCT Lessons.staff_id) FROM Staff JOIN Lessons ON Lessons.staff_id = Staff.staff_id WHERE customer_id BETWEEN 1 AND 10 AND first_name IN (SELECT first_name FROM Customers WHERE  customer_id != 69 LIMIT 9),How many distinct staff members are teaching customers with IDs between 1 and 10 and whose first names are among the first 9 names of customers other than customer 69?,6,False
