query,question,iter,flag
"SELECT COUNT(DISTINCT fname), birthYear FROM Artists WHERE artistID BETWEEN 1 AND 10 AND  deathYear >= 58 GROUP BY birthYear","What is the number of distinct first names of artists born in each birth year, among artists with IDs between 1 and 10 who died in 1958 or later?",2,True
SELECT deathYear FROM Artists JOIN Paintings ON Artists.artistID = Paintings.painterID WHERE Artists.artistID = 20 ORDER BY deathYear ASC,"What are the death years of the artist with id 20, listed in ascending order?",2,True
"SELECT fname, lname FROM Artists WHERE artistID BETWEEN 1 AND 10 AND deathYear < 1969 GROUP BY lname, fname",What are the names of artists who died before 1969 and whose artist ID is between 1 and 10?,2,True
"SELECT deathYear, fname FROM Artists WHERE birthYear BETWEEN 1 AND 10 GROUP BY deathYear ORDER BY fname ASC","What are the death years and first names of artists born between 1 and 10, grouped by death year and sorted by first name in ascending order?",6,False
"SELECT P.painterID, P.title, P.mediumOn FROM Artists AS A JOIN Paintings AS P ON A.artistID = P.painterID WHERE A.artistID < 16 ORDER BY P.painterID ASC LIMIT 9","What are the titles and mediums on of the paintings by artists with IDs less than 16, listed in ascending order by artist ID, starting from the 10th result?",6,False
"SELECT sculptorID, year FROM Sculptures WHERE EXISTS (SELECT * FROM Artists WHERE  deathYear >= 23 AND Sculptures.sculptorID = Artists.artistID) GROUP BY year, sculptorID HAVING MAX(sculptorID) = 39 ORDER BY year DESC","What are the years when the sculptor with ID 39 created sculptures and the sculptor's death year is greater than or equal to 23, listed in descending order?",2,True
"SELECT fname, deathYear FROM Artists WHERE birthYear BETWEEN 1 AND 10 OR artistID < 14 GROUP BY fname, deathYear ORDER BY fname ASC LIMIT 7","What are the first names and death years of the 8th to 14th artists in alphabetical order by first name, who were either born between 1 and 10 or have an artist ID less than 14?",4,True
SELECT COUNT(DISTINCT f.lname) FROM Artists AS f WHERE birthYear IN (SELECT birthYear FROM Artists AS i WHERE  i.deathYear <= 77 LIMIT 4),How many unique last names of artists are there whose birth year is among the first four birth years of artists who died at 77 years old or less?,6,False
"SELECT AVG(sculptorID), title FROM Sculptures GROUP BY title HAVING MIN(sculptorID) > 4",What are the average sculptor IDs and the corresponding titles of sculptures created by sculptors with IDs greater than 4?,2,True
"SELECT MIN(deathYear), artistID FROM Artists JOIN Sculptures ON Sculptures.sculptorID = Artists.artistID WHERE Sculptures.sculptureID = 58",What is the minimum death year of the artist who created sculpture with id 58?,2,True
SELECT deathYear FROM Artists WHERE artistID > 12 OR lname IN (SELECT lname FROM Artists WHERE deathYear >= 1937),What are the death years of artists who were born after the artist with ID 12 or died in 1937 or later?,6,False
"SELECT paintingID, title FROM Paintings WHERE  height_mm < 72",What are the titles and IDs of paintings that are less than 72 mm high?,3,True
SELECT title FROM Paintings WHERE year >= 1900 ORDER BY year ASC;,"What are the titles of the paintings created from 1900 onwards, listed in chronological order?",2,True
"SELECT COUNT(paintingID), width_mm, location FROM Paintings WHERE paintingID <= 84 OR year = (SELECT AVG(year) FROM Sculptures) GROUP BY location, width_mm HAVING COUNT(paintingID) < 84 ORDER BY location DESC","For each location and width of paintings that are either earlier than or as old as the average year of sculptures, how many of them are less than 84 in number, listed in descending order of location?",6,False
"SELECT fname, deathYear FROM Artists WHERE  artistID > 7 GROUP BY deathYear HAVING MAX(artistID) <= 98",What are the first names of the artists who died in a year where the artist with the highest id who died that year is less than or equal to 98?,6,False
"SELECT COUNT(v.paintingID), v.year, v.painterID FROM Paintings AS v GROUP BY v.painterID, v.year ORDER BY v.year ASC","How many paintings did each painter create in each year, listed in ascending order by year?",6,False
SELECT o.location FROM Paintings AS o WHERE  o.height_mm < 46 AND mediumOn = (SELECT MIN(mediumOn) FROM Paintings),What is the location of the painting with the smallest 'medium on' and a height less than 46 mm?,6,False
"SELECT COUNT(sculptureID), sculptureID, lname FROM Artists JOIN Sculptures ON Artists.artistID = Sculptures.sculptorID WHERE sculptureID < 32 GROUP BY lname LIMIT 7","What are the last names of the sculptors and the number of sculptures they created, for sculptors with sculpture IDs less than 32, listed from the 8th to the 14th in the list?",6,False
SELECT medium FROM Paintings,What are the different mediums used in the paintings?,6,False
"SELECT medium, title FROM Paintings WHERE width_mm > 48 GROUP BY title, medium HAVING COUNT(height_mm) >= 79;",What are the titles and mediums of paintings that have a width of over 48 mm and have at least 79 recorded heights?,6,False
SELECT T1.artistID FROM Artists AS T1 JOIN Sculptures AS T2 ON T2.sculptorID = T1.artistID JOIN Paintings AS T3 ON T3.painterID = T1.artistID LIMIT 5,"What are the IDs of artists who are both sculptors and painters, listed after the first 5?",6,False
"SELECT T1.deathYear, T1.lname FROM Artists AS T1 LEFT JOIN Paintings AS T2 ON T1.artistID = T2.painterID LEFT JOIN Sculptures AS T3 ON T1.artistID = T3.sculptorID WHERE T1.deathYear <= 100 GROUP BY T1.lname, T1.deathYear, T1.artistID HAVING MIN(T1.birthYear) <= 41 LIMIT 4","What are the last names and death years of the four oldest artists, considering only those who died at or before 100 years old, ordered by birth year, skipping the first 4 results?",6,False
"SELECT A.artistID, A.birthYear FROM Artists A WHERE A.birthYear BETWEEN 1 AND 10 OR EXISTS (SELECT 1 FROM Sculptures S WHERE S.sculptureID BETWEEN 1 AND 10 AND S.sculptorID = A.artistID) GROUP BY A.artistID, A.birthYear HAVING MIN(A.deathYear) <= 98 ORDER BY A.artistID DESC LIMIT 6","What are the IDs and birth years of the 7th to 12th artists with the highest IDs, who were either born between 1 and 10 or have sculpted a sculpture with an ID between 1 and 10, and who died before 98, grouped by artist ID and birth year?",3,True
"SELECT COUNT(sculptorID), MIN(year), location FROM Sculptures WHERE year != 59 OR title NOT IN (SELECT title FROM Paintings WHERE painterID = 9)","How many sculptors, the minimum year of their work, and the location can be found for sculptures created in a year not equal to 59 or with a title not matching any paintings by painterID 9?",5,True
"SELECT COUNT(DISTINCT r.location), r.year FROM Paintings AS r JOIN Artists AS i ON r.painterID = i.artistID WHERE i.birthYear >= 80 GROUP BY r.year HAVING MIN(r.painterID) <= 86 ORDER BY r.year ASC","For each year, how many distinct locations are there for paintings by artists born in or after 1980, where the lowest painter ID for each year is 86 or less, listed in ascending order by year?",6,False
"SELECT COUNT(DISTINCT A.lname), A.artistID, S.title FROM Artists A JOIN Sculptures S ON A.artistID = S.sculptorID WHERE A.birthYear <= 34 AND EXISTS (SELECT * FROM Sculptures S2 WHERE S2.sculptorID <= 80 AND A.artistID = S2.sculptorID) LIMIT 4","What are the distinct last names and corresponding artist IDs of artists born in or before the year 1934, who have also created sculptures by artists with sculptor IDs less than or equal to 80, and show the titles of their sculptures, counting these distinct last names in groups starting from the 5th group?",6,False
"SELECT SUM(j.birthYear), j.fname FROM Artists AS j WHERE  j.birthYear = 56",What is the sum of the birth year and the first name of the artists born in the year 56?,2,True
"SELECT MAX(o.sculptureID), COUNT(DISTINCT o.year), COUNT(DISTINCT o.sculptureID), o.title FROM Sculptures AS o GROUP BY o.title HAVING MAX(o.year) >= 81","For each sculpture title, what are the maximum sculpture ID, the number of distinct years, the number of distinct sculpture IDs, and the title itself, for sculptures created in year 81 or later?",6,False
SELECT lname FROM Artists WHERE EXISTS (SELECT * FROM Paintings AS t WHERE t.painterID BETWEEN 1 AND 10 AND Artists.artistID = t.painterID),What are the last names of artists with IDs between 1 and 10 who have created at least one painting?,5,True
"SELECT SUM(paintingID), medium FROM Artists JOIN Paintings ON Artists.artistID = Paintings.painterID GROUP BY medium HAVING AVG(paintingID) <= 5","For each medium, what are the total and average painting IDs of paintings created by artists, where the average painting ID is less than or equal to 5?",6,False
"SELECT COUNT(S.year), MIN(A.birthYear) FROM Artists A JOIN Sculptures S ON S.sculptorID = A.artistID WHERE A.birthYear != (SELECT MIN(birthYear) FROM Artists AS k WHERE k.deathYear < 99)","What is the number of sculptures created by artists born after the earliest birth year among artists who lived into the 20th century, and what is the earliest birth year among these sculptors?",6,False
"SELECT COUNT(o.height_mm), o.painterID, o.width_mm FROM Paintings AS o WHERE o.paintingID > 98 GROUP BY o.width_mm, o.painterID","What is the count of paintings with a height, grouped by width and painter ID, for paintings with an ID greater than 98?",2,True
"SELECT SUM(a.artistID), p.year FROM Paintings AS p JOIN Artists AS a ON p.painterID = a.artistID WHERE p.height_mm != 18",What is the total artist ID and the year for paintings that are not 18mm in height?,6,False
