query,question,iter,flag
SELECT apid FROM airports WHERE apid >= 60 ORDER BY apid ASC LIMIT 10,"What are the next ten airport ids in ascending order after the first ten, starting from an airport id of at least 60?",2,True
"SELECT COUNT(DISTINCT airlines.iata), airports.country, airports.iata, airlines.active FROM routes JOIN airlines ON routes.alid = airlines.alid JOIN airports ON routes.dst_apid = airports.apid WHERE airlines.alid != 49 GROUP BY airlines.active, airports.country, airports.iata","For each country and airport, how many different unique airlines are active?",6,False
"SELECT COUNT(DISTINCT g.airline), g.dst_apid, g.rid, g.src_apid FROM routes AS g WHERE g.rid >= 83 GROUP BY g.dst_apid, g.rid, g.src_apid;","For each group of destination airport id, route id, and source airport id for routes with a route id of 83 or more, how many distinct airlines are there?",6,True
"SELECT icao, country, iata FROM airlines WHERE alid BETWEEN 1 AND 10 OR alid >= 60 LIMIT 6;","What are the icao, country, and iata of the first 6 airlines with ids 1 through 10 or 60 and above?",2,True
SELECT e.alid FROM airlines AS e WHERE  e.alid >= 47 LIMIT 4,"What are the airline ids of the four airlines with ids greater than or equal to 47, starting from the fifth airline?",5,True
"SELECT MIN(e.elevation), MIN(e.x), e.country FROM airports AS e WHERE e.x > 17 GROUP BY e.country HAVING MIN(e.x) > 71 LIMIT 4","For countries with latitude above 71 degrees, what are the four countries with the next four highest minimum latitude and elevation values, only considering airports with longitude above 17 degrees?",6,False
SELECT elevation FROM airports WHERE  y = 72 ORDER BY elevation ASC LIMIT 4,What are the elevations of the 5th to 8th lowest airports in coordinates y = 72?,4,True
"SELECT COUNT(elevation), icao FROM airports WHERE  y != 41 ORDER BY icao ASC","How many elevations are there for each icao code of airports that are not located at latitude 41, listed in ascending order by icao code?",6,False
"SELECT COUNT(DISTINCT src_apid), rid, alid FROM routes WHERE dst_apid >= 97 OR EXISTS (SELECT * FROM airports AS s WHERE s.apid < 1 AND routes.src_apid = s.apid LIMIT 7) ORDER BY alid ASC","What are the distinct source airport ids, route ids, and airline ids for routes where the destination airport id is 97 or greater, or where the source airport id exists in a list of airports with ids less than 1, ordered by airline id?",6,False
"SELECT MIN(s.dst_apid), MIN(s.src_apid), s.codeshare FROM routes AS s WHERE s.dst_apid BETWEEN 1 AND 10 ORDER BY s.codeshare DESC LIMIT 4","What are the minimum destination airport id, minimum source airport id, and codeshare status of the 5th to 8th routes with the highest codeshare status, given that the destination airport id is between 1 and 10?",3,True
"SELECT elevation, x FROM airports WHERE EXISTS (SELECT * FROM routes AS w WHERE  w.dst_apid = 96 AND airports.apid = w.dst_apid) ORDER BY elevation DESC","What are the elevations and x coordinates of the airports that have a destination airport id equal to 96, ordered by elevation in descending order?",4,True
SELECT x FROM airports WHERE  elevation != 91 ORDER BY x DESC LIMIT 10,What are the next 10 highest x coordinates of airports with an elevation other than 91?,4,True
"SELECT a.airline, a.dst_ap FROM routes AS a WHERE  a.alid = 35 LIMIT 7","What are the destinations and airlines for airline id 35, excluding the first 7 results?",4,True
